"","","Player Details","","Projection","","","","","Draft","","Passing","","","","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD"
"261","Daniel Bellinger","TE","TEN","9","54.5","15","3.63","9","118","999.0","0","0","0","0.0","0","0","0","0.0","28","22","239","1.5"
"262","Tory Horton","WR","SEA","11","54.4","14","3.89","16","87","228.7","0","0","0","0.0","0","0","0","0.0","29","18","277","1.5"
"263","Noah Fant","TE","NO","8","53.6","15","3.57","9","85","999.0","0","0","0","0.0","0","0","0","0.0","29","23","226","1.3"
"264","Ollie Gordon II","RB","MIA","6","53.4","15","3.56","13","178","999.0","0","0","0","0.0","0","54","191","1.7","16","13","90","0.5"
"265","Oscar Delp","TE","NO","8","52.9","15","3.53","9","164","999.0","0","0","0","0.0","0","0","0","0.0","29","22","231","1.4"
"266","Jake Tonges","TE","SF","8","52.4","15","3.49","9","28","191.4","0","0","0","0.0","0","0","0","0.0","26","19","209","2.0"
"267","Cyrus Allen","WR","KC","5","52.2","15","3.48","16","305","999.0","0","0","0","0.0","0","0","0","0.0","30","18","244","1.6"
"268","Eli Stowers","TE","PHI","10","51.5","15","3.43","9","","1535.0","0","0","0","0.0","0","0","0","0.0","30","22","192","1.7"
"269","Tank Bigsby","RB","PHI","10","51.4","15","3.42","13","62","187.7","0","0","0","0.0","0","61","277","2.1","8","6","40","0.2"
"270","Xavier Hutchinson","WR","HST","8","51.1","15","3.40","16","201","999.0","0","0","0","0.0","0","2","11","0.0","31","19","229","1.4"
"271","Ted Hurst III","WR","TB","10","51.0","15","3.40","16","84","223.5","0","0","0","0.0","0","0","0","0.0","27","17","236","1.7"
"272","Bryce Lance","WR","NO","8","50.7","15","3.38","16","306","999.0","0","0","0","0.0","0","0","0","0.0","35","22","211","1.3"
"273","Ja'Tavion Sanders","TE","CAR","5","50.7","15","3.38","9","65","999.0","0","0","0","0.0","0","0","0","0.0","27","22","208","1.4"
"274","Ray Davis","RB","BUF","7","49.8","15","3.32","14","65","208.6","0","0","0","0.0","0","56","240","1.5","9","7","75","0.4"
"275","Austin Hooper","TE","ATL","11","49.6","15","3.31","9","206","999.0","0","0","0","0.0","0","0","0","0.0","27","20","215","1.3"
"276","Tez Johnson","WR","TB","10","49.5","15","3.30","16","120","999.0","0","0","0","0.0","0","7","32","0.1","27","18","189","1.5"
"277","DJ Giddens","RB","IND","13","49.5","15","3.30","14","182","999.0","0","0","0","0.0","0","52","214","1.3","12","10","88","0.4"
"278","Tanner Hudson","TE","CIN","6","48.2","15","3.21","9","112","999.0","0","0","0","0.0","0","0","0","0.0","24","18","210","1.5"
"279","Elijah Higgins","TE","ARZ","14","48.2","15","3.21","9","69","999.0","0","0","0","0.0","0","0","0","0.0","20","15","261","1.1"
"280","Mack Hollins","WR","NE","11","47.9","15","3.19","16","","1595.0","0","0","0","0.0","0","0","0","0.0","24","16","236","1.4"
"281","J.J. McCarthy","QB","MIN","6","47.5","3","15.84","13","29","224.2","93","58","652","4.1","3","12","59","0.4","0","0","0","0.0"
"282","Travis Hunter","WR","JAX","7","47.0","14","3.36","16","61","160.2","0","0","0","0.0","0","2","13","0.1","25","16","208","1.4"
"283","Savion Williams","WR","GB","11","46.6","14","3.33","16","117","999.0","0","0","0","0.0","0","11","52","0.1","17","12","203","1.5"
