"RK","Name","POS","Team","Bye","POS","ADP","FPTS","G","FPTS/G","TIER","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","TGT","REC","YDS","TD","UP","DOWN","MOVE","TARGET","WIN"
"112","Austin Ekeler","RB","WAS","12","RB44","147.5","158.8","15","10.59","9","0","0","0","0","0","89.1","385.3","3.5","58.5","49.8","397.8","1.8","-","-","-","-","-"
"113","Evan Engram","TE","DEN","12","TE8","80.9","156.3","15","10.42","4","0","0","0","0","0","-","-","-","90.8","67.5","628.4","4.4","-","-","-","-","-"
"114","Darnell Mooney","WR","ATL","5","WR52","124.6","156.2","14","11.16","9","0","0","0","0","0","-","-","-","85.1","53.1","796.3","3.9","-","-","-","","-"
"115","Dallas Goedert","TE","PHI","9","TE17","125.9","156.0","15","10.40","4","0","0","0","0","0","-","-","-","83.6","63.5","720.2","3.5","-","-","-","","-"
"116","Emeka Egbuka","WR","TB","9","WR45","99.0","154.9","15","10.33","9","0","0","0","0","0","-","-","-","90.4","56.8","707.7","4.6","-","-","-","","-"
"117","Tyler Shough","QB","NO","11","QB34","272.2","152.2","11","13.84","8","360","213","2329","12.7","9","30.6","158.3","0.6","-","-","-","-","-","-","-","-","-"
"118","Chris Godwin","WR","TB","9","WR43","95.7","151.8","12","12.65","10","0","0","0","0","0","2.3","11.4","0.1","81.2","58.9","682.0","3.9","-","-","-","-","-"
"119","Jake Ferguson","TE","DAL","10","TE16","125.7","147.8","15","9.85","4","0","0","0","0","0","-","-","-","81.9","60.9","583.0","4.9","-","-","-","","-"
"120","Rashid Shaheed","WR","NO","11","WR54","140.5","147.6","15","9.84","10","0","0","0","0","0","7.9","49.4","0.1","89.8","48.9","710.4","3.7","-","-","-","","-"
"121","Hunter Henry","TE","NE","14","TE20","172.2","146.8","15","9.79","4","0","0","0","0","0","-","-","-","79.0","57.2","622.7","4.6","-","-","-","-","-"
"122","Tyler Warren","TE","IND","11","TE10","89.2","145.4","15","9.70","5","0","0","0","0","0","-","-","-","82.9","59.2","653.5","3.5","-","-","-","-","-"
"123","Romeo Doubs","WR","GB","5","WR73","218.5","145.3","15","9.69","10","0","0","0","0","0","-","-","-","80.4","52.7","648.0","4.7","-","-","-","-","-"
"124","Matthew Golden","WR","GB","5","WR42","93.9","144.8","15","9.65","10","0","0","0","0","0","-","-","-","79.1","49.8","665.7","4.8","-","-","-","-","-"
"125","Jacory Croskey-Merritt","RB","WAS","12","RB52","177.7","144.7","15","9.65","9","0","0","0","0","0","148.2","744.0","6.2","20.6","17.1","136.7","0.6","-","-","-","-","-"
"126","Jonnu Smith","TE","PIT","5","TE12","106.2","144.7","15","9.64","5","0","0","0","0","0","0.7","2.7","0.0","79.1","56.3","629.4","4.2","-","-","-","-","-"
"127","Marvin Mims Jr.","WR","DEN","12","WR56","152.7","144.5","15","9.64","10","0","0","0","0","0","13.5","44.0","0.1","74.8","52.7","638.8","3.9","-","-","-","","-"
"128","Jayden Reed","WR","GB","5","WR47","107.5","143.6","14","10.25","10","0","0","0","0","0","6.3","50.8","0.1","65.4","46.4","640.5","4.6","-","-","-","","-"
"129","Cooper Kupp","WR","SEA","8","WR39","85.2","143.3","14","10.24","10","0","0","0","0","0","-","-","-","79.3","52.7","663.4","4.1","-","-","-","-","-"
"130","Rashee Rice","WR","KC","10","WR21","48.8","143.0","9","15.88","10","0","0","0","0","0","0.7","2.4","0.0","70.6","55.0","655.3","3.8","-","-","-","-","-"
"131","Zach Ertz","TE","WAS","12","TE18","155.4","142.6","14","10.18","5","0","0","0","0","0","-","-","-","77.3","56.5","548.6","5.2","-","-","-","","-"
"132","Brenton Strange","TE","JAX","8","TE21","185.8","142.1","15","9.48","5","0","0","0","0","0","-","-","-","77.7","59.3","584.7","4.1","-","-","-","-","-"
"133","Zach Charbonnet","RB","SEA","8","RB38","114.1","141.6","15","9.44","10","0","0","0","0","0","122.1","519.3","4.7","38.0","32.3","246.2","0.8","-","-","-","-","-"
"134","Quinshon Judkins","RB","CLV","9","RB28","77.6","141.4","14","10.10","10","0","0","0","0","0","151.4","684.7","5.1","27.6","23.4","166.3","0.6","-","-","-","-","-"
"135","Tucker Kraft","TE","GB","5","TE15","116.3","139.9","15","9.33","5","0","0","0","0","0","2.6","4.4","0.0","66.8","50.7","635.7","4.2","-","-","-","-","-"
"136","Colston Loveland","TE","CHI","5","TE11","105.7","139.9","15","9.33","5","0","0","0","0","0","-","-","-","75.5","55.1","609.6","4.0","-","-","-","-",""
"137","Jayden Higgins","WR","HST","6","WR49","120.3","139.3","15","9.28","10","0","0","0","0","0","-","-","-","80.4","52.2","644.5","3.8","-","-","-","-","-"
"138","Wan'Dale Robinson","WR","NYG","14","WR69","196.6","138.2","15","9.21","10","0","0","0","0","0","1.1","7.0","0.0","89.1","62.0","583.8","2.9","-","-","-","-","-"
"139","Bhayshul Tuten","RB","JAX","8","RB50","174.9","137.9","15","9.19","10","0","0","0","0","0","143.7","649.5","4.1","31.7","26.2","184.7","0.8","-","-","-","-",""
"140","Dalton Kincaid","TE","BUF","7","TE13","113.7","137.5","15","9.17","5","0","0","0","0","0","-","-","-","77.0","54.2","569.4","4.5","-","-","-","-","-"
"141","Tyjae Spears","RB","TEN","10","RB45","151.3","137.3","13","10.56","10","0","0","0","0","0","111.2","467.3","3.7","42.1","35.3","269.6","1.1","-","-","-","-","-"
"142","Cedric Tillman","WR","CLV","9","WR65","188.3","137.2","14","9.80","10","0","0","0","0","0","-","-","-","83.1","53.1","642.7","3.4","-","-","-","-","-"
"143","Adam Thielen","WR","CAR","14","WR61","168.6","136.5","14","9.75","11","0","0","0","0","0","-","-","-","78.7","53.7","598.7","3.9","-","-","-","-","-"
"144","Theo Johnson","TE","NYG","14","TE32","260.5","134.5","15","8.97","5","0","0","0","0","0","-","-","-","73.9","53.2","601.0","3.6","-","-","-","-","-"
"145","Keon Coleman","WR","BUF","7","WR51","122.9","129.6","15","8.64","11","0","0","0","0","0","-","-","-","67.0","40.6","600.1","4.9","-","-","-","-","-"
"146","Dyami Brown","WR","JAX","8","WR86","255.9","129.4","15","8.63","11","0","0","0","0","0","-","-","-","74.8","50.2","603.3","3.2","-","-","-","-","-"
"147","Cam Skattebo","RB","NYG","14","RB34","100.1","129.1","14","9.22","10","0","0","0","0","0","127.2","548.5","4.3","31.7","25.6","184.6","1.0","-","-","-","-","-"
"148","Ray-Ray McCloud","WR","ATL","5","WR325","695.2","127.5","15","8.50","11","0","0","0","0","0","7.6","60.1","0.3","71.6","51.3","557.6","2.2","-","-","-","-","-"
"149","KaVontae Turpin","WR","DAL","10","WR369","700.1","126.4","15","8.43","11","0","0","0","0","0","31.5","196.7","1.5","53.9","36.0","455.7","2.8","-","-","-","-","-"
"150","Andrei Iosivas","WR","CIN","10","WR88","263.4","124.4","15","8.30","11","0","0","0","0","0","-","-","-","69.0","43.9","550.9","4.3","-","-","-","-","-"
"151","Javonte Williams","RB","DAL","10","RB36","110.9","123.6","14","8.83","11","0","0","0","0","0","114.8","430.8","3.2","40.5","33.3","211.5","1.3","-","-","-","-","-"
"152","Rashod Bateman","WR","BLT","7","WR60","166.0","123.6","15","8.24","11","0","0","0","0","0","-","-","-","59.2","38.1","644.8","3.5","-","-","-","-","-"
"153","Rachaad White","RB","TB","9","RB46","156.1","122.7","14","8.76","11","0","0","0","0","0","90.3","375.1","1.9","43.1","37.0","289.7","1.4","-","-","-","-","-"
"154","Josh Palmer","WR","BUF","7","WR64","187.6","122.5","15","8.17","11","0","0","0","0","0","-","-","-","64.0","40.6","568.2","4.2","-","-","-","-","-"
"155","Calvin Austin III","WR","PIT","5","WR85","254.7","122.0","15","8.14","11","0","0","0","0","0","-","-","-","66.6","42.6","577.7","3.6","-","-","-","-","-"
"156","Tyler Lockett","WR","TEN","10","WR74","223.9","121.9","15","8.12","11","0","0","0","0","0","-","-","-","67.4","45.8","556.4","3.4","-","-","-","-","-"
