Rank,Player (Bye),POS,ESPN,Sleeper,CBS,RTSports,Fantrax,AVG,Real-Time
379,Deshaun Watson   CLE (11),QB49,,,,,272,272.0,
380,Chase Harrell,TE55,,272,,,,272.0,
381,Efton Chism III   NE (11),WR118,273,,,,,273.0,
382,Joshua Dobbs   DET (6),QB50,274,,,,,274.0,
383,Joe Milton III   DAL (14),QB51,275,,,,,275.0,
384,Brandon McManus,K38,277,,,,,277.0,
385,Bryce Lance   NO (8),WR119,409,,,,313,361.0,
386,Luke Lachey,TE56,278,,,,,278.0,
387,Jarquez Hunter   MIA (6),RB92,,278,,,,278.0,
388,Luke Musgrave   GB (11),TE57,288,,,,437,362.5,
389,Jake Browning   TB (10),QB52,406,,,,320,363.0,
390,Kenny Pickett   CAR (5),QB53,283,,,,,283.0,
391,Ollie Gordon II   MIA (6),RB93,,,,,283,283.0,243  +148
392,Noah Fant   NO (8),TE58,339,,,,389,364.0,
393,Jahdae Walker   CHI (10),WR120,284,,,,,284.0,
394,Xavier Smith   LAR (11),WR121,350,,,,379,364.5,
395,Ray-Ray McCloud III   CHI (10),WR122,286,,,,,286.0,
396,Malachi Corley   CLE (11),WR123,,287,,,,287.0,
397,Alex Larson,TE59,,288,,,,288.0,
398,Quinn Ewers   MIA (6),QB54,366,,,,367,366.5,
399,Israel Abanikanda   DAL (14),RB94,289,,,,,289.0,
400,Chris Brooks   GB (11),RB95,,,,,289,289.0,
401,LeQuint Allen Jr.   JAC (7),RB96,,,,,290,290.0,
402,Junior Bergen   NYJ (13),WR124,291,,,,,291.0,
403,Dalvin Cook,RB97,292,,,,,292.0,
404,Jelani Woods   NYJ (13),TE60,,292,,,,292.0,
405,Darren Waller   CAR (5),TE61,,,,,293,293.0,224  +181
406,Matt Prater,K39,294,,,,,294.0,
407,Chase Cota,WR125,,294,,,,294.0,
408,Jalen Royals   KC (5),WR126,347,,,,392,369.5,
409,Michael Pratt,QB55,295,,,,,295.0,
410,Coleman Owen   IND (13),WR127,,295,,,,295.0,
411,Justin Joly   DEN (10),TE62,353,,,,387,370.0,
412,Andrei Iosivas   CIN (6),WR128,,,,,296,296.0,
413,Jude McAtamney,K40,296,,,,,296.0,
414,Demarcus Robinson   SF (8),WR129,355,,,,386,370.5,
415,Tommy Mellott,WR130,297,,,,,297.0,
416,Ja'Corey Brooks,WR131,298,,,,,298.0,
417,Tyquan Thornton   KC (5),WR132,,,,,298,298.0,
418,Daniel Arias,WR133,,298,,,,298.0,
419,Dontay Demus Jr.,WR134,,299,,,,299.0,
420,Camden Brown   DAL (14),WR135,,,,,299,299.0,
421,Tanner Gentry,WR136,,300,,,,300.0,
422,Ramel Keyton,WR137,,301,,,,301.0,
423,D.J. Foster,RB98,,302,,,,302.0,
424,DJ Giddens   IND (13),RB99,,,,,302,302.0,
425,Jarveon Howard,RB100,,305,,,,305.0,
426,Charlie Kolar   LAC (7),TE63,410,,,,340,375.0,
427,Alex Ellis,TE64,,306,,,,306.0,
428,Adam Trautman   DEN (10),TE65,306,,,,,306.0,
429,Lincoln Sefcik,TE66,,308,,,,308.0,
430,Jackson Hawes   BUF (7),TE67,308,,,,,308.0,
431,Kenjon Barner,RB101,,309,,,,309.0,
432,Jimmy Horn Jr.   CAR (5),WR138,309,,,,,309.0,
433,KeAndre Lambert-Smith   LAC (7),WR139,310,,,,,310.0,
434,Tanner McKee   PHI (10),QB56,311,,,,,311.0,
435,Michael Trigg   DAL (14),TE68,500,311,,,,405.5,
436,Jonathan Mingo   DAL (14),WR140,312,,,,,312.0,
437,Shaquan Davis,WR141,,312,,,,312.0,
438,Drew Lock   SEA (11),QB57,313,,,,,313.0,
439,Trey Lance   LAC (7),QB58,435,,,,323,379.0,
440,Anthony Richardson Sr.   IND (13),QB59,333,,,,425,379.0,
441,Dylan Drummond   ATL (11),WR142,,314,,,,314.0,
442,Xavier Legette   CAR (5),WR143,,,,,314,314.0,
443,Kaden Wetjen   PIT (9),WR144,314,,,,,314.0,
444,Austin Hooper   ATL (11),TE69,332,,,,427,379.5,
445,Charlie Smyth   NO (8),K41,,359,,,400,379.5,
446,Elijah McGuire,RB102,,315,,,,315.0,
447,Darius Slayton   NYG (8),WR145,,,,,315,315.0,
448,Myles Price   MIN (6),WR146,315,,,,,315.0,
449,Trayveon Williams   DET (6),RB103,316,,,,,316.0,
450,Mecole Hardman Jr.   BUF (7),WR147,317,,,,,317.0,
451,Marquez Valdes-Scantling   DAL (14),WR148,318,,,,,318.0,
452,Cephus Johnson III,WR149,,318,,,,318.0,
453,Tahj Brooks   CIN (6),RB104,,,,,318,318.0,
454,Michael Mayer   LV (13),TE70,,,,,319,319.0,
455,Malik Knowles,WR150,,319,,,,319.0,
456,John Ross,WR151,320,,,,,320.0,
457,Josh Adams,RB105,,320,,,,320.0,
458,DeAndre Hopkins   BAL (13),WR152,321,,,,,321.0,
459,Marcus Mariota   WAS (7),QB60,,,,,321,321.0,
460,Greg Dortch   DET (6),WR153,348,,,,419,383.5,
461,Montrell Washington,WR154,,,,,324,324.0,
462,Tanner Brown   NO (8),K42,324,,,,,324.0,
463,Jordan Travis,QB61,325,,,,,325.0,
464,Jordan Byrd,WR155,,325,,,,325.0,
465,Parker Romo,K43,326,,,,,326.0,
466,Salvon Ahmed   CHI (10),RB106,,,,,327,327.0,
467,Jacob Kibodi,RB107,327,,,,,327.0,
468,JJ Laap,WR156,,327,,,,327.0,
469,Ty Johnson   BUF (7),RB108,,,,,329,329.0,
470,Sage Surratt,WR157,,330,,,,330.0,
471,Robert Tonyan   PIT (9),TE71,457,,,,330,393.5,
472,Griffin Hebert,TE72,,332,,,,332.0,
473,Mitchell Trubisky   TEN (9),QB62,447,,,,332,389.5,
474,Dean Connors   LAR (11),RB109,,,,,333,333.0,
475,Jarrett Stidham   DEN (10),QB63,334,,,,,334.0,
476,Sam Howell   DAL (14),QB64,335,,,,,335.0,
477,Matt Seybert,TE73,,335,,,,335.0,
478,Kalif Raymond   CHI (10),WR158,336,,,,,336.0,
479,Will Shipley   PHI (10),RB110,,,,,336,336.0,
480,Osirus Mitchell,WR159,,336,,,,336.0,
481,New York Jets DST   (13),DST32,,379,,,402,390.5,
482,Chamon Metayer,TE74,,337,,,,337.0,
483,Drew Sample   CIN (6),TE75,338,,,,,338.0,
484,Malik Benson   LV (13),WR160,,,,,338,338.0,
485,Dont'e Thornton Jr.   LV (13),WR161,428,,,,355,391.5,
486,Tyree Mayfield,TE76,,339,,,,339.0,
487,Cade Stover   HOU (8),TE77,340,,,,,340.0,
488,Mo Alie-Cox   IND (13),TE78,344,,,,441,392.5,
489,Jalen Hurd,WR162,,341,,,,341.0,
490,Ashton Dulin   IND (13),WR163,341,,,,,341.0,
491,Reggie White Jr.,WR164,,342,,,,342.0,
492,Mason Rudolph   PIT (9),QB65,460,,,,342,401.0,
493,MyCole Pruitt,TE79,,343,,,,343.0,
494,Roman Wilson   PIT (9),WR165,343,,,,,343.0,
495,Matt Colburn II,RB111,,345,,,,345.0,
496,Jeremy Ruckert   NYJ (13),TE80,345,,,,,345.0,
497,Andy Dalton   PHI (10),QB66,467,,,,345,406.0,
498,Hunter Luepke   DAL (14),RB112,346,,,,,346.0,
499,Tanner Koziol   JAC (7),TE81,,,,,347,347.0,
500,Thayer Thomas,WR166,,348,,,,348.0,
501,Marlin Klein   HOU (8),TE82,440,,,,353,396.5,
502,Trenton Cannon,RB113,,349,,,,349.0,
503,Barion Brown   NO (8),WR167,349,,,,,349.0,
504,Jacardia Wright   SEA (11),RB114,,,,,349,349.0,
505,JaQuan Hardy,RB115,,350,,,,350.0,
506,Bo Melton   GB (11),WR168,351,,,,,351.0,
507,Kearis Jackson,WR169,,352,,,,352.0,
508,CJ Daniels   LAR (11),WR170,352,,,,,352.0,
509,Connor Heyward   LV (13),TE83,431,,,,366,398.5,
510,Jalen Tolbert   MIA (6),WR171,,,,,354,354.0,
511,Brevyn Spann-Ford   DAL (14),TE84,354,,,,,354.0,
512,Zane Gonzalez,K44,390,,,,409,399.5,
513,Leon Johnson III,WR172,,355,,,,355.0,
514,Devin Gray,WR173,,357,,,,357.0,
515,Seth McGowan   IND (13),RB116,,,,,357,357.0,
516,Tai Felton   MIN (6),WR174,357,,,,,357.0,
517,Tyler Conklin   DET (6),TE85,358,,,,,358.0,
518,Jacoby Jones   WAS (7),WR175,,358,,,,358.0,
519,Sam Roush   CHI (10),TE86,359,,,,,359.0,
520,Briley Moore,TE87,,360,,,,360.0,
521,Carlos Washington Jr.   MIA (6),RB117,,361,,,,361.0,
522,Justin Watson   HOU (8),WR176,362,,,,,362.0,
523,Jeshaun Jones   MIN (6),WR177,,362,,,,362.0,
524,Darius Cooper   PHI (10),WR178,363,,,,,363.0,
525,Austin Watkins Jr.,WR179,,364,,,,364.0,
526,Jahan Dotson   ATL (11),WR180,,,,,364,364.0,
527,Patrick Ricard   NYG (8),RB118,365,,,,,365.0,
528,Steven Montez,QB67,,365,,,,365.0,
529,Ben Skowronek   PIT (9),WR181,367,,,,,367.0,
530,Colton Dowell,WR182,,367,,,,367.0,
531,Braxton Berrios   NYG (8),WR183,368,,,,,368.0,
532,John Franklin III,WR184,,368,,,,368.0,
533,Skyy Moore   GB (11),WR185,369,,,,,369.0,
534,David Moore   CAR (5),WR186,370,,,,,370.0,
535,Tim Boyle,QB68,,370,,,,370.0,
536,Max Bredeson   MIN (6),RB119,434,,,,381,407.5,
537,Carson Wentz   MIN (6),QB69,371,,,,,371.0,
538,Johnny Mundt   PHI (10),TE88,,371,,,,371.0,
539,Raheim Sanders   CLE (11),RB120,,,,,371,371.0,
540,Kareem Hunt,RB121,388,,,,428,408.0,
541,Albert Okwuegbunam Jr.   LV (13),TE89,373,,,,,373.0,
542,Elijah Dotson,RB122,,373,,,,373.0,
543,D.J. Montgomery   IND (13),WR187,374,,,,,374.0,
544,Jeremiah Haydel,WR188,,374,,,,374.0,
545,Jaylin Lane   WAS (7),WR189,,,,,374,374.0,
546,Zamir White   NO (8),RB123,375,,,,,375.0,
547,Josh Pederson,TE90,,376,,,,376.0,
548,Stetson Bennett IV   LAR (11),QB70,377,,,,,377.0,
549,Terrell Bynum,WR190,,377,,,,377.0,
550,Jake Bobo   SEA (11),WR191,378,,,,,378.0,
551,Rashod Owens,WR192,,378,,,,378.0,
552,Carson Steele   PHI (10),RB124,379,,,,,379.0,
553,Garrett Gilbert,QB71,,380,,,,380.0,
554,Frank Gore Jr.   BUF (7),RB125,380,,,,,380.0,
555,Will Howard   PIT (9),QB72,381,,,,,381.0,
556,Ulysses Bentley IV   IND (13),RB126,382,,,,,382.0,
557,Messiah Swinson   GB (11),TE91,,382,,,,382.0,
558,Olamide Zaccheaus   ATL (11),WR193,415,,,,412,413.5,
559,Taysom Hill,TE92,383,,,,,383.0,
560,Isaiah Davis   NYJ (13),RB127,,,,,383,383.0,
561,Equanimeous St. Brown,WR194,384,,,,,384.0,
562,Isaac Guerendo   SF (8),RB128,,,,,384,384.0,
563,Mark McNamee,K45,,384,,,,384.0,
564,Bryce Love,RB129,,385,,,,385.0,
565,Austin Seibert,K46,385,,,,,385.0,
566,DeMario Douglas   NE (11),WR195,,,,,385,385.0,
567,Cade York,K47,397,,,,433,415.0,
568,Daniel Bellinger   TEN (9),TE93,420,,,,410,415.0,
569,Greg Joseph,K48,386,,,,,386.0,
570,John Paddock,QB73,,386,,,,386.0,
571,Matthew Slater,WR196,,387,,,,387.0,
572,JuJu Smith-Schuster,WR197,387,,,,,387.0,
573,James Washington,WR198,,388,,,,388.0,
574,John Metchie III   CAR (5),WR199,,,,,388,388.0,
575,Austin Ekeler,RB130,389,,,,,389.0,
576,T.J. Vasher,WR200,,389,,,,389.0,
577,Isaiah Bond   CLE (11),WR201,412,,,,423,417.5,
578,Martavis Bryant,WR202,,391,,,,391.0,
579,Amari Cooper,WR203,391,,,,,391.0,
580,Gardner Minshew II   ARI (14),QB74,448,,,,391,419.5,
581,Derek Carr,QB75,392,,,,,392.0,
582,Ross Dwelley,TE94,,392,,,,392.0,
583,Zach Ertz,TE95,393,,,,,393.0,
584,Jimmy Garoppolo   LAR (11),QB76,394,,,,,394.0,
585,Ben Bryant,QB77,,394,,,,394.0,
586,Dustin Hopkins,K49,395,,,,,395.0,
587,Antonio Gibson,RB131,396,,,,,396.0,
588,Jawhar Jordan   HOU (8),RB132,,,,,396,396.0,
589,Trevor Etienne   CAR (5),RB133,,,,,397,397.0,
590,Kevin Coleman Jr.   MIA (6),WR204,416,,,,426,421.0,
591,Brenden Rice,WR205,398,,,,,398.0,
592,Devin Leary,QB78,399,,,,,399.0,
593,Kenny McIntosh,RB134,,,,,399,399.0,
594,Aaron Shampklin,RB135,400,,,,,400.0,
595,D.J. Williams,RB136,401,,,,,401.0,
596,Jermaine Jackson,WR206,402,,,,,402.0,
597,Jacob Saylors   DET (6),RB137,404,,,,,404.0,
598,Tutu Atwell   LAR (11),WR207,,,,,405,405.0,
599,Tyson Bagent   CHI (10),QB79,407,,,,,407.0,
600,Dyami Brown   WAS (7),WR208,408,,,,,408.0,
601,Durham Smythe   BAL (13),TE96,422,,,,431,426.5,
602,Tez Johnson   TB (10),WR209,423,,,,430,426.5,
603,Riley Leonard   IND (13),QB80,436,,,,418,427.0,
604,Jonnu Smith   GB (11),TE97,411,,,,,411.0,
605,John Bates   WAS (7),TE98,413,,,,,413.0,
606,Nick Westbrook-Ikhine   IND (13),WR210,,,,,414,414.0,
607,Xavier Hutchinson   HOU (8),WR211,,,,,415,415.0,
608,Adam Randall   BAL (13),RB138,,,,,416,416.0,
609,Isaiah Williams   NYJ (13),WR212,417,,,,,417.0,
610,Tanner Hudson   CIN (6),TE99,418,,,,,418.0,
611,Brenen Thompson   LAC (7),WR213,419,,,,,419.0,
612,Oscar Delp   NO (8),TE100,426,,,,438,432.0,
613,Treylon Burks   WAS (7),WR214,,,,,420,420.0,
614,Nate Boerkircher   JAC (7),TE101,425,,,,440,432.5,
615,Kendrick Bourne   ARI (14),WR215,,,,,421,421.0,
616,Ben Sinnott   WAS (7),TE102,421,,,,,421.0,
617,Jerome Ford   WAS (7),RB139,,,,,424,424.0,
618,Davis Allen   LAR (11),TE103,424,,,,,424.0,
619,Joe Royer   CLE (11),TE104,427,,,,,427.0,
620,Ben Sims   MIA (6),TE105,429,,,,,429.0,
621,Adam Prentice   DEN (10),RB140,430,,,,,430.0,
622,Michael Burton   CLE (11),RB141,432,,,,,432.0,
623,Mitch Tinsley   CIN (6),WR216,433,,,,,433.0,
624,Jaleel McLaughlin   DEN (10),RB142,487,,,,436,461.5,
625,Luke Farrell   SF (8),TE106,437,,,,,437.0,
626,CJ Dippre   NE (11),TE107,438,,,,,438.0,
627,Spencer Rattler   NO (8),QB81,439,,,,,439.0,
628,Savion Williams   GB (11),WR217,,,,,439,439.0,
629,Josh Whyle   GB (11),TE108,441,,,,,441.0,
630,Chris Brazzell II   CAR (5),WR218,,,,,442,442.0,
631,Josh Cuevas   BAL (13),TE109,442,,,,,442.0,
632,Andrew Beck   NYJ (13),TE110,443,,,,,443.0,
633,Riley Nowakowski   PIT (9),TE111,444,,,,,444.0,
634,Brendan Sorsby,QB82,,,,,445,445.0,
635,Reggie Virgil   ARI (14),WR219,445,,,,,445.0,
636,Reggie Gilliam   NE (11),RB143,446,,,,,446.0,
637,Chris Manhertz   NYG (8),TE112,449,,,,,449.0,
638,Arian Smith   NYJ (13),WR220,450,,,,,450.0,
639,Charlie Jones   CIN (6),WR221,451,,,,,451.0,
640,LaJohntay Wester   BAL (13),WR222,452,,,,,452.0,
641,Britain Covey   PHI (10),WR223,453,,,,,453.0,
642,Ihmir Smith-Marsette   ARI (14),WR224,454,,,,,454.0,
643,Josh Cameron   JAC (7),WR225,455,,,,,455.0,
644,Jalen Brooks   ARI (14),WR226,456,,,,,456.0,
645,Cedrick Wilson Jr.,WR227,458,,,,,458.0,
646,Dare Ogunbowale   LV (13),RB144,459,,,,,459.0,
647,Phillip Dorsett II   LV (13),WR228,461,,,,,461.0,
648,Scotty Miller   CHI (10),WR229,462,,,,,462.0,
649,Travis Homer   PIT (9),RB145,464,,,,,464.0,
650,Tim Patrick   NYJ (13),WR230,465,,,,,465.0,
651,Zay Jones   HOU (8),WR231,466,,,,,466.0,
652,Josh Johnson   CIN (6),QB83,468,,,,,468.0,
653,Gunner Olszewski   NYG (8),WR232,469,,,,,469.0,
654,Tom Kennedy   DET (6),WR233,470,,,,,470.0,
655,Van Jefferson   WAS (7),WR234,471,,,,,471.0,
656,Quez Watkins   PHI (10),WR235,472,,,,,472.0,
657,Elijah Moore   PHI (10),WR236,473,,,,,473.0,
658,Zach Wilson   NO (8),QB84,474,,,,,474.0,
659,Khalil Herbert   SF (8),RB146,475,,,,,475.0,
660,Cody White   SEA (11),WR237,476,,,,,476.0,
661,Patrick Taylor Jr.   SF (8),RB147,477,,,,,477.0,
662,Grant Calcaterra   PHI (10),TE113,478,,,,,478.0,
663,Bailey Zappe   NYJ (13),QB85,479,,,,,479.0,
664,Brittain Brown   CHI (10),RB148,480,,,,,480.0,
665,Julius Chestnut   TEN (9),RB149,481,,,,,481.0,
666,Ronnie Rivers   LAR (11),RB150,482,,,,,482.0,
667,Roschon Johnson   CHI (10),RB151,483,,,,,483.0,
668,Deuce Vaughn   HOU (8),RB152,484,,,,,484.0,
669,Will Levis   TEN (9),QB86,485,,,,,485.0,
670,Aidan O'Connell   LV (13),QB87,486,,,,,486.0,
671,Bub Means   NO (8),WR238,488,,,,,488.0,
672,Sione Vaki   DET (6),RB153,489,,,,,489.0,
673,Colson Yankoff   WAS (7),TE114,490,,,,,490.0,
674,Dillon Gabriel   CLE (11),QB88,491,,,,,491.0,
675,Jalen Milroe   SEA (11),QB89,492,,,,,492.0,
676,Gavin Bartholomew   MIN (6),TE115,493,,,,,493.0,
677,Dominic Lovett   DET (6),WR239,494,,,,,494.0,
678,Beaux Collins   ATL (11),WR240,495,,,,,495.0,
679,Brady Cook   NYJ (13),QB90,496,,,,,496.0,
680,Drake Dabney   GB (11),TE116,497,,,,,497.0,
681,Jam Miller   NE (11),RB154,498,,,,,498.0,
682,Athan Kaliakmanis   WAS (7),QB91,499,,,,,499.0,
