"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","season_year","week"
"437","Seth Roberts","OAK","WR","12471","weighted",NA,NA,NA,NA,NA,NA,0,0,0,0,0.750802139037433,0.416384826639717,0,0,0,0,429.315409296586,102.214156001296,2.08794734677088,0.553209579355491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Torrey Smith","CAR","WR","10289","weighted",NA,NA,NA,NA,NA,NA,3.1937839673913,4.71808636468935,0,0,0.143282608695652,0.107644711806972,0.0389710144927536,0.0219587990334877,0,0,400.717934782609,123.136225310883,2.06332246376812,0.801164051055582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Brandon LaFell","FA","WR","9843","weighted",NA,NA,NA,NA,NA,NA,0.0859570765661253,0.195270850833643,0.00381670533642691,0.0087943655164279,0.145255220417633,0.12572433531192,0.0239704176334107,0.018154702631258,0,0,438.174814385151,169.812972596443,2.15502900232019,0.825936900268075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IR","Achilles",2018,0
"440","Travis Benjamin","LAC","WR","10737","weighted",NA,NA,NA,NA,NA,NA,49.3738514492754,29.0009160891575,0.0732572463768116,0.117661777951021,0.436376811594203,0.405218119264662,0.0389710144927536,0.0219587990334877,0.170498188405797,0.0960697457715088,518.003112318841,72.7933161149483,2.9140652173913,0.748726331876035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","Cole Beasley","DAL","WR","10973","weighted",NA,NA,NA,NA,NA,NA,1.06147871376812,1.70520303230815,0.00238405797101449,0.00693099265736162,0.14763768115942,0.110928495154984,0.0292282608695652,0.0164690992751158,0.0779420289855072,0.0439175980669755,442.784050724638,82.9780774650805,2.35589855072464,1.03714609402875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Chad Williams","ARI","WR","13280","weighted",NA,NA,NA,NA,NA,NA,22.1162551440329,27.2993327021461,0.0595720164609054,0.125363930323139,0.231069958847737,0.190634746667376,0.033977366255144,0.0206880707135627,0,0,344.797172839506,196.828625010733,2.16806172839506,1.69141042200454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","Chris Conley","KC","WR","12257","weighted",NA,NA,NA,NA,NA,NA,0.784938271604938,1.85802425308594,0.00135390946502058,0.00369755659279665,0.139279835390947,0.120275602134158,0.0291234567901235,0.0177326320401966,0,0,345.018864197531,161.227164596463,1.3111646090535,1.05893752057547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","Kendall Wright","MIN","WR","10720","weighted",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,170.453257790368,310.972783758472,0.623229461756374,1.13701200642951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","T.J. Jones","DET","WR","11686","weighted",NA,NA,NA,NA,NA,NA,0,0,0.00406172839506173,0.01109266977839,0.177942386831276,0.149752702033076,0.0485390946502058,0.029554386733661,0,0,293.325209876543,122.975757511783,1.37846090534979,0.53099613870997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","Laquon Treadwell","MIN","WR","12645","weighted",NA,NA,NA,NA,NA,NA,0.203086419753086,0.554633488919498,0.0054156378600823,0.0147902263711866,0.126687242798354,0.10616779285808,0.0436851851851852,0.0265989480602949,0,0,326.528164609053,129.388952914138,1.68428395061728,0.889216228616756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
