study,result_dir,experiment,league,evidence_class,candidate_method,baseline_method,tier,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better,season_cluster_se
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,depth_main,temporal_2023_2025,contribution_crps,528,3,-0.0018527883126724688,-0.007784637582006602,0.006845567650428762,0.747,0.0035642434478440443
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_mtf_w050,production,depth_main,temporal_2023_2025,played_crps,528,3,-0.0002163804287138746,-0.0014854186161160883,0.000780207225385667,0.6032,0.0005453520436241548
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,depth_main,temporal_2023_2025,ppg_crps,528,3,0.0001256891885696567,-0.00043758275557507316,0.000557001036663177,0.2674,0.00024309459893070471
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,depth_main,temporal_2023_2025,contribution_crps,528,3,0.0009148340503193546,-0.005068098212342243,0.004516582726280086,0.2668,0.002434982749463169
2026-08-02_pff_te_confirmation,results_template_dk,2026-08-02_pff_te_confirmation__results_template_dk,dk,fresh_expanded,te_pff_yac_w025,production,depth_main,temporal_2023_2025,played_crps,528,3,0.0005301452171150471,-0.00042510297027141737,0.0013351976744697515,0.149,0.0004184987515172552
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_mtf_w025,production,core_strict,development_2017_2022,ppg_crps,504,6,5.586373262648783e-05,-0.0001439027229774538,0.00023511418062539943,0.2808,9.709595599469712e-05
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_mtf_w025,production,core_strict,development_2017_2022,contribution_crps,504,6,0.003960101814251892,0.00011530796755340164,0.008221842826516503,0.019,0.002093396038967643
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_mtf_w025,production,core_strict,development_2017_2022,played_crps,504,6,-0.0008093847986031486,-0.001537415590562893,1.2216785179624233e-05,0.9722,0.00039522860432262484
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_mtf_w050,production,core_strict,development_2017_2022,ppg_crps,504,6,1.7132437949491436e-06,-0.00019659745241267968,0.00018936149989870322,0.4872,0.00010023362978992338
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_mtf_w050,production,core_strict,development_2017_2022,contribution_crps,504,6,0.006150547771251005,0.0015582626331657032,0.010515193045614503,0.004,0.00228294129687794
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_mtf_w050,production,core_strict,development_2017_2022,played_crps,504,6,-0.0011382614631847067,-0.001852252274869593,-0.0002014220080105569,0.9892,0.00043804293299318784
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_yac_w025,production,core_strict,development_2017_2022,ppg_crps,504,6,-0.00023791629214639046,-0.0005050791370377663,-5.5391034988137264e-05,1.0,0.00012055671689033413
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_yac_w025,production,core_strict,development_2017_2022,contribution_crps,504,6,0.0035064052355576253,-0.0013479022365894685,0.007781169416587034,0.0694,0.0022949673391711584
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_yac_w025,production,core_strict,development_2017_2022,played_crps,504,6,-0.0007838344519938634,-0.0013867728263204694,-9.747650951098524e-05,0.9864,0.00033500748733241277
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_mtf_w025,production,core_strict,temporal_2023_2025,ppg_crps,252,3,-0.00023317448095461522,-0.00046924583954318803,-7.896129257090971e-05,1.0,9.696384940950268e-05
2026-08-02_pff_te_confirmation,results_template_beta,2026-08-02_pff_te_confirmation__results_template_beta,beta,fresh_expanded,te_pff_mtf_w025,production,core_strict,temporal_2023_2025,contribution_crps,252,3,-0.0036758268644362644,-0.011973465425127635,0.004367133481260848,0.8496,0.0038752924936290315
