comparison,lower_chance_level,higher_chance_level,year,trial,roster_changed,both_actual_cap_feasible,joint_feasible_actual_points_effect,managed_forecast_season_points_effect,heldout_cap_probability_effect,actual_cap_feasible_effect,actual_cap_overage_effect,actual_salary_spend_effect,point_salary_spend_effect
70_minus_60,0.6,0.7,2022,130,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,131,True,False,,12.4459228515625,-0.030000000000000027,-1.0,2.0,10.0,-4.7910850048065186
70_minus_60,0.6,0.7,2022,132,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,133,True,True,-92.5001220703125,-5.157958984375,0.235,0.0,0.0,-3.0,-8.614889144897461
70_minus_60,0.6,0.7,2022,134,True,True,96.0999755859375,-28.5787353515625,0.04500000000000004,0.0,0.0,0.0,5.659842014312744
70_minus_60,0.6,0.7,2022,135,True,False,,-12.2039794921875,0.07999999999999996,0.0,23.0,23.0,-5.029552459716797
70_minus_60,0.6,0.7,2022,136,True,False,,-0.33837890625,0.15999999999999998,0.0,-7.0,-7.0,-0.6926039457321167
70_minus_60,0.6,0.7,2022,137,True,True,-11.800048828125,-2.6531982421875,0.09499999999999997,0.0,0.0,0.0,-3.9991284608840942
70_minus_60,0.6,0.7,2022,138,True,False,,5.53857421875,0.28,1.0,-6.0,-9.0,-6.299112319946289
70_minus_60,0.6,0.7,2022,139,True,False,,10.0166015625,0.09999999999999998,0.0,14.0,14.0,1.0428826808929443
70_minus_60,0.6,0.7,2022,140,True,False,,-0.0621337890625,0.015000000000000013,0.0,1.0,1.0,0.0
70_minus_60,0.6,0.7,2022,141,True,False,,10.0257568359375,0.12,0.0,-16.0,-16.0,4.352031707763672
70_minus_60,0.6,0.7,2022,142,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,143,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,144,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,145,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,146,True,False,,-5.1517333984375,0.245,0.0,-14.0,-14.0,-2.582019805908203
70_minus_60,0.6,0.7,2022,147,True,False,,-1.877685546875,-0.03500000000000003,1.0,-1.0,-3.0,0.5410451889038086
70_minus_60,0.6,0.7,2022,148,True,False,,10.8443603515625,0.16499999999999998,0.0,6.0,6.0,-2.0768637657165527
70_minus_60,0.6,0.7,2022,149,True,False,,-10.4398193359375,0.12000000000000005,-1.0,18.0,18.0,-2.631575107574463
70_minus_60,0.6,0.7,2022,150,True,False,,-3.397705078125,0.02499999999999991,0.0,-22.0,-22.0,-2.979983329772949
70_minus_60,0.6,0.7,2022,151,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,152,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,153,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,154,True,False,,1.5330810546875,0.09999999999999998,0.0,-11.0,-11.0,-2.5641965866088867
70_minus_60,0.6,0.7,2022,155,True,False,,22.361328125,0.10999999999999999,0.0,6.0,6.0,-5.355655670166016
70_minus_60,0.6,0.7,2022,156,True,False,,-15.688720703125,-0.010000000000000009,1.0,-10.0,-14.0,-6.109587669372559
70_minus_60,0.6,0.7,2022,157,True,False,,-7.452392578125,0.24,0.0,-1.0,-1.0,-2.526869297027588
70_minus_60,0.6,0.7,2022,158,True,False,,26.607177734375,-0.030000000000000027,-1.0,8.0,20.0,6.2541890144348145
70_minus_60,0.6,0.7,2022,159,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,160,True,True,8.099853515625,12.949951171875,0.21499999999999997,0.0,0.0,2.0,-1.9465394020080566
70_minus_60,0.6,0.7,2022,161,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,162,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,163,True,False,,-0.309814453125,0.030000000000000027,0.0,-18.0,-18.0,-3.3955321311950684
70_minus_60,0.6,0.7,2022,164,True,False,,2.7296142578125,0.14999999999999997,0.0,-8.0,-8.0,-2.8911590576171875
70_minus_60,0.6,0.7,2022,165,True,False,,12.1312255859375,0.125,0.0,16.0,16.0,-5.639545440673828
70_minus_60,0.6,0.7,2022,166,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
70_minus_60,0.6,0.7,2022,167,True,True,33.9000244140625,-0.055419921875,-0.050000000000000044,0.0,0.0,-17.0,-3.885540008544922
70_minus_60,0.6,0.7,2022,168,True,False,,13.479248046875,0.22000000000000003,0.0,-3.0,-3.0,-10.413908958435059
70_minus_60,0.6,0.7,2022,169,True,False,,12.55078125,0.12,1.0,-3.0,-6.0,-5.59753942489624
70_minus_60,0.6,0.7,2022,170,True,False,,2.6253662109375,0.06499999999999995,0.0,16.0,16.0,4.178524017333984
70_minus_60,0.6,0.7,2022,171,False,False,,0.0,0.0,0.0,0.0,0.0,0.0
