player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
Fred Taylor,333,HB,5,NE,3,2,66.7,6,0,68.4,59.1,68.3,82.3,33.3,3.0,5,2.5,7,0,0,0,0,1,70.1,0,0
Albert Young,4665,HB,3,MIN,2,2,100.0,11,0,58.4,65.2,70.5,75.4,73.2,5.5,13,6.5,13,0,0,0,0,0,89.6,0,0
Keith Toston,5821,HB,5,STR,2,2,100.0,29,0,52.3,66.8,68.3,77.7,27.4,14.5,33,16.5,23,1,0,0,0,0,118.8,0,0
Duke Calhoun,5824,WR,2,NYG,2,1,50.0,4,0,43.7,46.5,28.8,61.2,,4.0,5,5.0,4,0,1,0,0,0,56.3,1,0
Khalif Barnes,2269,TE,16,OAK,2,2,100.0,8,1,52.5,51.2,68.3,64.0,48.0,4.0,5,2.5,6,1,0,0,0,0,122.9,7,0
Jeff Cumberland,5861,TE,1,NYJ,2,1,50.0,3,0,49.2,48.6,64.7,61.2,70.4,3.0,2,2.0,3,0,0,0,0,0,56.3,0,0
Arnaz Battle,1499,WR,2,PIT,2,0,0.0,0,0,54.6,55.4,,,,,0,,0,0,0,0,0,0,39.6,0,0
Mike Vrabel,268,ED,16,KC,2,1,50.0,2,1,46.1,49.2,64.7,61.2,,2.0,0,0.0,2,1,0,0,0,0,95.8,2,0
Darcy Johnson,3377,TE,4,STR,2,0,0.0,0,0,51.8,31.2,27.9,,67.3,,0,,0,0,1,0,0,0,39.6,2,0
Tory Humphrey,2644,TE,5,NO,2,1,50.0,12,0,55.1,43.7,64.7,61.2,73.3,12.0,12,12.0,12,1,0,0,0,1,68.8,0,0
Madison Hedgecock,2468,FB,4,NYG,2,2,100.0,8,0,46.4,56.4,68.3,64.0,30.1,4.0,9,4.5,7,0,0,0,0,0,83.3,1,0
Gary Banks,4862,WR,2,SD,2,1,50.0,2,0,54.3,51.0,64.7,61.2,,2.0,-10,-10.0,2,0,0,0,0,0,56.3,0,0
Mike Bell,3225,HB,5,PHI,2,1,50.0,5,0,44.7,38.4,52.1,32.5,38.0,5.0,6,6.0,5,0,1,0,1,0,56.3,0,0
Quan Cosby,5342,WR,7,CIN,2,2,100.0,16,0,59.7,59.5,68.3,64.0,,8.0,5,2.5,11,1,0,0,0,0,100.0,0,0
Kevin Curtis,1389,WR,2,MIA,2,1,50.0,6,0,51.8,50.2,64.7,64.6,,6.0,0,0.0,6,0,0,0,0,0,56.3,0,0
Desmond Clark,529,TE,3,CHI,2,1,50.0,12,0,38.6,34.8,28.8,61.2,75.8,12.0,9,9.0,12,1,1,0,0,0,68.8,0,0
Quinton Ganther,3191,HB,6,BUF,2,2,100.0,9,0,51.1,55.5,68.3,73.9,66.9,4.5,6,3.0,8,0,0,0,0,0,85.4,1,0
Kareem Huggins,5414,HB,3,TB,2,1,50.0,7,0,64.3,75.0,64.7,69.4,46.5,7.0,0,0.0,7,1,0,0,0,0,58.3,0,0
Armanti Edwards,5613,WR,3,CAR,2,0,0.0,0,0,53.7,43.8,28.0,63.6,,,0,,0,0,1,1,0,0,0.0,0,0
Eldra Buckley,3900,HB,7,PHI,2,1,50.0,10,0,51.2,28.3,64.7,26.4,80.4,10.0,6,6.0,10,1,0,0,1,1,64.6,0,0
Michael Bennett,797,HB,1,OAK,2,2,100.0,9,0,56.3,65.9,68.3,67.8,,4.5,7,3.5,6,0,0,0,0,0,85.4,0,0
Yamon Figurs,3690,WR,1,OAK,2,2,100.0,17,0,65.8,75.9,68.3,66.2,,8.5,-13,-6.5,11,1,0,0,0,0,102.1,0,0
Richard Quinn,4987,TE,10,DEN,2,1,50.0,9,0,68.4,44.4,64.7,61.2,72.1,9.0,11,11.0,9,0,0,0,0,0,62.5,1,0
Demetrius Williams,3056,WR,2,CLV,2,0,0.0,0,0,41.5,41.8,28.0,,,,0,,0,0,1,0,0,0,39.6,0,0
Lex Hilliard,4518,FB,8,MIA,2,1,50.0,3,0,57.2,57.1,64.7,61.2,79.1,3.0,5,5.0,3,0,0,0,0,0,56.3,0,0
Ernest Wilford,1841,TE,2,JAX,2,1,50.0,3,0,51.9,52.5,68.3,64.0,,3.0,0,0.0,3,0,0,0,0,0,56.3,0,0
Erik Lorig,5775,FB,6,TB,2,1,50.0,10,0,59.2,59.2,64.7,61.2,42.3,10.0,8,8.0,10,1,0,0,0,0,64.6,0,0
