method,slice_type,slice_value,metric,n_rows,value
qb_yardage_tree_average,season,2017,mae,407,2.4396697226100144
qb_yardage_tree_average,season,2017,bias,407,0.5114273408635727
qb_yardage_tree_average,season,2017,spearman,407,0.7873240942659442
qb_yardage_equal_thirds,season,2017,rmse,407,3.0851061337742047
qb_yardage_equal_thirds,season,2017,mae,407,2.4075959253133115
qb_yardage_equal_thirds,season,2017,bias,407,0.42055909687776416
qb_yardage_equal_thirds,season,2017,spearman,407,0.7910167191128545
qb_tds_tree_average,season,2017,rmse,407,3.1156755860384715
qb_tds_tree_average,season,2017,mae,407,2.428265424944365
qb_tds_tree_average,season,2017,bias,407,0.4833960702661457
qb_tds_tree_average,season,2017,spearman,407,0.7868011533713031
qb_tds_equal_thirds,season,2017,rmse,407,3.0873682831799134
qb_tds_equal_thirds,season,2017,mae,407,2.400378734574987
qb_tds_equal_thirds,season,2017,bias,407,0.3837916617268908
qb_tds_equal_thirds,season,2017,spearman,407,0.7891372111560941
qb_style_tree_average,season,2017,rmse,407,3.1153666848030253
qb_style_tree_average,season,2017,mae,407,2.4302636994182887
qb_style_tree_average,season,2017,bias,407,0.48273251321357213
qb_style_tree_average,season,2017,spearman,407,0.786865052548014
qb_style_equal_thirds,season,2017,rmse,407,3.085971292034018
qb_style_equal_thirds,season,2017,mae,407,2.400568975931314
qb_style_equal_thirds,season,2017,bias,407,0.3954769006221819
qb_style_equal_thirds,season,2017,spearman,407,0.7894015294775856
team_support_tree_average,season,2017,rmse,407,3.116135576569407
team_support_tree_average,season,2017,mae,407,2.427336810200711
team_support_tree_average,season,2017,bias,407,0.46011593819907864
team_support_tree_average,season,2017,spearman,407,0.7848507155484725
team_support_equal_thirds,season,2017,rmse,407,3.087793794597772
team_support_equal_thirds,season,2017,mae,407,2.39794431765129
team_support_equal_thirds,season,2017,bias,407,0.37767827396168874
team_support_equal_thirds,season,2017,spearman,407,0.7877163889329927
team_rush_scoring_tree_average,season,2017,rmse,407,3.109043323420525
team_rush_scoring_tree_average,season,2017,mae,407,2.4388483512967345
team_rush_scoring_tree_average,season,2017,bias,407,0.5514634701312996
team_rush_scoring_tree_average,season,2017,spearman,407,0.7904627185905365
team_rush_scoring_equal_thirds,season,2017,rmse,407,3.0831070625277306
team_rush_scoring_equal_thirds,season,2017,mae,407,2.411383895573601
team_rush_scoring_equal_thirds,season,2017,bias,407,0.4726500386294177
team_rush_scoring_equal_thirds,season,2017,spearman,407,0.7928603616542744
all_environment_tree_average,season,2017,rmse,407,3.1172015347785655
all_environment_tree_average,season,2017,mae,407,2.448410061207698
all_environment_tree_average,season,2017,bias,407,0.5368013029142638
all_environment_tree_average,season,2017,spearman,407,0.787699301687967
all_environment_equal_thirds,season,2017,rmse,407,3.0909064839793237
all_environment_equal_thirds,season,2017,mae,407,2.421244865369439
all_environment_equal_thirds,season,2017,bias,407,0.4627619633847183
all_environment_equal_thirds,season,2017,spearman,407,0.7914545797666384
all_environment_lasso,season,2018,rmse,405,3.479997470305211
all_environment_lasso,season,2018,mae,405,2.6532016275598216
all_environment_lasso,season,2018,bias,405,-0.772888706829086
all_environment_lasso,season,2018,spearman,405,0.7894878218320226
all_environment_lightgbm,season,2018,rmse,405,3.3581596744811133
all_environment_lightgbm,season,2018,mae,405,2.5782039820751357
all_environment_lightgbm,season,2018,bias,405,-0.36660870225481756
all_environment_lightgbm,season,2018,spearman,405,0.7920331593870824
all_environment_random_forest,season,2018,rmse,405,3.3665502004876093
all_environment_random_forest,season,2018,mae,405,2.5997536985365652
all_environment_random_forest,season,2018,bias,405,-0.39389243064410023
all_environment_random_forest,season,2018,spearman,405,0.7872342116649945
qb_style_lasso,season,2018,rmse,405,3.4759203029528623
