league,domain,position,candidate,rows,seasons,production_rmse,opportunity_control_rmse,candidate_rmse,candidate_delta_vs_production,candidate_delta_vs_opportunity_control,mean_season_delta_vs_control,season_wins_vs_control,season_bootstrap_low,season_bootstrap_high,development_2018_2022_delta_vs_control,temporal_2023_2025_delta_vs_control,q90_rows,q90_rmse_delta_vs_control
beta,rushing,RB,rush_explosive_per_attempt,901,8,3.287746510328968,3.305702416422828,3.3075090560452582,0.019762545716290436,0.0018066396224303283,0.0012145953434111179,5,-0.006308488301184537,0.01077168292734857,0.0032800024725165855,-0.0007363274258556096,93,-0.024217074542441708
beta,receiving,RB,rec_touchdowns_per_route,901,8,3.287746510328968,3.307627322444346,3.309699991774325,0.021953481445357248,0.002072669329979071,0.0020876944162724342,4,-0.003042148854807525,0.008030749547500604,0.003373764742143237,-0.00015851556639789877,93,0.0024449631543133066
beta,receiving,RB,rec_adot,901,8,3.287746510328968,3.310960990363034,3.313367844179783,0.02562133385081511,0.0024068538167489884,0.002144930305870929,3,-0.0030702242506063238,0.007053401835393653,0.0021056797266543192,0.002924143958290326,93,-0.04350815960174792
beta,rushing,RB,rush_first_downs_per_attempt,901,8,3.287746510328968,3.305702416422828,3.3081347443096916,0.020388233980723758,0.00243232788686365,0.0022729076499717893,3,-0.003162463749608142,0.008578380841427147,-0.00018851516376283683,0.0069487737763229696,93,0.020989497624397835
beta,rushing,RB,rush_breakaway_yards_per_attempt,901,8,3.287746510328968,3.305702416422828,3.309462783623733,0.02171627329476511,0.0037603672009050015,0.003050904077098626,5,-0.007029251965270877,0.015224058161667553,0.0041347246547771555,0.003114842643512361,93,-0.011306802434263297
beta,receiving,RB,rec_slot_rate,901,8,3.287746510328968,3.307627322444346,3.311465307390808,0.023718797061840213,0.0038379849464620364,0.0051055923958275296,4,-0.009728979204491617,0.02701132213579219,0.011105073231310936,-0.008655921245559028,93,-0.004798010441971812
beta,receiving,RB,rec_targets_per_route,901,8,3.287746510328968,3.307627322444346,3.3115992057839865,0.02385269545501867,0.003971883339640492,0.00557060198256637,5,-0.009830040433166303,0.026749259534206205,0.007147627158236247,-0.0014784757247778835,93,-0.04778760259285342
beta,rushing,RB,rush_yco_per_attempt,901,8,3.287746510328968,3.305702416422828,3.3104808983165004,0.02273438798753258,0.0047784818936724704,0.004986533877633648,3,-0.0021635074177507874,0.01363329797207774,0.0048016828020731595,0.004738917369271789,93,-0.04931084345940562
beta,receiving,RB,rec_wide_rate,901,8,3.287746510328968,3.307627322444346,3.3160510412370594,0.028304530908091596,0.00842371879271342,0.01057768576710727,4,-0.010164406107133206,0.041406815438255196,0.014040078240070919,-0.0012249799229406833,93,-0.026490209071757143
beta,rushing,RB,rush_breakaway_percent,901,8,3.287746510328968,3.305702416422828,3.3144207612839107,0.026674250954942913,0.008718344861082805,0.007521889722625019,4,-0.00585473777964457,0.025169018490331818,0.012351747203243946,0.0024418682877094255,93,-0.0013183258951405818
