domain,position,left,right,rows,spearman
rushing,QB,rush_ypa,rush_gap_share,98,0.21537484980293045
rushing,QB,rush_ypa,rush_zone_share,98,0.2248747093188141
rushing,QB,rush_ypa,rush_run_grade,98,0.4609337396565524
rushing,QB,rush_ypa,rush_designed_yards_per_attempt,98,0.38663300371695064
rushing,QB,rush_ypa,rush_scramble_share,98,0.1375876260738941
rushing,QB,rush_first_downs_per_attempt,rush_mtf_per_attempt,98,0.2967260379269474
rushing,QB,rush_first_downs_per_attempt,rush_yco_per_attempt,98,0.3243487144511548
rushing,QB,rush_first_downs_per_attempt,rush_explosive_per_attempt,98,0.2379789300384205
rushing,QB,rush_first_downs_per_attempt,rush_breakaway_percent,98,-0.0225986626111241
rushing,QB,rush_first_downs_per_attempt,rush_breakaway_yards_per_attempt,98,-0.0009189627360178622
rushing,QB,rush_first_downs_per_attempt,rush_gap_share,98,0.11651388346724707
rushing,QB,rush_first_downs_per_attempt,rush_zone_share,98,-0.10003890103181788
rushing,QB,rush_first_downs_per_attempt,rush_run_grade,98,0.6511518211332327
rushing,QB,rush_first_downs_per_attempt,rush_designed_yards_per_attempt,98,0.17793832802743262
rushing,QB,rush_first_downs_per_attempt,rush_scramble_share,98,-0.07393484977389163
rushing,QB,rush_mtf_per_attempt,rush_yco_per_attempt,98,0.7613389671959463
rushing,QB,rush_mtf_per_attempt,rush_explosive_per_attempt,98,0.1763942559976283
rushing,QB,rush_mtf_per_attempt,rush_breakaway_percent,98,0.16075011355871718
rushing,QB,rush_mtf_per_attempt,rush_breakaway_yards_per_attempt,98,0.19463920569914073
rushing,QB,rush_mtf_per_attempt,rush_gap_share,98,0.4005889085969138
rushing,QB,rush_mtf_per_attempt,rush_zone_share,98,0.038042889129405
rushing,QB,rush_mtf_per_attempt,rush_run_grade,98,0.5081217742150282
rushing,QB,rush_mtf_per_attempt,rush_designed_yards_per_attempt,98,0.36936839377244823
rushing,QB,rush_mtf_per_attempt,rush_scramble_share,98,-0.19608249482839116
rushing,QB,rush_yco_per_attempt,rush_explosive_per_attempt,98,0.3251303157765884
rushing,QB,rush_yco_per_attempt,rush_breakaway_percent,98,0.08083890920023486
rushing,QB,rush_yco_per_attempt,rush_breakaway_yards_per_attempt,98,0.12570819717656034
rushing,QB,rush_yco_per_attempt,rush_gap_share,98,0.2733838584776819
rushing,QB,rush_yco_per_attempt,rush_zone_share,98,0.03703928066916387
rushing,QB,rush_yco_per_attempt,rush_run_grade,98,0.47332984821872826
rushing,QB,rush_yco_per_attempt,rush_designed_yards_per_attempt,98,0.2807486204855242
rushing,QB,rush_yco_per_attempt,rush_scramble_share,98,0.0022028116934757268
rushing,QB,rush_explosive_per_attempt,rush_breakaway_percent,98,0.06766782763263753
rushing,QB,rush_explosive_per_attempt,rush_breakaway_yards_per_attempt,98,0.14855275544818053
rushing,QB,rush_explosive_per_attempt,rush_gap_share,98,-0.023289941217174343
rushing,QB,rush_explosive_per_attempt,rush_zone_share,98,0.11249984058181264
rushing,QB,rush_explosive_per_attempt,rush_run_grade,98,0.3858435921927863
