"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"302","13","","Steven Hauschka","BUF","K24","6","228","330","293.5","20.2","308.0","+6.0"
"303","13","","Demarcus Robinson","KC","WR103","12","190","351","269.8","37.6","276.0","-27.0"
"304","13","","Devontae Booker","DEN","RB83","10","172","372","283.1","32.7","346.0","+42.0"
"305","13","","Cairo Santos","TB","K25","7","236","331","300.8","25.5","631.0","+326.0"
"306","13","","Will Dissly","SEA","TE36","11","160","334","246.3","44.8","304.0","-2.0"
"307","13","","Ty Montgomery","NYJ","RB84","4","167","381","291.5","40.4","321.0","+14.0"
"308","13","","Miles Boykin","BAL","WR104","8","163","355","266.2","51.9","306.0","-2.0"
"309","13","","Darwin Thompson","KC","RB85","12","190","336","273.9","47.0","216.0","-93.0"
"310","13","","Daniel Carlson","OAK","K26","6","234","333","301.9","19.2","333.0","+23.0"
"311","13","","Ryan Grant","OAK","WR105","6","212","352","281.1","25.6","895.0","+584.0"
"312","13","","New York (NYJ)","","DST26","4","204","322","287.9","22.3","245.0","-67.0"
"313","13","","New York (NYG)","","DST27","11","230","325","305.2","18.0","283.0","-30.0"
"314","13","","Jake Kumerow","GB","WR106","11","197","319","281.8","25.6","386.0","+72.0"
"315","13","","Deon Cain","IND","WR107","6","206","365","290.4","38.3","293.0","-22.0"
"316","13","","Diontae Johnson","PIT","WR108","7","143","362","279.9","42.4","320.0","+4.0"
"317","13","","Jordan Thomas","HOU","TE37","10","169","320","248.5","44.9","294.0","-23.0"
"318","13","","Terry McLaurin","WAS","WR109","10","88","336","260.5","57.5","323.0","+5.0"
"319","13","","Matt LaCosse","NE","TE38","10","159","348","250.8","44.4","269.0","-50.0"
"320","13","","Matt Bryant","FA","K27","","197","320","270.0","42.2","322.0","+2.0"
"321","13","","Cameron Meredith","NE","WR110","10","219","374","285.2","30.9","559.0","+238.0"
"322","13","","Wendell Smallwood","PHI","RB86","10","195","354","302.7","22.2","357.0","+35.0"
"323","13","","Irv Smith Jr.","MIN","TE39","12","219","346","279.9","32.8","229.0","-94.0"
"324","13","","Spencer Ware","IND","RB87","6","214","345","274.7","24.7","330.0","+6.0"
"325","13","","Josh Gordon","NE","WR111","10","122","369","243.1","77.3","186.0","-139.0"
"326","13","","Keith Kirkwood","NO","WR112","9","248","374","308.1","27.0","488.0","+162.0"
"327","13","","Mike Weber","DAL","RB88","8","235","403","301.9","44.5","329.0","+2.0"
"328","13","","J'Mon Moore","GB","WR113","11","251","366","295.9","26.5","748.0","+420.0"
"329","13","","Jake Butt","DEN","TE40","10","190","384","296.3","35.6","388.0","+59.0"
"330","13","","Ryan Tannehill","TEN","QB35","11","190","419","314.5","38.0","398.0","+68.0"
"331","13","","San Francisco (SF)","","DST28","4","191","338","309.2","16.9","234.0","-97.0"
"332","13","","Bruce Anderson","TB","RB89","7","128","330","268.0","46.2","281.0","-51.0"
"333","13","","Miami (MIA)","","DST29","5","211","347","306.6","27.2","290.0","-43.0"
"334","14","","Kendrick Bourne","SF","WR114","4","237","323","290.3","22.7","403.0","+69.0"
"335","14","","Blake Jarwin","DAL","TE41","8","178","354","273.0","41.5","375.0","+40.0"
"336","14","","John Kelly","LAR","RB90","9","244","389","305.3","33.7","855.0","+519.0"
"337","14","","Travis Benjamin","LAC","WR115","12","195","321","264.4","35.3","354.0","+17.0"
"338","14","","Trent Taylor","SF","WR116","4","195","328","275.9","42.0","439.0","+101.0"
"339","14","","Geoff Swaim","JAC","TE42","10","183","367","277.1","58.6","309.0","-30.0"
"340","14","","Wayne Gallman","NYG","RB91","11","280","381","320.0","23.2","334.0","-6.0"
"341","14","","C.J. Uzomah","CIN","TE43","9","154","364","291.9","35.7","339.0","-2.0"
"342","14","","Tampa Bay (TB)","","DST30","7","233","342","306.2","24.1","318.0","-24.0"
"343","14","","Daniel Jones","NYG","QB36","11","202","417","308.9","43.6","295.0","-48.0"
"344","14","","KeeSean Johnson","ARI","WR117","12","170","383","274.5","76.1","338.0","-6.0"
"345","14","","Michael Crabtree","FA","WR118","","211","303","264.1","29.9","374.0","+29.0"
"346","14","","Dustin Hopkins","WAS","K28","10","278","332","315.7","16.0","315.0","-31.0"
"347","14","","Bilal Powell","NYJ","RB92","4","217","373","317.1","34.1","336.0","-11.0"
"348","14","","Jace Sternberger","GB","TE44","11","173","376","285.3","56.9","355.0","+7.0"
"349","14","","Maurice Harris","NE","WR119","10","169","330","262.0","42.8","324.0","-25.0"
"350","14","","Rod Smith","NYG","RB93","11","235","350","323.0","11.3","718.0","+368.0"
"351","14","","Jay Ajayi","FA","RB94","","216","352","289.1","45.3","256.0","-95.0"
"352","14","","Vernon Davis","WAS","TE45","10","191","341","289.5","46.6","445.0","+93.0"
"353","14","","Josh Oliver","JAC","TE46","10","191","373","272.9","48.2","342.0","-11.0"
"354","14","","Justin Watson","TB","WR120","7","214","342","286.3","44.4","427.0","+73.0"
"355","14","","Benjamin Watson","NE","TE47","10","196","331","274.1","27.6","258.0","-97.0"
"356","14","","Austin Seferian-Jenkins","FA","TE48","","242","338","275.4","27.6","716.0","+360.0"
"357","14","","Jalen Hurd","SF","WR121","4","214","377","307.1","31.5","369.0","+12.0"
"358","14","","Cameron Artis-Payne","CAR","RB95","7","296","415","327.4","26.3","331.0","-27.0"
"359","14","","Hunter Renfrow","OAK","WR122","6","175","358","281.6","57.3","371.0","+12.0"
"360","14","","Zach Zenner","DET","RB96","5","260","382","329.5","18.9","406.0","+46.0"
"361","14","","Alfred Morris","DAL","RB97","8","194","329","252.8","48.6","254.0","-107.0"
"362","14","","Trayveon Williams","CIN","RB98","9","215","396","325.3","35.9","282.0","-80.0"
"363","14","","Chandler Catanzaro","NYJ","K29","4","254","332","317.6","12.3","327.0","-36.0"
"364","14","","Tyler Higbee","LAR","TE49","9","233","342","302.9","34.5","360.0","-4.0"
"365","14","","Andre Ellington","TB","RB99","7","212","351","290.4","34.5","1,020.0","+655.0"
"366","14","","Jeff Wilson","SF","RB100","4","283","407","328.8","29.3","481.0","+115.0"
"367","14","","Myles Gaskin","MIA","RB101","5","225","390","333.9","26.1","345.0","-22.0"
"368","14","","Qadree Ollison","ATL","RB102","9","192","385","307.5","54.4","285.0","-83.0"
"369","14","","Damarea Crockett","HOU","RB103","10","180","404","282.7","85.8","475.0","+106.0"
"370","14","","Ryan Switzer","PIT","WR123","7","244","378","296.4","35.6","413.0","+43.0"
"371","14","","Ameer Abdullah","MIN","RB104","12","308","406","331.3","27.0","467.0","+96.0"
"372","14","","Chester Rogers","IND","WR124","6","263","361","305.7","23.3","429.0","+57.0"
"373","14","","Jaron Brown","SEA","WR125","11","194","388","318.1","38.4","419.0","+46.0"
"374","14","","Kelvin Harmon","WAS","WR126","10","261","354","318.5","27.0","310.0","-64.0"
"375","14","","Adam Shaheen","CHI","TE50","6","179","364","308.7","43.4","465.0","+90.0"
"376","14","","Cody Parkey","FA","K30","","225","319","298.0","15.2","362.0","-14.0"
"377","14","","Gary Jennings","SEA","WR127","11","176","373","321.4","46.0","460.0","+83.0"
"378","14","","Dontrelle Inman","NE","WR128","10","235","333","298.5","29.4","469.0","+91.0"
"379","14","","Jakeem Grant","MIA","WR129","5","204","362","312.9","38.7","1,022.0","+643.0"
"380","14","","Dawson Knox","BUF","TE51","6","157","346","282.2","39.3","367.0","-13.0"
"381","14","","Luke Willson","OAK","TE52","6","191","359","301.7","29.7","584.0","+203.0"
"382","14","","Allen Hurns","MIA","WR130","5","290","337","314.4","13.6","534.0","+152.0"
"383","14","","Jordan Matthews","SF","WR131","4","250","359","303.2","36.2","436.0","+53.0"
"384","14","","Laquon Treadwell","MIN","WR132","12","285","356","316.9","21.0","416.0","+32.0"
"385","14","","Chad Beebe","MIN","WR133","12","208","354","265.0","56.2","424.0","+39.0"
"386","14","","Jesse James","DET","TE53","5","189","358","319.7","29.5","299.0","-87.0"
"387","14","","Rishard Matthews","NO","WR134","9","238","305","267.3","29.0","668.0","+281.0"
"388","14","","Kevin White","ARI","WR135","12","213","377","294.6","57.6","669.0","+281.0"
"389","14","","Mark Walton","MIA","RB105","5","307","360","333.0","12.4","1,024.0","+635.0"
"390","14","","Riley Ridley","CHI","WR136","6","245","380","333.5","30.9","272.0","-118.0"
"391","14","","Dez Bryant","FA","WR137","","242","306","278.5","26.7","298.0","-93.0"
"392","14","","Jakobi Meyers","NE","WR138","10","112","223","167.5","55.5","493.0","+101.0"
"393","14","","Rodney Anderson","CIN","RB106","9","272","371","335.6","24.1","316.0","-77.0"
"394","14","","Pierre Garcon","FA","WR139","","257","307","283.0","23.6","564.0","+170.0"
"395","14","","Tim Patrick","DEN","WR140","10","207","372","338.9","26.9","459.0","+64.0"
"396","14","","Cincinnati (CIN)","","DST31","9","305","344","321.7","14.0","341.0","-55.0"
"397","15","","Jermaine Kearse","DET","WR141","5","278","312","289.3","13.9","725.0","+328.0"
"398","15","","Drew Lock","DEN","QB37","10","241","418","336.7","44.4","328.0","-70.0"
"399","15","","Cody Latimer","NYG","WR142","11","242","328","293.0","33.0","842.0","+443.0"
"400","15","","Blake Bortles","LAR","QB38","9","270","424","333.2","47.4","387.0","-13.0"
"401","15","","Trenton Cannon","NYJ","RB107","4","319","383","336.9","19.3","1,025.0","+624.0"
"402","15","","Darren Sproles","PHI","RB108","10","205","398","317.4","68.1","280.0","-122.0"
"403","15","","Alex Collins","FA","RB109","","224","332","300.5","44.8","391.0","-12.0"
"404","15","","Foster Moreau","OAK","TE54","6","173","249","211.0","38.0","472.0","+68.0"
"405","15","","Marcus Murphy","BUF","RB110","6","326","337","332.8","3.1","796.0","+391.0"
"406","15","","Kahale Warring","HOU","TE55","10","232","360","321.4","23.7","409.0","+3.0"
"407","15","","Oakland (OAK)","","DST32","6","299","342","321.4","15.8","301.0","-106.0"
"408","15","","Bryce Love","WAS","RB111","10","253","391","334.2","37.4","312.0","-96.0"
"409","15","","Tyler Kroft","BUF","TE56","6","242","346","306.0","39.8","501.0","+92.0"
"410","15","","Taysom Hill","NO","QB39","9","267","422","329.4","51.3","376.0","-34.0"
"411","15","","Torrey Smith","CAR","WR143","7","248","366","311.3","42.9","546.0","+135.0"
"412","15","","Chris Moore","BAL","WR144","8","172","292","232.0","60.0","358.0","-54.0"
"413","15","","Karan Higdon","HOU","RB112","10","280","405","330.6","45.1","496.0","+83.0"
"414","15","","Jeff Heuerman","DEN","TE57","10","192","375","316.0","72.4","407.0","-7.0"
"415","15","","Ty Johnson","DET","RB113","5","239","397","318.0","59.8","390.0","-25.0"
"416","15","","Brian Hill","ATL","RB114","9","238","401","320.0","57.7","452.0","+36.0"
"417","15","","Drew Sample","CIN","TE58","9","257","369","297.7","50.6","487.0","+70.0"
"418","15","","Jarius Wright","CAR","WR145","7","276","379","335.6","40.7","433.0","+15.0"
"419","15","","Seth Roberts","BAL","WR146","8","246","337","302.3","40.2","438.0","+19.0"
"420","15","","Mike Boone","MIN","RB115","12","282","409","350.0","37.1","1,019.0","+599.0"
"421","15","","Randy Bullock","CIN","K31","9","313","345","325.3","12.3","364.0","-57.0"
"422","15","","Tajae Sharpe","TEN","WR147","11","263","339","306.0","31.8","442.0","+20.0"
"423","15","","Kelvin Benjamin","FA","WR148","","263","275","269.0","6.0","563.0","+140.0"
"424","15","","Alex Erickson","CIN","WR149","9","332","370","350.5","14.3","577.0","+153.0"
"425","15","","Ryan Griffin","NYJ","TE59","4","223","318","270.5","47.5","762.0","+337.0"
"426","15","","Demetrius Harris","CLE","TE60","7","269","343","312.0","31.4","443.0","+17.0"
"427","15","","Elijah Holyfield","CAR","RB116","7","257","375","313.7","48.3","348.0","-79.0"
"428","15","","Preston Williams","MIA","WR150","5","287","370","317.0","37.6","417.0","-11.0"
"429","15","","Darius Slayton","NYG","WR151","11","243","367","318.0","53.9","430.0","+1.0"
"430","15","","Jordan Scarlett","CAR","RB117","7","316","358","337.5","19.6","361.0","-69.0"
"431","15","","Travis Homer","SEA","RB118","11","182","393","287.5","105.5","489.0","+58.0"
"432","15","","Zane Gonzalez","ARI","K32","12","313","334","323.3","8.6","343.0","-89.0"
"433","15","","C.J. Prosise","SEA","RB119","11","238","343","290.5","52.5","674.0","+241.0"
"434","15","","Jordan Akins","HOU","TE61","10","215","367","291.0","76.0","456.0","+22.0"
"435","15","","LeGarrette Blount","FA","RB120","","311","337","326.0","11.0","410.0","-25.0"
"436","15","","Josh Hill","NO","TE62","9","277","315","296.0","19.0","414.0","-22.0"
"437","15","","Jason Sanders","MIA","K33","5","316","341","327.7","10.3","394.0","-43.0"
"438","15","","Eli Rogers","PIT","WR152","7","288","353","328.7","28.9","647.0","+209.0"
"439","15","","J.D. McKissic","SEA","RB121","11","238","360","299.0","61.0","1,023.0","+584.0"
"440","15","","Will Grier","CAR","QB40","7","242","420","340.7","73.9","381.0","-59.0"
"441","15","","Scott Miller","TB","WR153","7","271","365","332.3","43.4","500.0","+59.0"
"442","15","","Matt Gay","TB","K34","7","295","314","304.5","9.5","303.0","-139.0"
"443","15","","Chad Williams","ARI","WR154","12","284","328","306.0","22.0","655.0","+212.0"
"444","15","","Garrett Celek","SF","TE63","4","239","374","306.5","67.5","709.0","+265.0"
"445","15","","J.J. Nelson","OAK","WR155","6","285","389","340.0","42.7","471.0","+26.0"
"446","15","","James O'Shaughnessy","JAC","TE64","10","270","371","320.5","50.5","542.0","+96.0"
"447","15","","Virgil Green","LAC","TE65","12","291","350","320.5","29.5","523.0","+76.0"
"448","15","","Marcell Ateman","OAK","WR156","6","333","355","344.0","9.0","595.0","+147.0"
"449","15","","Xavier Grimble","PIT","TE66","7","277","365","321.0","44.0","503.0","+54.0"
"450","15","","Jordan Lasley","OAK","WR157","6","301","341","321.0","20.0","720.0","+270.0"
"451","15","","Tyrod Taylor","LAC","QB41","12","321","427","357.3","49.3","468.0","+17.0"
"452","15","","Javorius Allen","NO","RB122","9","325","328","326.5","1.5","412.0","-40.0"
"453","15","","T.J. Logan","ARI","RB123","12","322","411","355.0","39.8","573.0","+120.0"
"454","15","","Rhett Ellison","NYG","TE67","11","283","387","348.7","46.6","598.0","+144.0"
"455","15","","Jacob Hollister","SEA","TE68","11","306","352","329.0","23.0","776.0","+321.0"
"456","15","","Austin Carr","NO","WR158","9","320","340","330.0","10.0","552.0","+96.0"
"457","15","","Alex Barnes","TEN","RB124","11","350","351","350.7","0.5","434.0","-23.0"
"458","15","","Justin Hardy","ATL","WR159","9","338","372","352.3","14.4","529.0","+71.0"
"459","15","","Mo Alie-Cox","IND","TE69","6","293","377","335.0","42.0","432.0","-27.0"
"460","15","","Nick Boyle","BAL","TE70","8","310","360","335.0","25.0","485.0","+25.0"
"461","15","","Nick Mullens","SF","QB42","4","326","423","364.3","42.1","449.0","-12.0"
"462","15","","Trevon Wesco","NYJ","TE71","4","323","349","336.0","13.0","656.0","+194.0"
"463","15","","Robert Griffin","BAL","QB43","8","337","421","365.3","39.4","400.0","-63.0"
"464","15","","Raheem Mostert","SF","RB125","4","326","385","356.0","24.1","820.0","+356.0"
"465","16","","Devine Ozigbo","NO","RB126","9","317","364","340.5","23.5","408.0","-57.0"
"466","16","","Kyle Juszczyk","SF","RB127","4","312","384","348.0","36.0","423.0","-43.0"
"467","16","","Isaiah McKenzie","BUF","WR160","6","317","379","348.0","31.0","444.0","-23.0"
"468","16","","Teddy Bridgewater","NO","QB44","9","317","433","377.0","47.4","373.0","-95.0"
"469","16","","Brett Hundley","ARI","QB45","12","319","381","350.0","31.0","1,018.0","+549.0"
"470","16","","Logan Paulsen","ATL","TE72","9","341","367","354.0","13.0","852.0","+382.0"
"471","16","","Darrel Williams","KC","RB128","12","329","402","365.5","36.5","426.0","-45.0"
"472","16","","Kenjon Barner","ATL","RB129","9","331","395","363.0","32.0","744.0","+272.0"
"473","16","","DeAndre Washington","OAK","RB130","6","337","386","361.5","24.5","679.0","+206.0"
"474","16","","Matt Schaub","ATL","QB46","9","333","435","384.0","51.0","580.0","+106.0"
"475","16","","DeAndre Carter","HOU","WR161","10","348","380","364.0","16.0","510.0","+35.0"
"476","16","","Ed Dickson","SEA","TE73","11","358","374","366.0","8.0","537.0","+61.0"
"477","16","","Brandon Powell","DET","WR162","5","368","375","371.5","3.5","907.0","+430.0"
"478","16","","Mason Rudolph","PIT","QB47","7","352","444","398.0","46.0","451.0","-27.0"
"479","16","","Blake Bell","KC","TE74","12","370","382","376.0","6.0","450.0","-29.0"
"480","16","","Jacoby Brissett","IND","QB48","6","369","432","400.5","31.5","422.0","-58.0"
"481","16","","Dwayne Washington","NO","RB131","9","375","392","383.5","8.5","772.0","+291.0"
"482","16","","Chase Daniel","CHI","QB49","6","378","434","406.0","28.0","511.0","+29.0"
"483","16","","Ryan Finley","CIN","QB50","9","380","431","405.5","25.5","491.0","+8.0"
""
""
