Cole Beasley DAL ,WR82,8,117,259,204.4,34.7,262,40
Hayden Hurst BAL ,TE26,10,121,245,192.5,33.2,173,-50
Kalen Ballage MIA ,RB68,11,149,319,208.8,48.7,193,-31
Kansas City Chiefs ,DST14,12,173,254,201.9,19.9,244,19
,,,,,,,,
Chicago Bears ,DST15,5,174,245,201.8,17.5,221,-5
Javorius Allen BAL ,RB69,10,106,257,201.7,33.1,217,-10
Ameer Abdullah DET ,RB70,6,133,362,207.2,47.8,272,44
Dan Bailey DAL ,K8,8,171,258,203.5,21,222,-7
Ryan Grant IND ,WR83,9,126,266,213.5,35.6,316,86
Harrison Butker KC ,K9,12,166,244,205.8,19.7,199,-32
Chris Boswell PIT ,K10,7,159,242,208.5,21.1,209,-23
Terrelle Pryor NYJ ,WR84,11,151,248,204,22.4,230,-3
Jonathan Stewart NYG ,RB71,9,148,282,207.3,30.8,268,34
James Washington PIT ,WR85,7,168,271,211.4,31.1,220,-15
Luke Willson DET ,TE27,6,136,258,207.8,35.5,289,53
Brandon LaFell CIN ,WR86,9,148,252,203.9,42.3,348,111
Taywan Taylor TEN ,WR87,8,167,264,207.4,28,265,27
Sam Bradford ARI ,QB29,9,150,569,232.8,80.7,263,24
Atlanta Falcons ,DST16,8,173,260,210.7,20.5,260,20
Joe Flacco BAL ,QB30,10,158,279,216.4,25.9,258,17
Willie Snead BAL ,WR88,10,157,265,217.5,33.5,235,-7
Zay Jones BUF ,WR89,11,174,262,214.4,25.9,273,30
C.J. Prosise SEA ,RB72,7,153,337,222.5,44.8,305,61
Robbie Gould SF ,K11,11,166,270,214.4,25.7,231,-14
Elijah McGuire NYJ ,RB73,11,171,295,209.8,34.8,229,-17
Arizona Cardinals ,DST17,9,177,235,206.6,16.2,234,-13
Antonio Gates FA ,TE28,,159,179,171,8.6,331,83
Mason Crosby GB ,K12,7,177,249,213.4,18.3,225,-24
Tyler Kroft CIN ,TE29,9,157,255,205.8,45.4,311,61
Gerald Everett LAR ,TE30,12,168,259,222.2,31.7,293,42
Josh McCown NYJ ,QB31,11,163,570,245.7,94.1,321,69
Jake Butt DEN ,TE31,10,158,281,225.9,32.9,236,-17
John Ross CIN ,WR90,9,172,263,209.8,22.4,224,-30
Travis Benjamin LAC ,WR91,8,170,255,209.4,23.6,232,-23
James Conner PIT ,RB74,7,177,332,237.3,52.8,237,-19
Jesse James PIT ,TE32,7,155,294,230.9,44.5,359,102
Trent Taylor SF ,WR92,11,160,263,227.8,27.6,317,59
Jacksonville Jaguars JAC ,TOL1,9,166,344,233,79,,
Rod Smith DAL ,RB75,8,161,327,240,46.6,320,60
Ed Dickson SEA ,TE33,7,171,287,225,32.8,245,-16
Vernon Davis WAS ,TE34,4,173,274,227.6,25.2,285,23
Justin Jackson LAC ,RB76,8,159,414,262.1,71.4,310,47
Dante Pettis SF ,WR93,11,180,256,219.5,22.3,238,-26
Minnesota Vikings MIN ,TOL2,10,171,363,241.3,86.4,,
Curtis Samuel CAR ,WR94,4,161,291,231.3,42.9,343,77
Mark Walton CIN ,RB77,9,164,416,254.3,97,322,55
Jeremy Maclin FA ,WR95,,166,248,209.5,30.5,252,-16
Adam Shaheen CHI ,TE35,5,179,286,224,28.1,340,71
New York Giants ,DST18,9,185,291,221.8,25,304,34
Philadelphia Eagles PHI ,TOL3,9,178,365,245,85,,
J.J. Nelson ARI ,WR96,9,184,274,229.5,27.6,350,78
Houston Texans HOU ,TOL4,10,181,388,254,94.9,,
Tennessee Titans ,DST19,8,186,250,215.4,19.8,241,-33
Green Bay Packers ,DST20,7,188,295,224.3,24.7,303,28
Los Angeles Chargers LAC ,TOL5,8,183,367,248.3,84.1,,
,,,,,,,,
Chase Edmonds ARI ,RB78,9,184,310,236.4,34.4,257,-20
Mike Davis SEA ,RB79,7,187,413,249.5,76.7,,
Los Angeles Rams LAR ,TOL6,12,185,373,251.3,86.1,,
Denver Broncos DEN ,TOL7,10,191,386,256,91.9,,
Lamar Jackson BAL ,QB32,10,181,574,256.4,98.3,197,-84
Ryan Succop TEN ,K13,8,184,256,216.4,20.2,251,-31
Courtland Sutton DEN ,WR97,10,189,255,224.7,16.5,194,-89
Taylor Gabriel CHI ,WR98,5,187,273,233.5,24.9,306,22
Phillip Dorsett NE ,WR99,11,185,423,304,119,419,134
Cincinnati Bengals ,DST21,9,195,261,226.3,20.7,334,48
Josh Lambo JAC ,K14,9,192,298,227.3,38.3,239,-48
Baltimore Ravens BAL ,TOL8,10,193,375,254,85.6,,
Graham Gano CAR ,K15,4,198,278,224.9,21.4,247,-42
Antonio Callaway CLE ,WR100,11,194,341,260.3,60.9,261,-29
Baker Mayfield CLE ,QB33,11,194,571,272.9,102.2,204,-87
Chester Rogers IND ,WR101,9,196,289,224.5,29.7,284,-8
Tavon Austin DAL ,WR102,8,195,340,257.3,45.1,267,-26
Deon Cain IND ,WR103,9,195,359,277,82,315,21
Jakeem Grant MIA ,WR104,11,196,354,252.8,53.3,,
New England Patriots NE ,TOL9,11,197,401,267.7,94.3,,
Brice Butler ARI ,WR105,9,198,298,237.8,29.2,365,68
Jeremy Kerley BUF ,WR106,11,198,292,246.7,38.4,,
New Orleans Saints NO ,TOL10,6,198,404,268.7,95.7,,
Daniel Carlson MIN ,K16,10,199,216,208,6.1,259,-41
Kai Forbath MIN ,K17,10,199,241,217.9,14.4,254,-47
Adam Vinatieri IND ,K18,9,199,257,220.6,16.4,246,-56
Nick Vannett SEA ,TE36,7,199,265,236.8,23.3,358,55
Dallas Goedert PHI ,TE37,9,199,267,238.6,28.3,275,-29
Pittsburgh Steelers PIT ,TOL11,7,199,387,266.3,85.5,,
Josh Rosen ARI ,QB34,9,199,566,289.7,124.7,205,-101
Kevin White CHI ,WR107,5,200,343,257.2,49.5,301,-6
Seattle Seahawks SEA ,TOL12,7,200,410,278,93.9,,
Teddy Bridgewater NYJ ,QB35,11,200,575,333.7,171,312,3
,,,,,,,,
Ryan Griffin HOU ,TE38,10,205,233,216.3,11.9,319,9
Caleb Sturgis LAC ,K19,8,206,235,220.3,10.4,,
Tampa Bay Buccaneers ,DST22,5,209,243,223.3,14.4,335,23
C.J. Fiedorowicz FA ,TE39,,205,247,226,21,,
Ka'imi Fairbairn HOU ,K20,10,206,248,226.4,16,286,-28
Orleans Darkwa FA ,RB80,,206,265,226.7,27.1,291,-24
Adrian Peterson FA ,RB81,,215,263,231.3,22.4,299,-17
Malcolm Mitchell NE ,WR108,11,218,244,232.3,10.8,325,8
Chad Williams ARI ,WR109,9,207,254,232.7,19.4,337,19
Terrance West NO ,RB82,6,216,248,233.6,10.5,403,84
Brandon McManus DEN ,K21,10,201,279,234,17.7,379,59
Detroit Lions ,DST23,6,222,247,234.8,9.3,240,-81
Virgil Green LAC ,TE40,8,202,266,238.4,20,294,-28
Eric Decker FA ,WR110,,232,250,239.3,7.7,279,-44
Kendall Wright MIN ,WR111,10,221,261,241,17.5,388,64
Jaron Brown SEA ,WR112,7,207,275,241.4,23.6,368,43
Rico Gathers DAL ,TE41,8,207,273,242.5,24.7,332,6
San Francisco 49ers ,DST24,11,219,274,246.5,27.5,298,-29
Keke Coutee HOU ,WR113,10,222,282,246.8,23.2,274,-54
Torrey Smith CAR ,WR114,4,217,264,247.1,12.9,333,4
Washington Redskins ,DST25,4,240,257,248.5,8.5,330,0
Corey Grant JAC ,RB83,9,213,313,249.5,27,308,-23
Buffalo Bills ,DST26,11,216,293,250,28.4,324,-8
Adam Humphries TB ,WR115,5,230,270,250,20,377,44
Garrett Celek SF ,TE42,11,236,269,252.5,16.5,376,42
Jalen Richard OAK ,RB84,7,210,285,252.8,26.2,394,59
Stephen Anderson HOU ,TE43,10,203,290,253,33.5,328,-8
John Kelly LAR ,RB85,12,214,371,254.1,43,276,-61
Mike Gillislee NE ,RB86,11,215,439,254.1,71.2,375,37
Cairo Santos NYJ ,K22,11,211,297,257,27.6,249,-90
Jonnu Smith TEN ,TE44,8,251,263,257,6,282,-58
Shane Vereen FA ,RB87,,253,264,258.5,5.5,,
De'Angelo Henderson DEN ,RB88,10,208,304,258.8,29.3,336,-6
DaeSean Hamilton DEN ,WR116,10,227,312,259.3,37.6,281,-62
Kyle Juszczyk SF ,RB89,11,238,283,259.3,18.4,,
New York Jets ,DST27,11,228,307,259.8,29.8,295,-50
DeAndre Washington OAK ,RB90,7,239,318,260.1,24.7,355,9
Thomas Rawls NYJ ,RB91,11,205,390,260.3,56.6,421,74
Amara Darboh SEA ,WR117,7,212,339,261,55.8,401,53
Josh Hill NO ,TE45,6,220,346,261,44.9,,
Michael Roberts DET ,TE46,6,235,287,261,26,391,41
D.J. Chark JAC ,WR118,9,211,314,262.8,34.2,253,-98
Dallas Cowboys ,DST28,8,240,296,263,23.9,203,-149
Tyler Higbee LAR ,TE47,12,256,271,263.5,7.5,389,36
Tre'Quan Smith NO ,WR119,6,221,335,264,50.6,264,-90
Joe Williams SF ,RB92,11,206,422,264.1,57.1,307,-48
Jamaal Charles FA ,RB93,,260,269,264.5,4.5,,
Steven Hauschka BUF ,K23,11,250,280,265,15,292,-65
Mark Andrews BAL ,TE48,10,215,317,266.3,41.6,266,-92
Jacquizz Rodgers TB ,RB94,5,207,405,267.2,71.8,373,14
Jeremy Hill NE ,RB95,11,233,392,270.5,54.8,233,-127
Kenny Britt NE ,WR120,11,242,381,271.1,45.5,347,-14
Carlos Henderson DEN ,WR121,10,214,316,271.3,42.6,404,42
Jermaine Gresham ARI ,TE49,9,257,289,273,16,,
Charles Sims TB ,RB96,5,246,348,273.2,38.1,367,3
Clive Walford NYJ ,TE50,11,250,297,273.5,23.5,416,51
Roger Lewis NYG ,WR122,9,252,305,278.5,26.5,,
Cleveland Browns ,DST29,11,218,321,279.3,44.3,314,-53
Nick O'Leary BUF ,TE51,11,271,288,279.5,8.5,,
Blake Jarwin DAL ,TE52,8,240,349,280,43.4,296,-73
Josh Allen BUF ,QB36,11,213,507,284,112.1,223,-147
Mack Hollins PHI ,WR123,9,243,330,286.5,43.5,354,-17
Chris Moore BAL ,WR124,10,264,311,287.5,23.5,,
Travaris Cadet BUF ,RB97,11,279,296,287.5,8.5,396,23
Sam Darnold NYJ ,QB37,11,233,568,293.2,122.9,210,-164
Cordarrelle Patterson NE ,WR125,11,262,328,295,33,346,-29
Andre Holmes BUF ,WR126,11,244,347,295.5,51.5,,
Jaylen Samuels PIT ,TE53,7,221,436,298,97.8,227,-150
Carolina Panthers CAR ,TOL13,4,217,391,304,87,,
Kendrick Bourne SF ,WR127,11,226,398,312,86,420,41
Chicago Bears CHI ,TOL14,5,220,412,316,96,,
Atlanta Falcons ATL ,TOL15,8,221,415,318,97,,
AJ McCarron BUF ,QB38,11,234,572,323.3,143.8,342,-40
Kansas City Chiefs KC ,TOL16,12,235,418,326.5,91.5,,
Geoff Swaim DAL ,TE54,8,265,389,327,62,339,-45
Alfred Blue HOU ,RB98,10,222,449,335.5,113.5,398,13
Arizona Cardinals ARI ,TOL17,9,252,433,342.5,90.5,,
Braedon Bowman LAC ,TE55,8,260,426,343,83,,
Wendell Smallwood PHI ,RB99,9,247,446,346.5,99.5,,
Tyler Ervin HOU ,RB100,10,250,444,347,97,,
Boston Scott NO ,RB101,6,251,445,348,97,357,-33
Equanimeous St. Brown GB ,WR128,7,269,430,349.5,80.5,302,-89
Robert Turbin IND S ,RB102,9,269,432,350.5,81.5,378,-14
Ryan Fitzpatrick TB ,QB39,5,226,573,358.3,153.2,345,-48
Bo Scarbrough DAL ,RB103,8,286,434,360,74,300,-94
Damien Williams KC ,RB104,12,272,460,366,94,,
Nick Foles PHI ,QB40,9,239,576,407.5,168.5,297,-99
