"Name","Position","Team","ETR Rank","ADP","ADP Dif","Pos Rank ETR","Pos Rank ADP","Pos Rank Dif"
"Darius Slayton","WR","NYG","261","257.5","-3.5","WR77","WR121","44"
"Sean Tucker","RB","TB","262","245.0","-17.0","RB68","RB87","19"
"Jalen Coker","WR","CAR","263","289.5","26.5","WR78","WR137","59"
"Michael Wilson","WR","ARI","264","266.5","2.5","WR79","WR125","46"
"Dyami Brown","WR","JAX","265","254.5","-10.5","WR80","WR119","39"
"Keaton Mitchell","RB","BAL","266","226.0","-40.0","RB69","RB71","2"
"Jason Myers","K","SEA","267","240.0","-27.0","K25","K16","-9"
"Tre Tucker","WR","LV","268","284.0","16.0","WR81","WR133","52"
"Cam Little","K","JAX","269","195.7","-73.3","K26","K08","-18"
"Tory Horton","WR","SEA","270","261.5","-8.5","WR82","WR122","40"
"Elic Ayomanor","WR","TEN","271","264.0","-7.0","WR83","WR123","40"
"Isaac TeSlaa","WR","DET","272","247.0","-25.0","WR84","WR118","34"
"Jordan James","RB","SF","273","276.5","3.5","RB70","RB95","25"
"Tutu Atwell","WR","LA","274","311.0","37.0","WR85","WR145","60"
"Trevor Etienne","RB","CAR","275","290.0","15.0","RB71","RB97","26"
"Parker Washington","WR","JAX","276","240.0","-36.0","WR86","WR78","-8"
"Kyle Monangai","RB","CHI","277","183.5","-93.5","RB72","RB58","-14"
"Ollie Gordon II","RB","MIA","278","245.0","-33.0","RB73","RB87","14"
"Calvin Austin III","WR","PIT","279","277.5","-1.5","WR87","WR128","41"
"Ray-Ray McCloud","WR","ATL","280","242.0","-38.0","WR88","WR117","29"
"Malik Washington","WR","MIA","281","325.0","44.0","WR89","WR148","59"
"Nick Westbrook-Ikhine","WR","MIA","282","240.0","-42.0","WR90","WR78","-12"
"Terrance Ferguson","TE","LA","283","273.0","-10.0","TE35","TE54","19"
"Joey Slye","K","TEN","284","240.0","-44.0","K27","K16","-11"
"Darren Waller","TE","MIA","285","220.7","-64.3","TE36","TE29","-7"
"Tyler Lockett","WR","TEN","286","265.0","-21.0","WR91","WR124","33"
"Josh Reynolds","WR","NYJ","287","240.0","-47.0","WR92","WR78","-14"
"Graham Gano","K","NYG","288","240.0","-48.0","K28","K16","-12"
"Matthew Wright","K","CAR","289","240.0","-49.0","K29","K16","-13"
"Nick Folk","K","NYJ","290","240.0","-50.0","K30","K16","-14"
"Jalen Royals","WR","KC","291","239.5","-51.5","WR93","WR77","-16"
"Tyler Shough","QB","NO","292","237.0","-55.0","QB28","QB32","4"
"Aaron Rodgers","QB","PIT","293","175.3","-117.7","QB29","QB27","-2"
"DeAndre Hopkins","WR","BAL","294","169.0","-125.0","WR94","WR61","-33"
"Samaje Perine","RB","CIN","295","306.0","11.0","RB74","RB100","26"
"Sam Darnold","QB","SEA","296","175.3","-120.7","QB30","QB27","-3"
"Jaxson Dart","QB","NYG","297","247.5","-49.5","QB31","QB39","8"
"Dontayvion Wicks","WR","GB","298","288.5","-9.5","WR95","WR136","41"
"KaVontae Turpin","WR","DAL","299","240.0","-59.0","WR96","WR78","-18"
"Andrei Iosivas","WR","CIN","300","290.0","-10.0","WR97","WR138","41"
