player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Pat Freiermuth,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,37.37,54.73,364.58,2.54,69.7,31,215,
Andrei Iosivas,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,31.77,52.18,354.93,3.02,69.16,88,217,
Cole Kmet,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,38.4,55.07,362.6,2.24,68.56,32,218,
A.J. Dillon,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,95.65,396.34,2.85,7.56,10.02,62.87,0.33,68.44,66,219,
Colston Loveland,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,37.45,55.07,361.99,2.17,67.6,33,220,
Theo Johnson,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,35.87,54.56,385.85,1.78,66.86,34,221,
JuJu Smith-Schuster,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,33.2,48.53,367.28,2.42,66.83,89,222,
Russell Gage,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,31.39,49.73,360.89,2.49,66.28,90,223,
Brandin Cooks,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,32.19,54.61,343.42,2.6,66,91,224,
Roschon Johnson,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,89.68,370.82,2.88,8.17,11.03,54.51,0.33,65.2,67,225,
Kyle Philips,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,32.12,53.64,376.38,1.98,64.22,92,226,
Adonai Mitchell,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,25.45,53.15,362.57,2.65,64.2,93,227,
Josh Reynolds,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,29.21,48.48,363.44,2.15,63.51,94,228,
Jalen Nailor,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,27.31,44.94,339.9,2.68,63.39,95,229,
Malik Washington,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,32.71,49.67,337.75,2.22,63.11,96,230,
Emanuel Wilson,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,86.27,374.1,2.31,7.8,10.99,55.59,0.5,62.71,68,231,
Curtis Samuel,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,5.1,26.68,0.22,28.68,44.27,299.87,2.39,62.32,97,232,
Jalen Coker,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,30.63,53.49,368.23,1.64,61.14,98,233,
K.J. Osborn,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,28.71,44.9,318.52,2.5,60.53,99,234,
Dawson Knox,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,27.57,44.27,308.87,2.68,60.41,35,235,
Darius Slayton,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,25.95,49.14,377.42,1.68,60.12,100,236,
Luke McCaffrey,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,29.88,47.73,320.97,2.28,59.74,101,237,
Nick Westbrook-Ikhine,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,25.99,43.79,331.49,2.2,59,102,238,
Bhayshul Tuten,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,67.95,286.65,1.42,15.35,22.05,108.3,0.67,58.43,69,239,
Jaydon Blue,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,94.67,400.99,2.13,4.37,5.96,30.44,0.17,58.03,70,240,
Devin Singletary,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,66.53,293.19,1.63,13.41,19.08,95.65,0.44,56.67,71,241,
Kimani Vidal,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,66.52,277.66,1.75,12.12,17.01,92.6,0.71,56.49,72,242,
Kayshon Boutte,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,25.52,42.74,333.39,1.77,56.38,103,243,
Anthony Miller,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,25.29,41.67,289.4,2.53,56.08,104,244,
Cordarrelle Patterson,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,40.04,184.01,1.27,19.21,27.37,154.43,1,56.05,73,245,
Tim Patrick,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,22.7,38.24,303.65,2.34,55.41,105,246,
Audric Estime,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,47.86,201.27,1.48,17.19,23.03,127.22,0.88,54.5,74,247,
Kendre Miller,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,72.1,304.45,2.02,8.11,10.92,57.88,0.36,54.23,75,248,
Jake Bobo,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,24.95,41.25,294.33,2.09,54.11,106,249,
Zay Jones,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,27.23,42.27,282.35,1.91,53.31,107,250,
Cam Akers,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,72.1,300.26,1.92,8.11,10.92,55.19,0.37,53,76,251,
Jalin Hyatt,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,24.26,43.67,316.22,1.56,52.77,108,252,
Ja'Lynn Polk,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,24.69,42.74,299.02,1.81,52.77,108,252,
Miles Sanders,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,81.14,380.69,1.69,4.08,5.96,22.2,0.17,52.47,77,254,
Mason Taylor,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,29.87,43.11,268.41,1.83,52.42,36,255,
Xavier Hutchinson,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,25.97,46.29,283.21,1.93,52.21,110,256,
DeAndre Carter,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,26.47,41.51,316.13,1.41,50.87,111,257,
Jeremy Ruckert,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,29.57,43.11,249.23,1.75,49.87,37,258,
Kalif Raymond,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,20.81,32.36,284.32,1.96,49.24,112,259,
Skyy Moore,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,22.33,37.73,267.29,1.65,46.97,113,260,
Sean Tucker,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,71.2,307.8,1.7,4.47,5.91,32.2,0.23,46.78,78,261,
Michael Mayer,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,25.74,36.69,250.67,1.41,46.06,38,262,
Robert Woods,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,23.83,41.05,248.72,1.57,45.59,114,263,
Ty Johnson,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,30.54,131.83,0.8,15.38,22.12,150.07,0.93,45.58,79,264,
Kenneth Gainwell,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,60.03,253.15,1.66,7.68,10.96,53.99,0.34,45.43,80,265,
Elijah Moore,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,21.48,38.74,235.79,1.88,45.26,115,266,
Jahan Dotson,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,20.64,35.06,244.97,1.66,44.78,116,267,
Tai Felton,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,20.03,34.54,234.89,1.89,44.5,117,268,
Patrick Taylor,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,58.1,247.66,1.25,7.59,11.06,57.58,0.47,44.3,81,269,
Raheem Blackshear,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,60.74,256.52,1.43,7.51,10.71,54.87,0.31,43.63,82,270,
Michael Gallup,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,19.84,33.68,223.32,1.78,42.93,118,271,
Roman Wilson,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,19.22,32.84,234.86,1.69,42.9,119,272,
Chris Rodriguez Jr.,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,63.96,274.12,1.64,4.31,5.62,30.57,0.19,42.58,83,273,
Charlie Woerner,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,22.96,32.77,208.63,1.54,41.24,39,274,
Justice Hill,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,44.08,190.95,1.47,7.95,10.43,63.1,0.48,40.74,84,275,
Devin Neal,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,48.05,204.57,1.38,8.11,10.92,55.74,0.36,39.85,85,277,
Tyler Johnson,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,19.7,32.34,207.35,1.52,39.37,120,278,
Ja'Tavion Sanders,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,21.63,32.1,209.35,0.99,37.35,40,279,
Foster Moreau,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,18.61,27.3,198.07,1.36,36.93,41,280,
Pharaoh Brown,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,21.02,29.2,188.28,1.21,36.26,42,281,
Malachi Corley,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,18.68,32.34,196.89,1.31,36.21,121,282,
Daniel Bellinger,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,20.64,30.02,202.73,0.99,36.19,43,283,
Cedrick Wilson,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,16.84,27.3,191.66,1.45,35.95,122,284,
Payne Durham,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,19.3,26.5,178.19,1.42,35.65,44,285,
Michael Carter,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,19.28,81.61,0.53,16.75,22.53,112.77,0.8,35.45,86,286,
Ronnie Rivers,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,63.35,267.11,1.48,0,0,0,0,34.95,87,287,
Craig Reynolds,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,12.19,51.68,0.29,16.79,23.53,137.07,1.02,34.79,88,288,
Travis Homer,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,40.14,173.54,0.85,7.95,11.03,60.08,0.34,34.08,89,289,
Samaje Perine,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,24.18,99.75,0.6,12.71,16.3,105.29,0.64,33.62,90,290,
A.T. Perry,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,13.71,23.03,180.47,1.47,33.38,123,291,
Quintin Morris,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,18.43,27.57,171.49,1.04,32.26,45,292,
Isaiah Davis,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,37.39,160.02,0.88,7.75,10.76,53.58,0.37,32.08,91,293,
Adam Trautman,Denver Broncos,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,15.69,23.03,166.82,1.28,31.87,46,294,
Tylan Wallace,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,12.76,20.82,167.19,1.46,31.52,124,295,
Hunter Renfrow,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,17.99,26.75,176.34,0.94,31.25,125,296,
Simi Fehoko,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,13.63,22.53,163.4,1.22,30.14,126,297,
Ben Sinnott,Washington Commanders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,16.61,22.48,152.9,1.13,30.03,47,298,
Luke Musgrave,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,14.89,22.01,145.22,1.21,29.23,48,299,
Clyde Edwards-Helaire,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,28.84,122.26,0.71,7.74,10.92,58.01,0.4,28.56,92,300,
Ty Chandler,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,32.01,134.59,0.89,6.31,8.95,43.39,0.35,28.39,93,301,
Elijah Mitchell,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,33.29,145.76,0.89,5.64,7.55,40.34,0.26,28.33,94,302,
Cade Stover,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,16.03,23.14,146.92,0.98,28.25,49,303,
Julius Chestnut,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,19.74,82.84,0.36,12.11,16.04,88.81,0.49,27.98,95,304,
Kyle Juszczyk,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,9.68,40.73,0.33,11.59,16.57,113.98,0.73,27.29,96,305,
Josh Whyle,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,15.51,21.38,146.15,0.82,27.15,50,306,
Austin Hooper,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,14.42,21.37,150.71,0.8,27.08,51,307,
Malik Heath,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,12.56,22.01,140.09,1.18,27.03,127,308,
Luke Schoonmaker,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,16.1,23.8,139.91,0.86,26.86,52,309,
Grant Calcaterra,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,14.21,20.04,146.64,0.88,26.71,53,310,
Jamal Agnew,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,13.55,21.86,134.71,1.18,26.65,128,311,
Jermaine Burton,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,11.75,19.55,139.66,1.05,25.8,129,312,
Greg Dortch,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,4.81,24.94,0.22,11.24,16.92,112.26,0.83,25.3,130,313,
David Moore,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,11.93,21.39,146.3,0.8,25.06,131,314,
Ollie Gordon II,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,23.43,99.11,0.48,8.74,11.68,56.55,0.39,24.82,97,315,
Kenny Yeboah,Detroit Lions,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,11.97,17.64,122.96,1.02,24.4,54,316,
Irvin Charles,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,12.41,21.55,132.55,0.88,24.4,132,316,
Tommy Tremble,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,13.81,21.39,127.07,0.72,23.59,55,318,
Pierre Strong Jr.,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,26.02,111.43,0.52,6.45,8.8,49.92,0.25,23.56,98,319,
Quez Watkins,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,10.56,16.92,127.27,0.78,22.35,133,320,
Erik Ezukanma,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,10.84,17.53,120.84,0.79,22.24,134,321,
D.J. Chark,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,8.88,16.41,121.33,0.85,21.67,135,322,
Noah Gray,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,10.94,15.1,117.94,0.73,21.64,56,323,
Kenny McIntosh,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,15.6,67.03,0.34,8.46,11.8,63.48,0.41,21.44,99,324,
Jordan Mims,Tennessee Titans,,N/A,N/A,0.0/0.0,0,0,0,29.56,124.29,0.58,3.98,5.34,28.24,0.17,21.4,100,325,
Deuce Vaughn,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,18.04,75.19,0.32,8.42,11.91,56.19,0.34,20.97,101,326,
Bub Means,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,9.7,16.39,110.84,0.78,20.61,136,327,
Parris Campbell,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,10.88,17.87,98.45,0.59,18.49,137,328,
Charlie Jones,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,8.12,13.02,93.47,0.64,17.23,138,329,
Eric Gray,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,23.77,99.2,0.46,3.81,5.45,28.26,0.17,17.13,102,330,
Frank Gore Jr.,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,20.34,85.67,0.44,3.9,5.53,29.78,0.21,17.06,103,331,
Dameon Pierce,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,9.08,37.68,0.18,8.32,11.58,54.41,0.42,16.97,104,332,
Gary Brightwell,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,16.11,67.57,0.37,4.82,6.52,33.43,0.22,15.71,105,333,
Devontez Walker,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.33,10.43,81.23,0.72,15.61,139,334,
Rondale Moore,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,8.21,12.9,72.81,0.7,15.45,140,335,
Drew Sample,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,9.56,13.02,70.27,0.6,15.41,57,336,
Justin Watson,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.46,11.58,88.65,0.51,15.16,141,337,
Sterling Shepard,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.73,11.77,76.12,0.6,15.08,142,338,
Tim Jones,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.91,11.95,77.69,0.64,15.06,143,339,
Josh Oliver,Minnesota Vikings,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.91,11.95,72.51,0.62,14.93,58,340,
Mecole Hardman,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.9,10.99,78.79,0.63,14.77,144,341,
Eric Saubert,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,8.01,11.8,75.06,0.52,14.63,59,342,
Luke Farrell,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.48,11.06,75.59,0.55,14.6,60,343,
Davis Allen,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,8.27,11.66,76.13,0.45,14.45,61,344,
Tre' McKitty,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,8.29,11.87,80.37,0.37,14.4,62,345,
John Metchie III,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.84,11.58,76.48,0.55,14.37,145,346,
Dee Eskridge,Miami Dolphins,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.16,11.68,75.84,0.52,14.28,146,347,
Darnell Washington,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.51,10.96,72.17,0.49,13.91,63,348,
Irv Smith Jr.,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.99,11.58,67.51,0.53,13.75,64,349,
Ben Skowronek,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.48,10.96,72.25,0.52,13.59,147,350,
Bo Melton,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.19,10.99,73.94,0.56,13.57,148,351,
Jaheim Bell,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.46,10.67,74.43,0.38,13.45,65,352,
Ian Thomas,Las Vegas Raiders,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.62,11.29,71.18,0.4,13.33,66,353,
Olamide Zaccheaus,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.51,11.03,77.38,0.44,13.31,149,354,
Mack Hollins,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.25,10.67,76.13,0.41,13.2,150,355,
Will Shipley,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,14.06,58.87,0.34,3.68,5.01,26.76,0.17,13.12,106,356,
Greg Dulcich,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7,10.92,73.88,0.36,13.05,67,357,
Kylen Granson,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.75,10.02,71.19,0.4,12.89,68,358,
Devin Duvernay,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.83,11.03,63.05,0.49,12.66,151,359,
Dominique Dafney,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,7.18,10.71,69.26,0.35,12.62,69,360,
J.J. Taylor,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,8.33,11.58,56.09,0.43,12.35,107,361,
Maurice Alexander,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.28,11.03,68.13,0.42,12.13,152,362,
Emari Demercado,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,9.65,42.61,0.28,4.2,5.65,28.48,0.18,11.97,108,363,
Samori Toure,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.14,11.03,67.64,0.41,11.95,153,364,
Tyler Scott,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,6.18,11.03,66.24,0.4,11.77,154,365,
Darrynton Evans,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,10.16,42.59,0.19,3.88,5.53,30.62,0.22,11.72,109,366,
Patrick Ricard,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,8.26,34.57,0.32,3.96,5.2,29.24,0.23,11.66,110,367,
Xavier Weaver,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,5.16,8.44,61.32,0.47,11.53,155,368,
Trey Sermon,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,10,41.45,0.19,3.87,5.47,27.4,0.17,10.98,111,369,
Connor Heyward,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,5.58,8.21,51.53,0.36,10.1,70,370,
KaVontae Turpin,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,4.51,22.73,0.17,3.46,5.96,39.62,0.24,10.08,156,371,
DeeJay Dallas,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,7.24,30.73,0.17,4.31,5.65,28.69,0.19,9.92,112,372,
Hunter Long,Jacksonville Jaguars,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,5.54,8.27,51.07,0.33,9.86,71,373,
Troy Hairston,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,4.44,19.69,0.17,4.54,5.93,34.72,0.17,9.75,113,374,
Zonovan Knight,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,4.81,20.12,0.17,4.25,5.65,30.55,0.19,9.35,114,375,
Elijah Dotson,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,5.13,21.75,0.17,3.97,5.46,27.62,0.17,8.96,115,376,
Terrell Jennings,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,4.81,20.16,0.11,3.85,5.36,29.22,0.17,8.54,116,377,
Tanner Hudson,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.67,6.52,41.42,0.34,8.52,72,378,
Cam Grandy,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.68,6.52,40.89,0.34,8.47,73,379,
Erick All Jr.,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.7,6.52,40.71,0.34,8.46,74,380,
Velus Jones,New Orleans Saints,,N/A,N/A,0.0/0.0,0,0,0,4.8,20.9,0.17,3.85,5.47,27.09,0.17,8.42,117,381,
Devin Culp,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.3,5.91,40.3,0.34,8.22,75,382,
Kendric Pryor,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.9,6.52,41.8,0.34,8.17,157,383,
Demarcus Robinson,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.26,5.52,44.86,0.34,8.16,158,384,
Carson Steele,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,8.89,36.88,0.17,2.25,3.05,16.43,0.17,8.16,118,384,
Isaiah Williams,Cincinnati Bengals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.89,6.52,41.34,0.34,8.12,159,386,
Trishton Jackson,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.43,5.65,40.59,0.34,7.81,160,387,
Tucker Fisk,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.92,5.69,37.78,0.33,7.72,76,388,
Zach Davidson,Buffalo Bills,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.77,5.53,37.92,0.34,7.72,76,388,
Elijah Higgins,Arizona Cardinals,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,4.09,5.65,38.81,0.29,7.67,78,390,
Jamari Thrash,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.56,5.93,44.95,0.2,7.48,161,391,
Cody White,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.42,5.89,39.78,0.23,7.07,162,392,
Jalen Brooks,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.42,5.96,39.09,0.24,7.06,163,393,
Dareke Young,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.38,5.89,39.83,0.23,7.05,164,394,
Dare Ogunbowale,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,2.25,9.24,0,4.01,5.78,29.42,0.17,6.89,119,395,
Mo Alie-Cox,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,2.94,5.32,37.18,0.28,6.87,79,396,
Khadarel Hodge,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.14,5.46,40.68,0.2,6.84,165,397,
Michael Woods II,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.43,5.93,40.07,0.17,6.74,166,398,
Avery Williams,Philadelphia Eagles,,N/A,N/A,0.0/0.0,0,0,0,2.82,11.97,0,3.68,5.01,25.71,0.17,6.63,120,399,
Andrew Ogletree,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.04,5.32,35.65,0.24,6.52,80,400,
Durham Smythe,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.85,5.51,35.65,0.17,6.51,81,401,
Israel Abanikanda,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,4.85,20.48,0.16,1.93,2.77,14.99,0.17,6.49,121,402,
Kelvin Harmon,Dallas Cowboys,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,3.43,5.96,37.15,0.17,6.45,167,403,
