Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameHalfPointPPR,FantasyPointsHalfPointPpr
1387,Deadrin Senat,ATL,NT,17,0,0,0,0,0,0,0,0,0.6,0.1,0.2,0.1,0.9,14.57
1388,Sutton Smith,NO,FB,17,0,0,0,0,0,0,0,0,0.2,0.1,0.2,0.1,0.8,14.44
1389,Gunner Olszewski,NE,WR,17,0,0,0,10.8,0,6.2,74.3,0.5,0,0,0,0,0.8,14.41
1390,Tanner Hudson,SF,TE,17,0,0,0,0,0,6.2,71,0.7,0,0,0,0,0.8,14.4
1391,Darryl Johnson,CAR,DL,17,0,0,0,0,0,0,0,0,0.9,0.1,0.2,0.1,0.8,14.33
1391,Ricky Seals-Jones,WAS,TE,17,0,0,0,0,0,7.4,82.3,0.4,0,0,0,0,0.8,14.33
1393,Thaddeus Moss,CIN,TE,17,0,0,0,0,0,7.5,69.6,0.6,0,0,0,0,0.8,14.31
1394,Brandon Dillon,MIN,TE,17,0,0,0,0,0,8.1,72.4,0.5,0,0,0,0,0.8,14.29
1395,George Odum,IND,S,17,0,0,0,0,0,0,0,0,0.2,0.1,0.2,0.1,0.8,14.24
1395,John Bates,WAS,TE,17,0,0,0,0,0,8.4,82.4,0.4,0,0,0,0,0.8,14.24
1397,Mason Rudolph,PIT,QB,17,249.7,1.4,1.1,5.4,0.1,0,0,0,0,0,0,0,0.8,14.13
1398,Tyler Huntley,BAL,QB,17,197.9,0.9,1,45.6,0.1,0,0,0,0,0,0,0,0.8,14.08
1399,Joe Flacco,PHI,QB,17,302.9,1.5,1.5,9.2,0,0,0,0,0,0,0,0,0.8,14.04
1400,Marquez Stevenson,BUF,WR,17,0,0,0,1.5,0,8,98.6,0,0,0,0,0,0.8,14.01
1401,Joe Gaziano,LAC,DL,17,0,0,0,0,0,0,0,0,0.8,0.1,0.1,0.1,0.8,13.96
1402,Josiah Scott,PHI,CB,14,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,1,13.95
1402,Demetrius Harris,ARI,TE,17,0,0,0,0,0,7.7,71,0.5,0,0,0,0,0.8,13.95
1404,Antony Auclair,HOU,TE,17,0,0,0,0,0,6.5,70.8,0.6,0,0,0,0,0.8,13.93
1405,D'Ernest Johnson,CLE,RB,17,0,0,0,101.4,0.1,3.2,19.8,0,0,0,0,0,0.8,13.92
1406,Zac Dawe,ATL,DE,17,0,0,0,0,0,0,0,0,0.9,0.1,0.2,0.1,0.8,13.83
1407,Sam Ehlinger,IND,QB,17,67.8,0,0,39,1.2,0,0,0,0,0,0,0,0.8,13.81
1408,Antoine Wesley,ARI,WR,17,0,0,0,0,0,7.3,77.5,0.4,0,0,0,0,0.8,13.8
1409,Kenny Robinson,CAR,S,17,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0.8,13.77
1409,Charles Washington,ARI,S,17,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.1,0.8,13.77
1411,Francis Bernard,DAL,LB,17,0,0,0,0,0,0,0,0,0.2,0.1,0.1,0.1,0.8,13.74
1411,Abdullah Anderson,PIT,DL,17,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0.1,0.8,13.74
1413,Deon Bush,CHI,S,17,0,0,0,0,0,0,0,0,0.1,0.3,0.2,0.1,0.8,13.67
1414,Kameron Cline,IND,DE,17,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0.1,0.8,13.59
1415,Cam Gill,TB,OLB,14,0,0,0,0,0,0,0,0,0.6,0.1,0.2,0.1,1,13.57
1416,Tre Nixon,NE,WR,17,0,0,0,0,0,8,95,0,0,0,0,0,0.8,13.5
1417,Luke Gifford,DAL,LB,17,0,0,0,0,0,0,0,0,0.4,0.1,0.2,0.1,0.8,13.38
1418,Jesse James,CHI,TE,17,0,0,0,0,0,7.4,60.3,0.6,0,0,0,0,0.8,13.33
1418,Sammis Reyes,WAS,TE,17,0,0,0,0,0,9.5,85.8,0,0,0,0,0,0.8,13.33
1420,Alex Erickson,CAR,WR,17,0,0,0,0,0,7.2,84.6,0.2,0,0,0,0,0.8,13.26
1421,Isaiah Rodgers,IND,CB,17,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.8,13.2
1422,Nate Brooks,TB,CB,17,0,0,0,0,0,0,0,0,0,0.1,0.3,0.2,0.8,13.1
1422,Cornell Powell,KC,WR,17,0,0,0,0,0,8,91,0,0,0,0,0,0.8,13.1
1424,Wyatt Hubert,CIN,DE,17,0,0,0,0,0,0,0,0,0.7,0.1,0.2,0.1,0.8,13.09
1425,Azur Kamara,DAL,DE,17,0,0,0,0,0,0,0,0,0.2,0.1,0.2,0.1,0.8,13.04
