rank,id,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_half_ppr_per_gp,fpts_half_ppr
176,16191,Chris Boswell,PIT,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,137.3
177,24436,Chad Ryland,ARI,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,137.2
178,19989,Daniel Carlson,LV,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,137.0
179,21744,Michael Pittman Jr.,IND,WR,17,0.0,0.0,0.0,2.1,0.0,71.4,809.0,3.5,0.0,0.0,0.0,0.0,8.0,136.6
180,16906,Stefon Diggs,NE,WR,17,0.0,0.0,0.0,6.4,0.3,70.3,752.3,4.0,0.0,0.0,0.0,0.0,8.0,136.4
181,23416,Jaquan Brisker,CHI,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.3,1.0,0.5,8.0,136.1
182,23541,Micah McFadden,NYG,ILB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.5,0.7,0.4,8.0,135.9
183,19803,Mark Andrews,BAL,TE,17,0.0,0.0,0.0,5.4,0.0,56.8,682.3,6.5,0.0,0.0,0.0,0.0,8.0,135.4
184,25113,Will Reichard,MIN,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,135.2
185,24145,Josh Downs,IND,WR,17,0.0,0.0,0.0,4.2,0.0,69.0,746.5,4.3,0.0,0.0,0.0,0.0,7.9,135.0
186,24186,Brian Branch,DET,DB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2.5,0.8,0.4,7.9,135.0
187,24474,Kobie Turner,LAR,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.2,0.8,0.4,7.9,134.6
188,17215,Jason Myers,SEA,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,134.5
189,21109,Quincy Williams,NYJ,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.6,0.9,0.5,7.9,134.2
190,24112,Henry To'oTo'o,HOU,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.5,0.9,0.4,7.8,133.1
191,24276,Will McDonald IV,NYJ,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,0.4,0.6,0.3,7.8,132.0
192,23263,Kyle Hamilton,BAL,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.9,1.0,0.5,7.8,132.0
193,19862,Harold Landry III,NE,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.1,0.8,0.4,7.7,131.7
194,19837,Derwin James Jr.,LAC,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,1.1,1.0,0.5,7.7,131.6
195,21490,Azeez Al-Shaair,HOU,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.2,0.8,0.4,7.7,131.6
196,20051,Zach Sieler,MIA,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.9,0.9,0.5,7.7,131.3
197,16301,Cairo Santos,CHI,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,131.1
198,21696,Travis Etienne Jr.,JAX,RB,17,0.0,0.0,0.0,570.5,3.2,39.9,296.6,1.1,0.0,0.0,0.0,0.0,7.7,130.9
199,25887,Cam Skattebo,NYG,RB,17,0.0,0.0,0.0,636.6,4.6,28.7,215.8,1.0,0.0,0.0,0.0,0.0,7.7,130.8
200,21768,Najee Harris,LAC,RB,17,0.0,0.0,0.0,640.4,5.4,25.5,188.4,0.7,0.0,0.0,0.0,0.0,7.6,130.0
201,21897,Alex Highsmith,PIT,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,1.1,0.8,0.4,7.6,129.9
202,21940,Antoine Winfield Jr.,TB,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,1.7,1.1,0.5,7.6,129.7
203,24265,Ivan Pace Jr.,MIN,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.6,0.7,0.3,7.6,129.4
204,20940,Jeffery Simmons,TEN,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.3,0.8,0.4,7.6,129.3
205,22558,Javonte Williams,DAL,RB,17,0.0,0.0,0.0,544.3,4.2,37.9,254.4,1.2,0.0,0.0,0.0,0.0,7.6,128.8
206,24506,Blake Grupe,NO,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,128.7
207,25246,Tyrice Knight,SEA,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.4,0.7,0.4,7.5,128.2
208,22623,Rashod Bateman,BAL,WR,17,0.0,0.0,0.0,0.9,0.0,44.2,686.8,6.2,0.0,0.0,0.0,0.0,7.5,127.9
209,21918,Grant Delpit,CLE,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.8,1.0,0.5,7.5,127.7
210,26106,Andy Borregales,NE,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,126.9
211,25403,Spencer Shrader,IND,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,126.8
212,22546,Rhamondre Stevenson,NE,RB,17,0.0,0.0,0.0,648.3,4.6,27.4,172.4,1.1,0.0,0.0,0.0,0.0,7.4,126.6
213,19562,Austin Ekeler,WAS,RB,17,0.0,0.0,0.0,398.4,3.7,43.0,369.7,1.2,0.0,0.0,0.0,0.0,7.4,126.1
214,17994,Kevin Byard III,CHI,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,1.0,0.5,7.4,126.0
215,24118,Tucker Kraft,GB,TE,17,0.0,0.0,0.0,0.2,0.0,55.3,662.8,5.4,0.0,0.0,0.0,0.0,7.4,125.5
216,23348,Nephi Sewell,NO,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.8,0.8,0.4,7.4,125.4
217,21909,D.J. Wonnum,CAR,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.3,0.7,0.3,7.3,124.9
218,15534,Adam Thielen,CAR,WR,17,0.0,0.0,0.0,1.5,0.0,61.6,665.0,4.6,0.0,0.0,0.0,0.0,7.3,124.6
219,19836,Tremaine Edmunds,CHI,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.6,1.0,0.5,7.3,124.6
220,20968,Drue Tranquill,KC,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.2,0.8,0.4,7.3,123.6
221,19815,Christian Kirk,HOU,WR,17,0.0,0.0,0.0,8.3,0.0,55.9,737.9,3.6,0.0,0.0,0.0,0.0,7.2,123.2
222,19863,Dallas Goedert,PHI,TE,17,0.0,0.0,0.0,1.9,0.0,62.2,704.3,3.6,0.0,0.0,0.0,0.0,7.2,123.1
223,20737,Josh Hines-Allen,JAX,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.7,0.7,0.4,7.2,122.7
224,25021,Edgerrin Cooper,GB,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.9,0.6,0.3,7.2,122.4
225,23437,Devin Lloyd,JAX,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.6,0.8,0.4,7.2,122.4
226,23165,Marvin Mims Jr.,DEN,WR,17,0.0,0.0,0.0,72.6,0.4,47.3,619.1,4.6,0.0,0.0,0.0,0.0,7.2,122.4
227,23173,Zach Charbonnet,SEA,RB,17,0.0,0.0,0.0,483.5,4.5,33.7,260.8,0.9,0.0,0.0,0.0,0.0,7.2,122.1
228,21519,Joey Slye,TEN,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,122.0
229,17933,DeForest Buckner,IND,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.2,0.9,0.4,7.2,122.0
230,25119,Harrison Mevis,NYJ,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,121.2
231,23138,Jake Ferguson,DAL,TE,17,0.0,0.0,0.0,0.0,0.0,67.5,634.7,4.2,0.0,0.0,0.0,0.0,7.1,121.0
232,10333,Graham Gano,NYG,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,120.7
233,24123,Tyjae Spears,TEN,RB,17,0.0,0.0,0.0,474.8,4.0,35.5,269.2,1.0,0.0,0.0,0.0,0.0,7.1,120.6
234,23316,Travon Walker,JAX,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.2,0.7,0.4,7.0,119.8
235,18912,Evan Engram,DEN,TE,17,0.0,0.0,0.0,0.9,0.0,74.0,624.7,3.5,0.0,0.0,0.0,0.0,7.0,119.8
236,22688,Tre'von Moehrig,CAR,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.9,0.4,7.0,119.5
237,21025,Cody Barton,TEN,ILB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,0.9,0.4,7.0,119.4
238,20841,Daniel Jones,IND,QB,17,1553.7,8.6,6.1,258.2,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,118.8
239,23170,Wan'Dale Robinson,NYG,WR,17,0.0,0.0,0.0,20.5,0.1,73.2,636.0,2.7,0.0,0.0,0.0,0.0,7.0,118.7
240,23960,Tony Adams,NYJ,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.6,0.8,0.4,7.0,118.5
241,23559,Quentin Lake,LAR,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.4,1.1,0.5,7.0,118.5
242,22767,Divine Deablo,ATL,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.3,0.8,0.4,7.0,118.3
243,21052,Brian Burns,NYG,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.2,0.8,0.4,6.9,118.0
244,14867,Dustin Hopkins,CLE,K,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,117.9
245,21927,Brandon Jones,DEN,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.4,0.9,0.5,6.9,117.8
246,20994,Mack Wilson Sr.,ARI,ILB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.8,0.8,0.4,6.9,117.6
247,16849,Danielle Hunter,HOU,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.2,0.7,0.4,6.9,117.5
248,24102,Dalton Kincaid,BUF,TE,17,0.0,0.0,0.0,0.0,0.0,61.2,641.9,3.8,0.0,0.0,0.0,0.0,6.9,117.4
249,21635,Jalen Thompson,ARI,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.4,1.0,0.5,6.9,117.2
250,19873,Jessie Bates III,ATL,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.1,1.1,0.5,6.9,117.0
251,24348,Cedric Tillman,CLE,WR,17,0.0,0.0,0.0,2.5,0.0,54.5,672.8,4.0,0.0,0.0,0.0,0.0,6.9,117.0
252,23167,Romeo Doubs,GB,WR,17,0.0,0.0,0.0,0.7,0.0,50.1,636.7,4.7,0.0,0.0,0.0,0.0,6.9,116.8
253,21747,Brandon Aiyuk,SF,WR,17,0.0,0.0,0.0,1.6,0.0,48.0,698.7,3.8,0.0,0.0,0.0,0.0,6.9,116.6
254,23364,Jordan Mason,MIN,RB,17,0.0,0.0,0.0,698.3,4.4,14.3,107.7,0.6,0.0,0.0,0.0,0.0,6.8,116.3
255,12902,Cameron Heyward,PIT,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.3,0.8,0.4,6.8,116.3
256,21045,Marquise Brown,KC,WR,17,0.0,0.0,0.0,2.4,0.0,54.9,646.5,4.0,0.0,0.0,0.0,0.0,6.8,116.1
257,19866,Justin Reid,NO,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.6,0.9,0.5,6.8,116.1
258,18964,Alex Anzalone,DET,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.2,0.8,0.4,6.8,115.8
259,19960,DeShon Elliott,PIT,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.9,0.5,6.8,115.8
260,18331,Chris Jones,KC,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.4,0.9,0.4,6.8,115.7
261,21674,J.K. Dobbins,DEN,RB,17,0.0,0.0,0.0,579.0,4.8,23.7,141.9,0.8,0.0,0.0,0.0,0.0,6.8,115.5
262,21921,Jeremy Chinn,LV,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.9,1.0,0.5,6.8,115.5
263,25542,Omar Speights,LAR,ILB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.7,0.3,6.8,115.5
264,16764,Dante Fowler Jr.,DAL,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.5,0.7,0.3,6.8,115.0
265,23539,Nate Landman,LAR,ILB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.5,0.7,0.4,6.8,115.0
266,22753,Pete Werner,NO,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.8,0.4,6.8,114.9
267,14856,Zach Ertz,WAS,TE,17,0.0,0.0,0.0,0.0,0.0,57.7,550.1,5.2,0.0,0.0,0.0,0.0,6.8,114.9
268,24087,Will Anderson Jr.,HOU,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.2,0.7,0.3,6.7,114.5
269,19084,Xavier Woods,TEN,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.1,0.9,0.5,6.7,114.3
270,21123,Donovan Wilson,DAL,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.8,1.0,0.5,6.7,114.3
271,24261,Dorian Williams,BUF,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3,0.8,0.4,6.7,114.3
272,17935,Leonard Floyd,ATL,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.2,0.6,0.3,6.7,114.0
273,16323,Khalil Mack,LAC,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.2,0.6,0.3,6.7,114.0
274,20864,Julian Love,SEA,FS,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.3,1.0,0.5,6.7,113.9
275,20852,Dexter Lawrence II,NYG,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.3,0.7,0.4,6.7,113.5
276,21929,Joshua Metellus,MIN,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,1.0,0.5,6.7,113.4
277,20738,Zach Allen,DEN,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.3,0.9,0.5,6.7,113.1
278,25874,Tyler Warren,IND,TE,17,0.0,0.0,0.0,17.6,0.1,57.0,612.1,3.7,0.0,0.0,0.0,0.0,6.7,113.1
279,25925,Tre Harris,LAC,WR,17,0.0,0.0,0.0,3.9,0.0,49.2,662.4,3.9,0.0,0.0,0.0,0.0,6.6,113.0
280,21900,Nnamdi Madubuike,BAL,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.2,0.8,0.4,6.6,112.7
281,25894,Jack Bech,LV,WR,17,0.0,0.0,0.0,2.5,0.0,52.2,662.7,3.6,0.0,0.0,0.0,0.0,6.6,112.4
282,24226,Quentin Johnston,LAC,WR,17,0.0,0.0,0.0,9.9,0.1,44.7,592.4,4.9,0.0,0.0,0.0,0.0,6.6,112.4
283,25026,Tyler Nubin,NYG,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,0.9,0.5,6.6,112.1
284,14461,Harrison Smith,MIN,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.8,1.1,0.5,6.6,111.9
285,23431,Alontae Taylor,NO,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.9,0.9,0.4,6.6,111.8
286,26092,Emeka Egbuka,TB,WR,17,0.0,0.0,0.0,12.2,0.1,49.5,647.3,3.7,0.0,0.0,0.0,0.0,6.6,111.7
287,16845,Jordan Hicks,CLE,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.6,0.8,0.4,6.6,111.4
288,16767,Leonard Williams,SEA,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.5,0.7,0.4,6.5,111.1
289,24139,Jared Verse,LAR,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.4,0.8,0.4,6.5,110.6
290,23217,Rachaad White,TB,RB,17,0.0,0.0,0.0,440.8,2.5,33.2,246.2,2.1,0.0,0.0,0.0,0.0,6.5,110.5
291,22699,Jaelan Phillips,MIA,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.9,0.7,0.3,6.5,110.3
292,19896,Arden Key,TEN,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.3,0.7,0.3,6.5,110.2
293,19832,Bradley Chubb,MIA,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.3,0.8,0.4,6.5,110.2
294,18902,Jabrill Peppers,NE,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.4,0.9,0.4,6.5,110.0
295,18990,Jonnu Smith,PIT,TE,17,0.0,0.0,0.0,3.3,0.1,54.8,574.4,4.1,0.0,0.0,0.0,0.0,6.4,109.6
296,21449,Luke Gifford,SF,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.0,0.7,0.4,6.4,109.5
297,23605,DaRon Bland,DAL,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.1,0.5,6.4,109.2
298,23471,Jordan Battle,CIN,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.6,0.7,0.4,6.4,109.0
299,24173,Michael Wilson,ARI,WR,17,0.0,0.0,0.0,1.9,0.0,48.1,587.1,4.5,0.0,0.0,0.0,0.0,6.4,109.0
300,17975,Hunter Henry,NE,TE,17,0.0,0.0,0.0,0.0,0.0,56.2,588.2,3.7,0.0,0.0,0.0,0.0,6.4,108.9
301,20811,Amani Hooker,TEN,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.6,0.9,0.5,6.4,108.9
302,22698,Greg Rousseau,BUF,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.3,0.9,0.5,6.4,108.2
303,23259,George Karlaftis,KC,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.2,0.9,0.4,6.4,108.0
304,23193,Tank Bigsby,JAX,RB,17,0.0,0.0,0.0,638.8,5.3,10.1,71.6,0.3,0.0,0.0,0.0,0.0,6.3,107.9
305,26094,Jayden Higgins,HOU,WR,17,0.0,0.0,0.0,3.0,0.0,48.0,622.6,3.7,0.0,0.0,0.0,0.0,6.3,107.8
306,23290,Nik Bonitto,DEN,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.6,0.6,0.3,6.3,107.7
307,20983,Christian Wilkins,LV,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.3,0.8,0.4,6.3,107.6
308,22746,Jonathon Cooper,DEN,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.5,0.7,0.4,6.3,107.2
309,25214,Jaylon Carlies,IND,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.3,0.7,0.3,6.3,107.0
310,21931,Geno Stone,CIN,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.2,1.0,0.5,6.3,106.8
311,24209,Calijah Kancey,TB,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.3,0.8,0.4,6.3,106.7
312,21936,Xavier McKinney,GB,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.8,1.0,0.5,6.2,106.2
313,20776,Carl Granderson,NO,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.3,0.7,0.3,6.2,105.8
314,25869,Colston Loveland,CHI,TE,17,0.0,0.0,0.0,0.0,0.0,52.4,564.3,4.0,0.0,0.0,0.0,0.0,6.2,105.8
315,21926,Kyle Dugger,NE,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.8,0.8,0.4,6.2,105.3
316,22508,Kyle Pitts,ATL,TE,17,0.0,0.0,0.0,0.0,0.0,46.9,603.4,3.6,0.0,0.0,0.0,0.0,6.2,105.2
317,20919,Taylor Rapp,BUF,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,1.1,0.5,6.2,105.2
318,25003,Xavier Legette,CAR,WR,17,0.0,0.0,0.0,32.6,0.1,49.8,558.3,3.4,0.0,0.0,0.0,0.0,6.2,104.6
319,23134,Cade Otton,TB,TE,17,0.0,0.0,0.0,0.0,0.0,54.0,554.0,3.8,0.0,0.0,0.0,0.0,6.1,104.4
320,16467,Kyle Van Noy,BAL,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.2,0.6,0.3,6.1,104.2
321,17915,Joey Bosa,BUF,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.3,0.7,0.4,6.1,104.1
322,19853,Mike Gesicki,CIN,TE,17,0.0,0.0,0.0,0.0,0.0,56.1,563.5,3.4,0.0,0.0,0.0,0.0,6.1,104.0
323,22689,Kwity Paye,IND,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.2,0.8,0.4,6.1,103.2
324,24114,Jalen Carter,PHI,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.3,0.9,0.4,6.1,103.0
325,19287,Kenny Moore II,IND,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.1,1.2,0.6,6.0,102.6
326,23256,Isaiah Likely,BAL,TE,17,0.0,0.0,0.0,0.0,0.0,42.6,505.9,5.2,0.0,0.0,0.0,0.0,6.0,102.5
327,19275,Adam Butler,LV,DT,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.3,0.8,0.4,6.0,102.4
328,25147,Mike Sainristil,WAS,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9,0.5,6.0,102.0
329,20767,Rashan Gary,GB,DL,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.2,0.6,0.3,6.0,102.0
330,19829,Minkah Fitzpatrick,MIA,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,1.2,0.6,6.0,101.9
331,25218,Braden Fiske,LAR,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.3,0.7,0.3,6.0,101.7
332,24208,Jaylon Jones,IND,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.9,1.2,0.6,6.0,101.5
333,24184,Devon Witherspoon,SEA,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.8,1.0,0.5,6.0,101.5
334,16964,Darren Waller,MIA,TE,17,0.0,0.0,0.0,0.0,0.0,51.3,555.2,3.4,0.0,0.0,0.0,0.0,6.0,101.4
335,26044,Luther Burden III,CHI,WR,17,0.0,0.0,0.0,26.1,0.3,48.6,573.4,2.8,0.0,0.0,0.0,0.0,6.0,101.2
336,23359,Kerby Joseph,DET,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.9,0.5,6.0,101.2
337,22910,Ifeatu Melifonwu,MIA,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,2.1,0.9,0.4,5.9,101.1
338,25912,Kyle Williams,NE,WR,17,0.0,0.0,0.0,6.8,0.0,46.8,600.5,3.0,0.0,0.0,0.0,0.0,5.9,101.1
339,19918,Josh Sweat,ARI,OLB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.3,0.7,0.3,5.9,101.1
340,26038,Jaydon Blue,DAL,RB,17,0.0,0.0,0.0,460.5,2.8,27.0,201.5,1.1,0.0,0.0,0.0,0.0,5.9,100.9
341,21898,Anfernee Jennings,NE,LB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.2,0.7,0.4,5.9,100.8
342,20888,Byron Murphy Jr.,MIN,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.1,0.5,5.9,100.8
343,23489,Chig Okonkwo,TEN,TE,17,0.0,0.0,0.0,1.1,0.0,55.3,544.1,3.2,0.0,0.0,0.0,0.0,5.9,100.6
344,19920,Dalton Schultz,HOU,TE,17,0.0,0.0,0.0,0.0,0.0,51.9,543.8,3.4,0.0,0.0,0.0,0.0,5.9,100.5
345,23427,Jaylen Watson,KC,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6,0.9,0.5,5.9,100.5
346,22729,Cam Bynum,IND,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.5,1.0,0.5,5.9,100.4
347,24223,Brenton Strange,JAX,TE,17,0.0,0.0,0.0,0.0,0.0,54.0,532.3,3.5,0.0,0.0,0.0,0.0,5.9,100.4
348,24247,Quan Martin,WAS,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.8,0.9,0.5,5.9,100.3
349,22507,Pat Freiermuth,PIT,TE,17,0.0,0.0,0.0,0.0,0.0,51.1,496.9,4.3,0.0,0.0,0.0,0.0,5.9,100.2
350,20791,Will Harris,WAS,S,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.9,0.9,0.5,5.9,100.2
351,23417,Cam Taylor-Britt,CIN,CB,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.4,0.9,0.5,5.9,99.6
352,16366,DeMarcus Lawrence,SEA,DE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.3,0.6,0.3,5.8,99.2
