rank,player,team,pos,gp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_half_ppr_per_gp,fpts_half_ppr
458,Pharaoh Brown,SEA,TE,17,0.0,0.0,0.0,0.0,0.0,10.4,118.0,0.8,0.0,0.0,0.0,0.0,1.3,855.4
459,Scotty Miller,PIT,WR,17,0.0,0.0,0.0,1.9,0.0,4.0,57.9,0.2,0.0,0.0,0.0,0.0,0.5,855.4
460,Trayveon Williams,CIN,RB,17,0.0,0.0,0.0,128.5,0.7,7.2,47.8,0.1,0.0,0.0,0.0,0.0,1.5,855.3
461,Dax Milne,WAS,WR,17,0.0,0.0,0.0,0.1,0.0,4.5,50.4,0.3,0.0,0.0,0.0,0.0,0.5,855.3
462,Stone Smartt,LAC,TE,17,0.0,0.0,0.0,0.0,0.0,10.1,114.9,0.8,0.0,0.0,0.0,0.0,1.3,854.9
463,Travis Vokolek,ARI,TE,17,0.0,0.0,0.0,0.0,0.0,10.7,99.5,1.0,0.0,0.0,0.0,0.0,1.3,854.9
464,Phillip Dorsett,DEN,WR,17,0.0,0.0,0.0,0.0,0.0,4.3,47.4,0.3,0.0,0.0,0.0,0.0,0.5,854.9
465,Antoine Green,DET,WR,17,0.0,0.0,0.0,0.0,0.0,4.0,48.2,0.3,0.0,0.0,0.0,0.0,0.5,854.8
466,Racey McMath,DAL,WR,17,0.0,0.0,0.0,0.0,0.0,3.4,42.7,0.4,0.0,0.0,0.0,0.0,0.5,854.5
467,Samori Toure,GB,WR,17,0.0,0.0,0.0,0.0,0.0,3.6,46.9,0.3,0.0,0.0,0.0,0.0,0.5,854.5
468,Luke Farrell,JAX,TE,17,0.0,0.0,0.0,0.0,0.0,10.9,106.0,0.8,0.0,0.0,0.0,0.0,1.2,854.5
469,Drew Sample,CIN,TE,17,0.0,0.0,0.0,0.0,0.0,11.3,97.8,0.9,0.0,0.0,0.0,0.0,1.2,854.4
470,Velus Jones Jr.,CHI,WR,17,0.0,0.0,0.0,9.8,0.1,3.2,37.7,0.2,0.0,0.0,0.0,0.0,0.5,854.3
471,Lawrence Cager,NYG,TE,17,0.0,0.0,0.0,0.0,0.0,10.6,110.6,0.7,0.0,0.0,0.0,0.0,1.2,854.2
472,Devin Culp,TB,TE,17,0.0,0.0,0.0,0.0,0.0,10.5,104.7,0.8,0.0,0.0,0.0,0.0,1.2,854.1
