player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jeremy Trueblood,3004,T,TB,16,100.0,0,30,63.4,63.3,72.6,9,35,581,100.0,100.0,94.8,12,52,8,981,0,0,0,981,615,615,0,981,366,0
Brian Waters,575,G,KC,15,100.0,0,16,74.0,75.9,72.4,9,10,558,100.0,100.0,98.1,8,20,1,981,0,981,0,981,601,601,0,0,380,0
Jason Brown,2341,C,SL,16,100.0,1,26,66.9,90.8,62.1,1,5,562,100.0,100.0,99.3,4,7,1,979,979,0,0,979,590,590,0,0,389,0
Damien Woody,451,T,NYJ,16,100.0,1,22,88.9,80.1,90.4,0,10,409,100.0,100.0,98.0,5,13,3,978,0,0,0,978,430,430,0,973,548,5
Scott Wells,1965,C,GB,15,100.0,0,12,77.1,82.4,75.0,2,8,578,100.0,100.0,98.8,5,12,2,976,976,0,0,976,617,617,0,0,359,0
Eric Heitmann,1201,C,SF,16,100.0,0,28,77.0,80.5,72.1,1,10,584,100.0,100.0,98.7,2,13,2,971,971,0,0,971,612,612,0,0,359,0
Kasey Studdard,3799,G,HST,15,100.0,0,13,73.5,64.1,73.2,7,20,566,100.0,100.0,96.9,1,31,4,968,0,968,0,968,585,585,0,0,383,0
Ryan Diem,867,T,IND,15,100.0,0,14,78.0,71.7,85.7,7,27,581,100.0,100.0,96.9,7,35,1,968,0,0,0,968,609,609,0,968,359,0
David Stewart,2330,T,TEN,15,100.0,1,31,82.3,77.6,83.7,3,18,500,100.0,100.0,97.7,5,22,1,962,0,0,0,962,518,518,0,962,444,0
Nick Cole,3567,G,PHI,16,100.0,0,24,71.1,79.4,65.9,3,11,574,100.0,100.0,98.4,3,16,2,948,108,438,0,948,608,608,402,0,340,0
Eugene Amano,1953,G,TEN,15,100.0,1,31,80.6,67.4,78.3,6,22,482,100.0,100.0,97.1,6,28,0,948,0,948,0,948,500,500,0,0,448,0
Stephon Heyer,3961,T,WAS,16,100.0,1,32,63.5,58.1,68.5,10,34,566,100.0,100.0,94.7,9,52,8,947,0,0,189,947,590,590,0,758,357,0
Geoff Hangartner,2386,C,BUF,16,100.0,0,4,67.6,58.1,69.9,2,16,514,100.0,100.0,97.7,4,21,3,947,947,0,0,947,535,535,0,0,412,0
Gosder Cherilus,4331,T,DET,15,100.0,1,11,72.3,66.0,76.2,7,24,572,100.0,100.0,95.7,6,40,9,945,0,0,0,945,604,604,0,945,341,0
Kris Dielman,1599,G,SD,16,100.0,0,27,75.8,65.8,77.3,9,11,522,100.0,100.0,97.3,3,24,4,941,0,941,0,941,548,548,0,0,393,0
Chilo Rachal,4353,G,SF,16,100.0,0,28,77.7,76.4,73.8,6,9,562,100.0,100.0,98.0,2,19,4,937,0,0,0,937,587,587,937,0,350,0
Anthony Herrera,2066,G,MIN,14,100.0,1,18,67.6,75.6,61.8,8,11,491,100.0,100.0,98.1,5,19,0,935,0,0,0,935,524,524,935,0,411,0
Nick Kaczur,2317,T,NE,14,99.9,0,19,77.0,67.4,79.5,10,19,536,99.8,99.8,96.5,0,33,4,934,0,0,0,935,567,568,0,928,367,7
Andy Levitre,4974,G,BUF,16,100.0,0,4,65.2,75.9,59.4,9,11,510,100.0,100.0,97.8,5,21,1,933,0,871,62,933,531,531,0,0,402,0
