player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,epa,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,positive_epa_percent,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
D.K. Metcalf,47864,WR,PIT,15,11.3,10,59.6,34.8,8,23,0,6.3,4,0.0,37,25,0,71.6,81.0,72.6,,74.8,0.0,0,4,80,0.0,0,494,8,45.2,59,94.1,465,19.0,94,90.9,99,6,80.6,398,850,420,7.1,14.4,1.83
Deebo Samuel,48274,WR,WAS,16,5.5,17,72.7,52.6,10,19,1,6.5,5,0.0,32,32,1,65.7,28.8,69.3,61.8,70.2,0.2,1,3,41,0.2,1,480,5,48.1,72,91.3,438,64.2,308,97.5,99,5,33.8,162,727,471,6.5,10.1,1.66
Tee Higgins,61211,WR,CIN,15,13.9,8,60.2,47.4,18,38,1,3.3,2,-0.09,41,7,0,83.2,80.4,80.1,67.5,80.2,0.2,1,2,44,0.2,1,554,1,45.4,59,94.4,523,12.8,71,117.1,98,11,87.0,482,846,164,2.8,14.3,1.62
Jameson Williams,101701,WR,DET,17,12.7,12,67.0,62.5,5,8,0,12.2,9,0.13,49,11,0,43.9,81.8,75.6,,76.7,0.0,0,1,64,0.0,0,626,5,47.8,65,96.0,601,23.2,145,125.7,97,7,76.7,480,1117,447,6.9,17.2,1.86
Jahmyr Gibbs,122474,HB,DET,17,0.4,25,83.7,50.0,1,2,0,4.9,4,0.1,28,11,0,77.1,75.8,85.6,50.5,90.3,0.0,0,0,42,17.5,81,463,1,47.3,77,79.5,368,8.0,37,112.7,92,5,5.2,24,616,626,8.1,8.0,1.67
Khalil Shakir,84140,WR,BUF,16,3.9,21,79.1,40.0,6,15,0,5.3,4,0.07,29,4,1,76.9,62.1,70.4,73.8,70.5,1.8,8,2,54,0.4,2,453,2,46.3,72,92.9,421,70.2,318,105.1,91,4,26.7,121,719,550,7.6,10.0,1.71
Tre Tucker,101106,WR,LV,17,10.7,9,63.3,38.5,5,13,0,8.1,5,-0.19,32,23,0,63.0,84.3,65.9,,65.7,0.8,5,1,61,0.0,0,618,4,41.1,57,94.2,582,17.2,106,101.0,90,5,81.7,505,696,292,5.1,12.2,1.2
Rashid Shaheed,63707,WR,SEA,18,11.4,2,66.3,46.2,6,13,0,0.0,0,-0.13,29,29,1,90.7,54.2,66.1,,68.2,0.0,0,4,87,0.0,0,522,3,46.0,59,94.1,491,34.1,178,78.3,89,2,65.9,344,687,182,3.1,11.6,1.4
Jauan Jennings,48027,WR,SF,15,10.6,10,62.5,56.3,18,32,0,5.2,3,0.07,36,28,1,74.8,41.5,68.3,62.4,70.6,0.0,0,7,42,0.6,3,489,4,50.6,55,94.3,461,29.0,142,85.6,88,9,71.0,347,643,180,3.3,11.7,1.39
Parker Washington,129799,WR,JAX,16,13.1,11,65.9,63.0,17,27,1,9.4,6,0.08,37,15,0,58.4,88.8,79.3,,82.4,0.5,2,3,63,0.0,0,443,1,48.8,58,93.0,412,50.3,223,101.8,88,5,49.0,217,847,277,4.8,14.6,2.06
