player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Sean Ryan,1865,TE,KC,8,7.3,1,60.9,,0,0,1,22.2,4,7,16,1,29.5,25.9,53.7,45.5,49.2,66.7,176,2,43,27.7,73,264,4,14,67.0,177,27.3,72,70.0,23,2,2.7,7,135,53,3.8,9.6,0.76
Tashard Choice,4436,HB,DAL,16,0.6,5,68.2,,0,0,0,11.8,2,6,9,0,55.6,85.7,63.9,61.0,60.4,0.0,0,0,28,39.3,75,191,0,15,57.6,110,0.0,0,83.9,22,0,2.1,4,132,126,8.4,8.8,1.2
Laurent Robinson,3691,WR,SL,3,12.6,1,59.1,,0,0,0,7.1,1,11,26,0,65.9,73.0,74.6,,73.2,0.0,0,0,45,0.0,0,89,0,13,92.1,82,12.4,11,98.1,22,1,87.6,78,167,43,3.3,12.8,2.04
Chris Henry,2300,WR,CIN,8,20.6,1,54.5,,0,0,0,0.0,0,11,7,0,80.0,72.3,68.9,,68.2,0.0,0,1,73,0.0,0,144,0,12,93.1,134,4.2,6,103.6,22,2,95.8,138,236,65,5.4,19.7,1.76
Mike Tolbert,4740,FB,SD,15,0.3,1,77.3,,0,0,0,15.0,3,9,27,1,41.6,35.2,59.8,65.6,48.7,0.0,0,0,66,19.5,23,118,0,17,77.1,91,5.9,7,142.4,22,3,5.9,7,192,200,11.8,11.3,2.11
Leon Washington,3062,HB,NYJ,7,2.1,0,68.2,,0,0,0,11.8,2,4,22,0,51.2,59.8,61.1,77.1,54.1,0.0,0,0,33,15.2,19,125,1,15,81.6,102,9.6,12,83.7,22,0,11.2,14,131,107,7.1,8.7,1.28
Michael Sellers,432,FB,WAS,15,3.9,1,72.7,,0,0,1,5.9,1,7,32,1,67.0,23.0,64.4,50.1,61.0,43.3,74,0,47,25.7,44,171,5,16,72.5,124,7.0,12,104.9,22,1,0.0,0,143,84,5.3,8.9,1.15
Evan Moore,4771,TE,CLV,5,11.9,0,57.1,,0,0,1,7.7,1,8,8,0,62.1,71.9,71.6,70.1,72.6,60.7,54,0,24,1.1,1,89,2,12,96.6,86,28.1,25,81.1,21,0,11.2,10,158,31,2.6,13.2,1.84
Felix Jones,4336,HB,DAL,14,-1.0,1,90.5,,0,0,0,0.0,0,5,9,0,83.2,57.9,66.0,76.9,72.8,0.0,0,0,30,28.0,35,125,1,19,69.6,87,3.2,4,90.3,21,0,2.4,3,119,145,7.6,6.3,1.37
Jerious Norwood,3024,HB,ATL,10,3.0,2,90.5,,0,0,0,0.0,0,10,2,1,83.6,62.5,55.1,51.5,61.4,0.0,0,0,38,15.4,28,182,0,19,81.9,149,7.7,14,119.4,21,1,3.8,7,186,149,7.8,9.8,1.25
