player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Chris Pressley,5347,FB,TB,7,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,30,0,0,64.6,58.6,77.0,,77.2,52.9,56.8,61.2,0,0,2,1,22,70,0,0,1,2,0,0,0,0.0,0.0,0.09,0
Kory Sheets,5378,HB,MIA,1,1,0,0,0.0,0,0,5,0,0,0,3,0.0,0,0,17,0,0,61.9,48.8,63.6,,,,56.7,,5,0,0,0,0,1,0,0,0,1,0,5,3,3.0,5.0,,0
Lance Long,4648,WR,KC,8,1,0,0,0.0,0,0,-1,5,1,0,2,9.5,0,0,16,0,0,74.8,47.7,80.7,,,48.3,59.8,44.5,-1,0,178,20,176,38,0,0,38,21,0,-1,2,2.0,-1.0,1.01,0
Kevin Ogletree,5387,WR,DAL,9,1,0,0,0.0,0,0,6,0,1,0,5,62.5,0,0,9,0,0,70.3,75.4,77.5,,,76.4,56.7,59.8,6,0,96,7,28,12,0,0,8,8,0,6,5,5.0,6.0,3.43,0
Marques Colston,3197,WR,NO,16,1,0,0,0.0,0,0,6,10,11,0,2,31.0,0,0,20,2,0,27.5,76.3,61.5,,,75.8,56.7,73.0,6,2,1074,70,502,303,0,0,102,71,0,6,2,2.0,6.0,2.14,0
Zach Miller,5104,TE,JAX,14,1,0,0,0.0,0,0,3,2,3,0,2,27.3,0,1,15,0,0,75.2,66.4,82.2,,75.5,68.0,56.6,58.0,3,0,212,21,107,43,0,0,28,22,0,3,2,2.0,3.0,1.98,0
Ahmard Hall,3336,FB,TEN,16,1,0,0,0.0,0,0,5,2,4,0,0,0.0,0,1,31,2,0,15.3,59.7,81.2,,55.2,44.1,43.1,70.1,5,3,79,12,72,245,0,0,16,13,0,5,0,0.0,5.0,1.1,0
Deion Branch,1072,WR,SEA,14,1,0,0,0.0,0,0,-8,5,1,0,0,0.0,0,0,29,1,0,48.0,55.4,71.0,,,54.8,56.8,67.6,-8,1,437,45,445,162,0,0,75,46,0,-8,0,0.0,-8.0,0.98,0
Craig Davis,3646,WR,SD,1,1,0,0,0.0,0,0,4,0,0,0,1,0.0,0,0,27,0,0,69.8,73.1,77.1,,,72.4,56.7,78.3,4,0,52,6,39,13,0,0,7,7,0,4,1,1.0,4.0,1.33,0
Matthew Slater,4467,WR,NE,6,1,1,0,0.0,0,0,6,0,0,1,3,300.0,0,0,19,0,0,64.6,72.4,76.9,,,66.9,63.2,76.4,6,0,0,0,13,18,0,0,0,1,0,6,3,3.0,6.0,0.0,0
