source,arm,player,selections,selection_rate
predicted,shortlist,Rashee Rice,1,0.0078125
predicted,shortlist,Rashid Shaheed,1,0.0078125
predicted,shortlist,Rhamondre Stevenson,23,0.1796875
predicted,shortlist,Rico Dowdle,10,0.078125
predicted,shortlist,Rome Odunze,33,0.2578125
predicted,shortlist,Sam Darnold,11,0.0859375
predicted,shortlist,Sam LaPorta,11,0.0859375
predicted,shortlist,Samaje Perine,1,0.0078125
predicted,shortlist,Saquon Barkley,3,0.0234375
predicted,shortlist,Tee Higgins,9,0.0703125
predicted,shortlist,Terry McLaurin,5,0.0390625
predicted,shortlist,Tetairoa McMillan,12,0.09375
predicted,shortlist,Tony Pollard,29,0.2265625
predicted,shortlist,Travis Kelce,4,0.03125
predicted,shortlist,Tre Tucker,1,0.0078125
predicted,shortlist,TreVeyon Henderson,37,0.2890625
predicted,shortlist,Trevor Lawrence,1,0.0078125
predicted,shortlist,Trey McBride,4,0.03125
predicted,shortlist,Tyler Allgeier,1,0.0078125
predicted,shortlist,Tyler Shough,2,0.015625
predicted,shortlist,Tyler Warren,38,0.296875
predicted,shortlist,Wan'Dale Robinson,4,0.03125
predicted,shortlist,Xavier Worthy,1,0.0078125
predicted,shortlist,Zay Flowers,5,0.0390625
