"Full Name",Position,"3-Cone Drill","Bench Press","Height-adjusted Speed Score",SPARQ-x,"Broad Jump","40-Yard Dash","Burst Score","Agility Score","Vertical Jump","Breakout Age"
"Nick Boyle",TE,7.13,20,82.6,103.5,112,5.04,109.4,11.36,30.5,20.6
"Nick Kasa",TE,7.18,22,111.6,110.8,113,4.71,111.6,11.63,31.5,21.8
"Nick Keizer",TE,7.35,27,92.5,117.8,121,4.82,116.5,11.70,32.0,22.4
"Nick O'Leary",TE,7.40,21,83.8,97.3,110,4.93,108.4,11.90,30.5,21.0
"Nick Truesdell",TE,6.83,10,98.6,86.6,114,4.78,112.1,11.30,31.5,-
"Nick Vannett",TE,7.05,17,87.4,99.7,111,4.95,108.9,11.25,30.5,-
"Niles Paul",TE,6.90,24,111.3,131.2,117,4.51,118.9,11.04,34.5,20.1
"Noah Fant",TE,6.81,20,120.8,128.8,127,4.50,132.6,11.03,39.5,19.8
"O.J. Howard",TE,6.85,22,123.9,123.1,121,4.51,113.0,11.01,30.0,21.8
"Orson Charles",TE,-,35,93.1,134.8,113,4.78,109.9,-,30.5,20.6
"Owen Daniels",TE,6.88,23,105.0,126.1,114,4.65,117.4,10.99,34.5,22.8
"Paul Butler",TE,7.06,19,88.5,105.7,118,4.91,128.1,11.53,39.5,-
"Pharaoh Brown",TE,7.24,24,91.8,109.6,103,4.88,111.0,11.70,34.0,20.3
"Pharoah McKever",TE,7.26,15,96.4,86.8,119,4.84,114.6,11.98,31.5,-
"Phazahn Odom",TE,7.27,18,95.8,95.9,119,4.84,117.3,11.82,33.0,21.2
"Phillip Supernaw",TE,7.10,18,95.8,95.4,110,4.75,111.9,11.70,32.5,19.6
"Randall Telfer",TE,-,20,87.7,-,-,4.88,-,-,-,-
"Reggie Jordan",TE,7.22,24,91.0,110.7,116,4.77,110.5,11.52,30.0,21.2
"Rhett Ellison",TE,7.16,-,88.9,-,111,4.88,110.6,11.55,31.5,-
"Richard Rodgers",TE,7.23,16,90.9,93.4,116,4.87,113.1,11.70,31.5,-
"Richard Ross",TE,-,-,101.7,-,-,4.65,-,-,-,-
"Ricky Seals-Jones",TE,7.46,17,101.2,98.1,121,4.69,109.5,11.79,28.0,20.3
"Rico Gathers",TE,-,-,101.6,-,115,4.84,-,-,-,-
"Rob Blanchflower",TE,7.15,22,90.5,103.9,112,4.87,112.0,11.62,32.0,22.2
"Rob Gronkowski",TE,7.18,23,108.1,112.9,119,4.73,118.1,11.65,33.5,18.3
"Rob Housler",TE,6.90,22,117.6,127.8,117,4.55,123.3,11.11,37.0,20.5
"Robert Tonyan",TE,7.12,16,103.5,105.9,125,4.63,123.8,11.46,35.0,20.4
"Romello Brooker",TE,7.19,17,85.1,96.9,111,4.90,111.5,11.54,32.0,-
"Rory Anderson",TE,-,-,94.2,-,-,4.78,-,-,-,-
"Ross Dwelley",TE,-,-,79.6,-,-,4.95,-,-,27.5,20.6
"Ross Travis",TE,-,-,103.9,-,-,4.65,-,-,-,-
"Ryan Griffin",TE,7.01,21,86.1,103.4,113,4.92,116.9,11.44,34.5,21.7
"Ryan Izzo",TE,7.15,18,86.6,97.3,110,4.94,112.8,11.58,33.0,21.7
"Ryan Malleck",TE,7.00,18,88.1,102.8,121,4.86,120.9,11.33,34.5,-
"Ryan Nall",TE,6.95,15,103.0,109.5,122,4.58,118.8,11.11,33.0,20.7
"Ryan O'Malley",TE,7.47,19,97.6,98.6,117,4.82,114.5,12.00,32.0,-
"Ryan Smith",TE,7.46,-,88.8,-,110,4.92,104.0,-,28.0,19.6
"Ryan Yurachek",TE,7.34,18,88.9,99.5,113,4.75,113.4,11.78,32.5,19.0
"Scott Chandler",TE,7.26,16,107.8,100.9,111,4.78,108.0,11.58,30.0,21.1
"Scott Orndoff",TE,7.37,17,92.9,90.2,112,4.84,103.3,11.82,27.0,21.7
"Scott Simonson",TE,7.38,24,85.7,99.4,111,4.92,108.9,12.00,30.5,19.4
"Sean Culkin",TE,7.20,21,100.1,109.6,120,4.76,122.1,11.66,35.5,-
"Sean McGrath",TE,6.99,-,91.5,-,123,4.83,123.6,11.15,35.5,22.8
"Seth Devalve",TE,6.96,22,94.4,124.9,125,4.73,132.5,11.14,40.0,20.6
"Shane Smith",TE,7.37,36,83.6,138.1,126,4.86,127.8,11.85,37.0,-
"Stephen Anderson",TE,6.95,16,95.3,114.8,119,4.65,126.0,11.08,38.0,21.6
"Stephen Carlson",TE,6.97,18,88.5,105.0,123,4.82,118.4,11.16,32.5,20.7
"Steven Scheu",TE,7.14,23,94.8,111.8,116,4.80,115.8,11.49,33.0,22.2
"T.J. Hockenson",TE,7.02,17,103.7,115.2,123,4.70,127.1,11.20,37.5,21.2
"Tanner Hudson",TE,-,-,-,-,-,-,-,-,-,20.8
"Taylor McNamara",TE,7.07,14,92.1,95.1,117,4.83,115.4,11.43,32.5,-
"Taylor Thompson",TE,7.43,22,122.2,123.2,126,4.60,127.8,11.81,37.0,-
"Ted Bolser",TE,7.15,19,100.9,99.9,111,4.76,109.8,11.65,31.0,19.9
"Temarrick Hemingway",TE,6.88,18,99.9,102.8,115,4.71,110.9,11.19,30.5,20.1
"Thomas Duarte",TE,6.97,12,90.2,97.4,118,4.72,117.6,11.21,33.5,20.4
"Tim Semisch",TE,7.37,16,82.7,89.7,112,5.03,110.3,11.80,31.0,-
"Timothy Wright",TE,7.27,19,89.7,103.0,118,4.70,122.0,11.74,36.0,-
"Tom Crabtree",TE,-,-,96.6,-,-,4.74,-,-,-,-
"Tommy Sweeney",TE,7.17,17,91.8,100.3,115,4.83,113.5,11.48,32.0,21.2
"Tony Moeaki",TE,7.10,18,102.3,105.6,113,4.69,116.0,11.52,34.0,22.2
"Travis Beckum",TE,7.05,28,97.4,138.6,118,4.66,126.4,11.15,38.5,19.6
"Travis Kelce",TE,7.09,-,111.1,-,124,4.66,123.3,11.51,35.0,22.9
"Trevon Wesco",TE,7.18,24,91.7,110.0,117,4.89,112.8,11.56,31.0,-
"Trevor Wood",TE,7.52,17,82.0,85.4,109,5.03,107.9,12.15,30.5,-
"Trey Burton",TE,7.14,19,101.3,105.5,112,4.62,108.5,11.46,30.0,21.9
"Troy Fumagalli",TE,-,14,-,-,-,-,-,-,-,21.2
"Troy Niklas",TE,7.57,27,97.7,113.0,114,4.89,113.0,12.12,32.0,21.0
"Tyler Beck",TE,7.33,18,92.4,102.6,118,4.81,120.3,11.76,35.0,-
"Tyler Conklin",TE,7.13,18,93.9,113.0,120,4.80,126.5,11.36,38.0,21.1
"Tyler Eifert",TE,6.92,22,106.8,117.7,119,4.68,121.6,11.24,35.5,21.0
"Tyler Higbee",TE,-,-,95.8,-,-,4.80,-,-,-,22.7
"Tyler Kroft",TE,7.18,17,93.4,97.2,120,4.80,119.5,11.68,34.0,20.9
"Tyler Petite",TE,7.20,-,89.2,-,111,4.78,103.6,11.66,27.5,-
"Tyree Mayfield",TE,7.20,26,95.7,121.0,119,4.72,119.9,11.53,34.5,-
"Tyrone Swoopes",TE,6.89,19,98.2,107.2,115,4.73,118.8,11.28,35.0,-
"Vance McDonald",TE,7.08,31,109.8,129.6,119,4.69,118.1,11.61,33.5,20.2
"Vernon Davis",TE,7.00,33,133.4,165.8,128,4.38,137.5,11.17,42.0,21.6
"Vince Mayle",TE,6.93,-,91.2,-,117,4.67,120.6,11.06,35.5,22.2
"Virgil Green",TE,6.90,23,105.5,126.3,130,4.64,139.4,11.30,42.5,21.1
"Wes Saxton",TE,7.29,19,104.1,108.6,119,4.65,122.5,11.78,36.0,-
"Will Dissly",TE,7.07,15,92.7,90.4,111,4.87,104.5,11.47,28.0,-
"Will Tye",TE,7.21,-,111.4,-,112,4.62,111.1,11.86,31.5,21.8
"Xavier Grimble",TE,7.41,16,85.2,77.7,113,4.95,102.9,12.20,26.5,-
"Zach Conque",TE,6.86,12,100.9,102.6,123,4.64,125.4,11.14,36.5,-
"Zach Ertz",TE,7.08,24,97.8,113.8,114,4.76,119.1,11.55,35.5,21.8
"Zach Gentry",TE,7.40,12,96.3,83.8,110,4.90,106.6,11.93,29.5,21.0
"Zach Miller",TE,7.06,16,109.9,115.2,124,4.58,127.6,11.28,37.5,-
"Zach Miller",TE,7.01,16,90.2,97.5,115,4.87,117.0,11.43,34.0,20.7
"Zach Sudfeld",TE,7.08,11,95.7,95.1,113,4.83,121.3,11.49,37.0,23.4
