"Full Name",Position,"Arm Length","Height (Inches)",Weight,BMI,"Draft Pick","Hand Size",Age,"20-Yard Shuttle","Athleticism Score","Catch Radius"
"Justin Jones",TE,"35 5/8",80,"274 lbs",30.1,Undrafted,"10 1/4",27.9,4.60,107.0,10.29
"Justin Perillo",TE,"32 3/4",75,"250 lbs",31.2,Undrafted,"9 1/8",28.6,4.36,97.6,9.90
"Kaden Smith",TE,"32 1/4",77,"255 lbs",30.2,6.03,"9 5/8",22.3,4.47,98.1,9.90
"Kahale Warring",TE,"32 3/4",77,"252 lbs",29.9,3.22,"9 3/4",22.4,4.25,103.8,10.21
"Kano Dillon",TE,"36    ",77,"256 lbs",30.4,Undrafted,"9 3/4",-,4.52,104.0,10.12
"Keenen Brown",TE,"34 1/2",74,"250 lbs",32.1,Undrafted,"9 7/8",23.6,4.51,99.4,9.91
"Keith Towbridge",TE,"33 5/8",76,"262 lbs",31.9,Undrafted,"9 7/8",24.2,4.40,105.3,10.18
"Kellen Davis",TE,"32 1/8",78,"262 lbs",30.3,5.23,"9 3/4",33.8,4.38,102.7,9.90
"Kendall Blanton",TE,"33 3/4",78,"262 lbs",30.3,Undrafted,"10 3/8",-,4.42,99.8,9.89
"Kennard Backman",TE,"33 3/8",75,"258 lbs",32.2,6.37,"9 3/8",26.5,4.49,102.4,10.02
"Kent Taylor",TE,"30 1/4",77,"244 lbs",28.9,Undrafted,"9 3/8",25.7,4.41,97.9,9.82
"Kevin Rader",TE,"32 1/2",76,"250 lbs",30.4,Undrafted,"9 5/8",24.3,4.46,97.4,9.93
"Khari Lee",TE,"33 1/8",76,"235 lbs",28.6,Undrafted,"9 1/2",27.6,4.42,93.5,9.87
"Kyle Carter",TE,"33 5/8",75,"248 lbs",31.0,Undrafted,"10 1/2",26.7,4.37,101.9,10.11
"Kyle Nelson",TE,-,74,"240 lbs",30.8,Undrafted,-,32.9,4.37,-,9.79
"Kyle Rudolph",TE,"34    ",78,"258 lbs",29.8,2.11,"10 5/8",29.8,4.37,101.7,10.10
"Ladarius Green",TE,"34 1/2",78,"240 lbs",27.7,4.15,"10 1/8",29.2,4.47,103.2,10.23
"Lance Kendricks",TE,"32    ",75,"243 lbs",30.4,2.15,"9 1/2",31.5,4.15,99.9,10.12
"Larry Donnell",TE,"34 1/8",78,"265 lbs",30.6,Undrafted,-,30.8,4.59,101.7,9.95
"Lee Smith",TE,"34 3/8",78,"266 lbs",30.7,5.28,"9 3/4",31.7,4.28,99.7,9.93
"Levine Toilolo",TE,"34 1/2",80,"260 lbs",28.6,4.36,"10 1/4",28.0,4.57,103.4,10.11
"Logan Parker",TE,"32 1/2",75,"238 lbs",29.7,Undrafted,"9 3/4",-,4.33,94.4,9.84
"Logan Paulsen",TE,-,77,"264 lbs",31.3,Undrafted,-,32.5,4.52,97.5,9.68
"Logan Thomas",TE,"34 1/4",78,"248 lbs",28.7,4.20,"10 7/8",28.1,4.18,104.5,10.35
"Luke Stocker",TE,"33    ",77,"253 lbs",30.0,4.07,"9 5/8",31.1,4.40,100.8,10.04
"Luke Willson",TE,"32 1/4",77,"251 lbs",29.8,5.25,"9 3/8",29.6,4.29,105.3,10.30
"Manasseh Garner",TE,"31 3/4",76,"234 lbs",28.5,Undrafted,"9 1/2",27.4,4.47,94.8,9.82
"MarQueis Gray",TE,"34    ",76,"250 lbs",30.4,Undrafted,"9 7/8",29.8,4.30,99.1,9.95
"Marcedes Lewis",TE,"35    ",78,"275 lbs",31.8,1.28,-,35.2,4.84,106.8,10.07
"Marcel Jensen",TE,"34 7/8",78,"259 lbs",29.9,Undrafted,"9 7/8",29.5,4.60,102.2,10.04
"Marcus Baugh",TE,"33    ",76,"247 lbs",30.1,Undrafted,"9 1/2",24.7,4.51,97.7,9.88
"Marcus Lucas",TE,"33 5/8",76,"218 lbs",26.5,Undrafted,"9 3/8",27.4,4.25,97.5,10.25
"Mark Andrews",TE,"33 1/2",77,"256 lbs",30.4,3.22,"10 1/2",22.9,4.38,101.3,9.97
"Mark Harrison",TE,"35    ",75,"231 lbs",28.9,Undrafted,"9 5/8",28.7,4.33,103.4,10.39
"Martellus Bennett",TE,"33 3/8",78,"265 lbs",30.6,2.30,-,32.4,4.53,104.1,9.97
"Mason Schreck",TE,"33 1/8",76,"253 lbs",30.8,7.33,"9 7/8",25.8,4.27,100.6,10.03
"Matt Flanagan",TE,"32 7/8",77,"260 lbs",30.8,Undrafted,"9 3/8",24.4,4.38,101.0,9.94
"Matt LaCosse",TE,"31    ",78,"250 lbs",28.9,Undrafted,"8 3/8",26.9,4.57,98.1,9.79
"Matt Lengel",TE,"33 3/4",79,"270 lbs",30.4,Undrafted,"10 1/8",28.6,4.33,103.0,10.02
"Matt Sokol",TE,"32 5/8",77,"253 lbs",30.0,Undrafted,"8 3/4",23.8,4.34,97.4,9.84
"Matt Weiser",TE,"34    ",77,"241 lbs",28.6,Undrafted,"8 3/4",26.8,4.41,96.7,9.92
"Matthew Mulligan",TE,-,76,"265 lbs",32.3,Undrafted,-,34.6,-,-,-
"Mavin Saunders",TE,"33    ",77,"236 lbs",28.0,Undrafted,"10 1/8",24.5,-,-,-
"Maxx Williams",TE,"33 1/2",76,"249 lbs",30.3,2.23,"10 3/8",25.3,4.37,100.2,10.03
"Michael Egnew",TE,"33    ",77,"255 lbs",30.2,3.15,"9 3/4",29.8,4.32,106.1,10.24
"Michael Hoomanawanui",TE,"33    ",76,"264 lbs",32.1,5.01,"10 1/8",31.1,4.52,99.7,9.78
"Michael Roberts",TE,"33 1/4",76,"270 lbs",32.9,4.21,"11 1/2",25.3,4.51,101.0,9.84
"Mickey Shuler",TE,-,76,"247 lbs",30.1,7.07,-,32.8,4.25,104.6,10.32
"Micky Crum",TE,"31 3/4",76,"246 lbs",29.9,Undrafted,"9 5/8",23.8,4.66,93.2,9.66
"Mik'Quan Deane",TE,"33 7/8",75,"237 lbs",29.6,Undrafted,"10 1/4",-,4.53,99.2,9.99
"Mike Flacco",TE,"32 1/4",77,"251 lbs",29.8,Undrafted,"10    ",32.6,4.34,100.0,10.01
"Mike Gesicki",TE,"34    ",78,"247 lbs",28.5,2.10,"10 1/8",23.9,4.10,109.2,10.68
"Mike McFarland",TE,"35 1/4",77,"252 lbs",29.9,Undrafted,"10 1/2",27.7,4.40,101.6,10.14
"Mitchell Henry",TE,"31 7/8",76,"245 lbs",29.8,Undrafted,"9 1/8",26.7,4.28,100.1,10.14
"Mo Alie-Cox",TE,"35 7/8",76,"262 lbs",31.9,Undrafted,"11 3/4",25.9,4.45,104.5,10.12
"Moral Stephens",TE,"32 1/2",75,"252 lbs",31.5,Undrafted,"9 1/8",-,5.14,95.6,9.51
"Moritz Boehringer",TE,"32 5/8",76,"227 lbs",27.6,6.05,"9 3/8",25.8,4.10,103.2,10.52
"MyCole Pruitt",TE,"33 1/2",74,"251 lbs",32.2,5.07,"10 1/4",27.4,4.37,103.3,10.16
"Mychal Rivera",TE,"32 5/8",75,"242 lbs",30.2,6.16,"10 1/4",28.9,4.43,95.9,9.84
"Nate Becker",TE,"31 1/2",77,"258 lbs",30.6,Undrafted,"9 5/8",23.4,4.50,96.8,9.81
"Neal Sterling",TE,"33    ",76,"257 lbs",31.3,7.03,"9 1/4",27.6,4.25,103.7,10.18
"Nic Jacobs",TE,"34 1/8",77,"269 lbs",31.9,Undrafted,"10    ",27.8,4.72,103.7,9.94
"Nick Boyle",TE,"33 3/8",76,"268 lbs",32.6,5.35,"10 3/8",26.5,4.23,99.6,9.89
"Nick Kasa",TE,"32 7/8",78,"269 lbs",31.1,6.04,"9 1/8",28.8,4.45,104.0,9.99
"Nick Keizer",TE,"32 1/4",76,"251 lbs",30.5,Undrafted,"10 1/4",24.3,4.35,99.0,9.88
"Nick O'Leary",TE,"29 3/4",75,"252 lbs",31.5,6.18,"9 3/8",27.0,4.50,94.3,9.60
"Nick Truesdell",TE,-,78,"252 lbs",29.1,Undrafted,-,29.4,4.47,-,10.06
"Nick Vannett",TE,"34 1/4",78,"257 lbs",29.7,3.32,"10    ",25.4,4.20,99.9,10.05
"Niles Paul",TE,"31    ",73,"241 lbs",31.8,5.24,"8 3/4",30.0,4.14,100.1,10.13
"Noah Fant",TE,"33 1/2",76,"249 lbs",30.3,1.20,"9 3/4",21.7,4.22,107.5,10.48
"O.J. Howard",TE,"33 3/4",78,"251 lbs",29.0,1.19,"10    ",24.7,4.16,104.7,10.24
"Orson Charles",TE,"32 1/2",74,"251 lbs",32.2,4.21,"9 1/4",28.5,4.37,-,-
"Owen Daniels",TE,"32 1/8",75,"250 lbs",31.2,4.01,-,36.8,4.11,101.8,10.20
"Paul Butler",TE,"34 1/4",78,"252 lbs",29.1,Undrafted,"9 1/4",26.3,4.47,102.9,10.28
"Pharaoh Brown",TE,"35 5/8",78,"255 lbs",29.5,Undrafted,"10 3/8",25.3,4.46,100.3,10.10
"Pharoah McKever",TE,"33 5/8",78,"259 lbs",29.9,Undrafted,"9 3/8",25.5,4.72,100.8,9.85
"Phazahn Odom",TE,"35 1/4",80,"251 lbs",27.6,Undrafted,"10    ",25.2,4.55,101.8,10.10
"Phillip Supernaw",TE,-,77,"242 lbs",28.7,Undrafted,-,29.5,4.60,-,9.95
"Randall Telfer",TE,"33 1/2",76,"250 lbs",30.4,6.22,"9 5/8",27.2,-,-,-
"Reggie Jordan",TE,"32 1/4",75,"240 lbs",30.0,Undrafted,"9 5/8",28.1,4.30,96.0,9.85
"Rhett Ellison",TE,"32 3/4",77,"250 lbs",29.6,4.33,"10 1/4",31.6,4.39,97.9,9.92
"Richard Rodgers",TE,"32 5/8",76,"257 lbs",31.3,3.34,"10 1/8",27.6,4.47,99.1,9.84
"Richard Ross",TE,-,77,"236 lbs",28.0,Undrafted,-,27.2,-,-,-
"Ricky Seals-Jones",TE,"33 1/8",77,"243 lbs",28.8,Undrafted,"9 5/8",24.2,4.33,97.9,9.84
"Rico Gathers",TE,-,78,"273 lbs",31.5,6.42,-,25.6,4.56,-,-
"Rob Blanchflower",TE,"33 3/4",76,"256 lbs",31.2,7.15,"9 5/8",29.2,4.47,99.3,9.92
"Rob Gronkowski",TE,"34 1/4",78,"265 lbs",30.6,2.10,"10 3/4",30.3,4.47,105.0,10.10
"Rob Housler",TE,"34 1/2",77,"250 lbs",29.6,3.05,"9 5/8",31.4,4.21,105.9,10.42
"Robert Tonyan",TE,"32 1/2",77,"236 lbs",28.0,Undrafted,"10 1/4",25.3,4.34,100.5,10.15
"Romello Brooker",TE,"33 1/4",75,"250 lbs",31.2,Undrafted,"9 1/2",-,4.35,97.2,9.89
"Rory Anderson",TE,"32 1/4",77,"244 lbs",28.9,7.37,"8 3/4",26.9,-,-,-
"Ross Dwelley",TE,-,77,"237 lbs",28.1,Undrafted,-,24.5,-,-,-
"Ross Travis",TE,-,79,"235 lbs",26.5,Undrafted,-,26.6,-,-,-
"Ryan Griffin",TE,"33 1/4",78,"247 lbs",28.5,6.33,-,29.6,4.43,99.1,10.09
"Ryan Izzo",TE,"31 3/8",77,"256 lbs",30.4,7.32,"9 1/4",23.6,4.43,98.2,9.89
"Ryan Malleck",TE,"32 1/2",76,"247 lbs",30.1,Undrafted,"9 3/8",26.1,4.33,99.6,10.05
"Ryan Nall",TE,"31 1/2",74,"234 lbs",30.0,Undrafted,"10 1/2",23.6,4.16,98.5,10.08
"Ryan O'Malley",TE,"31 1/4",78,"258 lbs",29.8,Undrafted,"9 1/4",26.1,4.53,99.7,9.82
"Ryan Smith",TE,-,75,"265 lbs",33.1,Undrafted,-,23.6,-,-,-
"Ryan Yurachek",TE,"30 1/2",72,"240 lbs",32.5,Undrafted,"9 5/8",23.0,4.44,94.1,9.69
"Scott Chandler",TE,"33 3/8",79,"272 lbs",30.6,4.30,"9 1/2",34.1,4.32,103.8,10.00
"Scott Orndoff",TE,"33 1/4",77,"253 lbs",30.0,Undrafted,"10    ",25.7,4.45,97.0,9.73
"Scott Simonson",TE,"32    ",77,"249 lbs",29.5,Undrafted,"9 1/4",27.3,4.62,95.6,9.71
"Sean Culkin",TE,"32 7/8",77,"255 lbs",30.2,Undrafted,"9 1/2",26.2,4.46,102.5,10.07
"Sean McGrath",TE,-,77,"247 lbs",29.3,Undrafted,-,31.7,4.16,101.8,10.22
"Seth Devalve",TE,"31 1/8",74,"244 lbs",31.3,4.40,"10    ",26.5,4.18,101.6,10.24
"Shane Smith",TE,"29 1/8",73,"244 lbs",32.2,Undrafted,"9    ",26.0,4.48,96.3,9.77
"Stephen Anderson",TE,"32    ",74,"230 lbs",29.5,Undrafted,"9 1/4",26.5,4.13,98.7,10.25
"Stephen Carlson",TE,"32    ",76,"240 lbs",29.2,Undrafted,"9 3/4",22.7,4.19,98.2,10.04
"Steven Scheu",TE,"32 5/8",76,"253 lbs",30.8,Undrafted,"10 1/2",27.1,4.35,100.1,9.98
"T.J. Hockenson",TE,"32 1/4",77,"251 lbs",29.8,1.08,"9 1/2",22.1,4.18,104.1,10.29
"Tanner Hudson",TE,-,77,"239 lbs",28.3,Undrafted,-,24.8,-,-,-
"Taylor McNamara",TE,"33 1/4",76,"252 lbs",30.7,Undrafted,"9 7/8",25.0,4.36,99.9,9.99
"Taylor Thompson",TE,"33 3/4",78,"268 lbs",31.0,5.10,"10 5/8",29.8,4.38,108.6,10.23
"Ted Bolser",TE,"31 7/8",77,"257 lbs",30.5,7.02,"9    ",28.8,4.50,99.8,9.88
"Temarrick Hemingway",TE,"34    ",77,"244 lbs",28.9,6.02,"10    ",26.0,4.31,99.9,10.09
"Thomas Duarte",TE,"33    ",74,"231 lbs",29.7,7.10,"10    ",24.4,4.24,96.7,10.06
"Tim Semisch",TE,"33 5/8",79,"256 lbs",28.8,Undrafted,"10    ",27.9,4.43,98.0,9.89
"Timothy Wright",TE,"34    ",76,"220 lbs",26.8,Undrafted,-,29.4,4.47,95.6,10.10
"Tom Crabtree",TE,-,76,"245 lbs",29.8,Undrafted,-,33.8,-,-,-
"Tommy Sweeney",TE,"32 3/4",76,"251 lbs",30.5,7.14,"9 3/4",24.1,4.31,98.9,9.95
"Tony Moeaki",TE,"33 1/4",75,"252 lbs",31.5,3.29,"10 1/8",32.2,4.42,100.9,10.03
"Travis Beckum",TE,"34    ",75,"234 lbs",29.2,3.36,"9    ",32.6,4.10,100.8,10.36
"Travis Kelce",TE,"33 3/4",77,"260 lbs",30.8,3.01,"9 5/8",29.9,4.42,105.6,10.16
"Trevon Wesco",TE,"34 3/4",75,"267 lbs",33.4,4.19,"9 1/2",-,4.38,101.5,9.90
"Trevor Wood",TE,"32    ",78,"257 lbs",29.7,Undrafted,"9 3/8",-,4.63,95.8,9.67
"Trey Burton",TE,"31    ",75,"235 lbs",29.4,Undrafted,"9 3/8",27.8,4.32,95.7,9.87
"Troy Fumagalli",TE,"34 1/8",77,"247 lbs",29.3,5.19,"9 3/8",24.2,-,-,-
"Troy Niklas",TE,"34 1/8",79,"270 lbs",30.4,2.20,"10    ",26.9,4.55,102.4,9.90
"Tyler Beck",TE,"31 3/4",75,"252 lbs",31.5,Undrafted,"9 5/8",27.9,4.43,99.8,9.91
"Tyler Conklin",TE,"33 1/4",75,"254 lbs",31.7,5.20,"9 3/4",24.0,4.23,102.7,10.19
"Tyler Eifert",TE,"33 1/8",78,"251 lbs",29.0,1.21,"9 1/8",28.9,4.32,103.9,10.26
"Tyler Higbee",TE,"33 1/4",78,"249 lbs",28.8,4.12,"10 1/4",26.6,-,-,-
"Tyler Kroft",TE,"33    ",77,"246 lbs",29.2,3.21,"9 5/8",26.8,4.50,99.7,10.00
"Tyler Petite",TE,"32    ",76,"234 lbs",28.5,Undrafted,"9 1/2",22.7,4.46,93.3,9.72
"Tyree Mayfield",TE,"31 1/4",75,"242 lbs",30.2,Undrafted,"10 1/8",-,4.33,98.4,9.98
"Tyrone Swoopes",TE,"33 1/4",76,"247 lbs",30.1,Undrafted,"9 5/8",24.7,4.39,101.0,10.14
"Vance McDonald",TE,"34 3/8",76,"267 lbs",32.5,2.23,"10 1/8",29.2,4.53,105.1,10.05
"Vernon Davis",TE,-,75,"250 lbs",31.2,1.06,-,35.5,4.17,108.9,10.51
"Vince Mayle",TE,"31 3/4",74,"224 lbs",28.8,4.24,"9    ",28.2,4.13,96.0,10.16
"Virgil Green",TE,"33 1/2",75,"249 lbs",31.1,7.01,"9 1/4",31.0,4.40,106.3,10.41
"Wes Saxton",TE,"32    ",75,"248 lbs",31.0,Undrafted,"9 5/8",26.0,4.49,100.7,10.00
"Will Dissly",TE,"32    ",76,"262 lbs",31.9,4.20,"10 1/4",23.1,4.40,98.4,9.76
"Will Tye",TE,"33    ",74,"262 lbs",33.6,Undrafted,"9 1/8",27.8,4.65,101.2,9.81
"Xavier Grimble",TE,"33 5/8",76,"257 lbs",31.3,Undrafted,"10 1/4",26.9,4.79,95.3,9.51
"Zach Conque",TE,"32 5/8",77,"232 lbs",27.5,Undrafted,"9 5/8",25.3,4.28,100.6,10.29
"Zach Ertz",TE,"31 3/4",77,"249 lbs",29.5,2.03,"9 3/4",28.8,4.47,100.3,10.06
"Zach Gentry",TE,"34 1/8",80,"265 lbs",29.1,5.03,"9 1/2",22.9,4.53,100.8,9.89
"Zach Miller",TE,-,77,"240 lbs",28.5,6.07,-,34.9,4.22,103.4,10.34
"Zach Miller",TE,-,76,"255 lbs",31.0,2.06,-,33.7,4.42,100.3,10.00
"Zach Sudfeld",TE,"33 1/2",78,"255 lbs",29.5,Undrafted,"10    ",30.3,4.41,102.6,10.21
