comparison,candidate,year,trial,roster_jaccard,roster_slots_changed,roster_changed,both_actual_cap_feasible,actual_points_effect,drafted_only_points_effect,actual_cap_feasible_effect,actual_cap_overage_effect,actual_salary_spend_effect,forecast_ev_effect,sampled_salary_spend_effect,decision_salary_spend_effect,point_salary_spend_effect,calibrated_point_salary_spend_effect,surcharge_spend_effect,actual_waiver_starts_effect,joint_feasible_actual_points_effect
blanket_285_minus_baseline_298,blanket_285,2022,68,0.8571428571428571,1,True,False,1.39990234375,-37.2000732421875,0.0,-26.0,-26.0,-10.6990966796875,-8.981719970703125,-8.981719970703125,-12.5717191696167,-12.5717191696167,0.0,4.0,
blanket_285_minus_baseline_298,blanket_285,2022,69,0.7333333333333333,2,True,True,94.89990234375,117.0,0.0,0.0,4.0,10.506103515625,-26.2578125,-26.2578125,-11.19512939453125,-11.19512939453125,0.0,3.0,94.89990234375
blanket_285_minus_baseline_298,blanket_285,2022,70,0.8571428571428571,1,True,True,-59.7998046875,-80.0999755859375,0.0,0.0,-12.0,-6.67578125,-10.578460693359375,-10.578460693359375,-9.082199096679688,-9.082199096679688,0.0,7.0,-59.7998046875
blanket_285_minus_baseline_298,blanket_285,2022,71,0.625,3,True,False,-75.300048828125,-143.7999267578125,0.0,0.0,0.0,-2.0146484375,-13.087554931640625,-13.087554931640625,-11.507795333862305,-11.507795333862305,0.0,6.0,
blanket_285_minus_baseline_298,blanket_285,2022,72,0.625,3,True,False,-41.2000732421875,-55.199951171875,0.0,4.0,4.0,-1.48779296875,-14.89752197265625,-14.89752197265625,-9.802581310272217,-9.802581310272217,0.0,3.0,
blanket_285_minus_baseline_298,blanket_285,2022,73,0.7333333333333333,2,True,False,15.5,18.599853515625,0.0,-27.0,-27.0,-10.17529296875,-13.181182861328125,-13.181182861328125,-17.823713302612305,-17.823713302612305,0.0,1.0,
blanket_285_minus_baseline_298,blanket_285,2022,74,0.7333333333333333,2,True,True,16.400146484375,61.60009765625,0.0,0.0,-9.0,-12.3380126953125,-14.198272705078125,-14.198272705078125,-6.492317199707031,-6.492317199707031,0.0,2.0,16.400146484375
blanket_285_minus_baseline_298,blanket_285,2022,75,0.8571428571428571,1,True,True,-71.0,-61.4998779296875,0.0,0.0,-11.0,-22.1361083984375,-13.461669921875,-13.461669921875,-11.614742279052734,-11.614742279052734,0.0,9.0,-71.0
blanket_285_minus_baseline_298,blanket_285,2022,76,0.625,3,True,False,-71.0999755859375,-45.599853515625,0.0,0.0,0.0,0.0650634765625,-16.115264892578125,-16.115264892578125,-12.748065948486328,-12.748065948486328,0.0,-7.0,
blanket_285_minus_baseline_298,blanket_285,2022,77,0.8571428571428571,1,True,False,-56.2999267578125,-86.5999755859375,0.0,-2.0,-2.0,-14.0247802734375,-12.766204833984375,-12.766204833984375,-9.104602813720703,-9.104602813720703,0.0,7.0,
blanket_285_minus_baseline_298,blanket_285,2022,78,0.7333333333333333,2,True,False,-114.0,-81.699951171875,1.0,-18.0,-19.0,-38.975341796875,-11.83355712890625,-11.83355712890625,-6.699790954589844,-6.699790954589844,0.0,-5.0,
blanket_285_minus_baseline_298,blanket_285,2022,79,0.5294117647058824,4,True,False,-267.0999755859375,-310.2999267578125,1.0,-11.0,-17.0,6.811767578125,-11.670440673828125,-11.670440673828125,-16.142656326293945,-16.142656326293945,0.0,16.0,
blanket_285_minus_baseline_298,blanket_285,2022,80,0.625,3,True,True,142.3399658203125,201.179931640625,0.0,0.0,0.0,3.6412353515625,-8.30755615234375,-8.30755615234375,-7.344332218170166,-7.344332218170166,0.0,-17.0,142.3399658203125
blanket_285_minus_baseline_298,blanket_285,2022,81,0.625,3,True,False,35.10009765625,-3.60009765625,-1.0,1.0,3.0,0.3094482421875,-26.7713623046875,-26.7713623046875,-31.685852766036987,-31.685852766036987,0.0,3.0,
blanket_285_minus_baseline_298,blanket_285,2022,82,0.625,3,True,False,-33.4000244140625,-12.0,0.0,-9.0,-9.0,-10.103271484375,-14.544921875,-14.544921875,-14.180246353149414,-14.180246353149414,0.0,4.0,
