projection_scope,pos,threshold,outcome,n,events,above_threshold_n,above_threshold_events,status,threshold_step_odds_ratio,threshold_step_or_ci95_low,threshold_step_or_ci95_high,threshold_step_p_value,threshold_step_risk_pp,further_year_odds_ratio,further_year_or_ci95_low,further_year_or_ci95_high,further_year_p_value,further_year_risk_pp
starter_or_elite,RB,7,next_no_useful,735,289,53,27,ok,0.9122164768957497,0.3752779878494782,2.217393312857614,0.8393338259732404,-2.1605308185293066,0.8699222102055328,0.49284041598044637,1.5355166241863252,0.6307468210144538,-3.311789545404093
starter_or_elite,WR,9,current_ppg_cliff_30,1005,178,63,17,ok,2.062211714914392,0.8646460837522761,4.91844841148737,0.1026674663171646,11.360138513444154,1.0101869677440931,0.6457754772841554,1.5802360815738636,0.9645870588178616,0.19145418217860263
starter_or_elite,WR,9,current_ppg_cliff_50,1005,49,63,5,ok,5.18312112481795,1.170948270482437,22.942725372031735,0.03016401579189702,8.630188489262194,0.7305852649831632,0.36423472341111673,1.465414456951877,0.37673006280015753,-1.9574777544338542
starter_or_elite,WR,9,extended_absence_8,1109,104,72,9,ok,1.18488662045383,0.4347401644133171,3.229414759101316,0.7401700153841124,1.9185533492269837,0.8445973895897678,0.5101363433156566,1.3983413647132652,0.5114525261149157,-1.658489620275886
starter_or_elite,WR,9,current_any_bust,1109,282,72,26,ok,1.7522415243751484,0.8169169426329351,3.7584608661056285,0.14969243704741245,11.52726805125617,0.9657926474583449,0.636214404023461,1.4661023579249277,0.8701759281286559,-0.7684531371663975
starter_or_elite,WR,9,next_no_appearance,1045,87,67,17,ok,1.0809168889797116,0.39496071496863827,2.9582216068612115,0.8795970144120917,1.1604519482627749,1.2073057555868567,0.7894684968062482,1.8462892355676517,0.3847090197395334,3.280509874923444
starter_or_elite,WR,9,next_ppg_cliff_30,1045,171,67,16,ok,1.4383632166259996,0.5094055677343212,4.061378347599284,0.4924749957945478,6.377068194923327,0.8560914860743692,0.6014648799402647,1.2185127627099528,0.3883024443153281,-2.60186563566268
starter_or_elite,WR,9,next_no_useful,1045,308,67,37,ok,1.3027450644556324,0.5583687248754761,3.0394694891659566,0.5406344604890956,6.1526647187133126,1.2383875690419397,0.798344349225121,1.9209803046093232,0.33980966212337127,4.764584447039395
starter_or_elite,TE,8,current_ppg_cliff_30,375,75,42,7,ok,0.38743881506878447,0.12818735348619262,1.1710112685809713,0.09290851074175469,-13.149419872353274,1.1684879565609918,0.8055695213835989,1.6949053661849236,0.4118769588186112,2.04608442953961
starter_or_elite,TE,8,current_ppg_cliff_50,375,14,42,0,ok,1.5656426536998613e-10,2.9400312838972036e-11,8.337451824101237e-10,2.8586058402688765e-154,-4.129128149102828,1.2882377474977957,1.0527822585635325,1.576353021319503,0.013913657779559163,3.0296256197476636e-10
