player,season,pos,next_pred_ppg,recorded_next_y_act,validation_rows,raw_year_exp,pred_ppg,input_current_y_act,input_next_y_act,true_current_games,true_current_ppg,true_current_points,next_season,true_next_games,true_next_ppg,true_next_points,true_no_appearance,true_no_useful,recorded_no_useful,recorded_minus_true_ppg,carried_forward_current_ppg,threshold,above_threshold,experience_cohort,exp_below,excess_exp,further_excess_exp
Alfred Blue,2018,RB,4.325527043425011,5.7266666666666675,2,4.0,4.267490140328835,6.193333333333333,6.193333333333333,15.0,6.193333333333333,92.9,2019,0.0,0.0,0.0,True,True,False,5.7266666666666675,True,7.0,False,threshold_or_below,4.0,0.0,0.0
Alfred Morris,2017,RB,4.541974860190264,4.71,2,5.0,4.419175435289609,6.008333333333334,5.0600000000000005,12.0,6.008333333333334,72.10000000000001,2018,10.0,5.0600000000000005,50.6,False,False,False,-0.35000000000000053,False,7.0,False,threshold_or_below,5.0,0.0,0.0
Allen Hurns,2017,WR,6.796309892808734,4.320833333333334,2,3.0,6.596789395732646,10.28888888888889,4.633333333333334,9.0,10.28888888888889,92.60000000000001,2018,12.0,4.633333333333334,55.6,False,True,True,-0.3125,False,9.0,False,threshold_or_below,3.0,0.0,0.0
Allen Hurns,2018,WR,7.6660441125754595,5.507142857142856,2,4.0,7.158916735643269,4.633333333333334,6.042857142857143,12.0,4.633333333333334,55.6,2019,14.0,6.042857142857143,84.6,False,False,False,-0.5357142857142865,False,9.0,False,threshold_or_below,4.0,0.0,0.0
Allen Lazard,2020,WR,8.209359767540604,8.192307692307692,3,1.0,8.103732477488368,10.455555555555556,9.076923076923077,9.0,10.455555555555556,94.10000000000001,2021,13.0,9.076923076923077,118.0,False,False,False,-0.884615384615385,False,9.0,False,threshold_or_below,1.0,0.0,0.0
Allen Lazard,2021,WR,6.134079676942909,9.907142857142858,2,2.0,6.200764011025875,9.076923076923077,11.47857142857143,13.0,9.076923076923077,118.0,2022,14.0,11.47857142857143,160.70000000000002,False,False,False,-1.5714285714285712,False,9.0,False,threshold_or_below,2.0,0.0,0.0
Allen Lazard,2022,WR,8.513206282619842,3.8153846153846156,2,3.0,8.808112790953757,11.47857142857143,4.6230769230769235,14.0,11.47857142857143,160.70000000000002,2023,13.0,4.6230769230769235,60.1,False,True,True,-0.8076923076923079,False,9.0,False,threshold_or_below,3.0,0.0,0.0
Allen Lazard,2023,WR,7.35862788265705,9.490909090909092,2,4.0,7.1762307059675585,4.6230769230769235,9.990909090909092,13.0,4.6230769230769235,60.1,2024,11.0,9.990909090909092,109.9,False,False,False,-0.5,False,9.0,False,threshold_or_below,4.0,0.0,0.0
Allen Lazard,2024,WR,4.294779188591818,2.333333333333333,2,5.0,3.8797399862088606,9.990909090909092,2.5555555555555554,11.0,9.990909090909092,109.9,2025,9.0,2.5555555555555554,23.0,False,True,True,-0.22222222222222232,False,9.0,False,threshold_or_below,5.0,0.0,0.0
Allen Robinson,2018,WR,11.087512112157615,14.756666666666668,2,4.0,10.653472942938482,11.86923076923077,15.906666666666668,13.0,11.86923076923077,154.3,2019,15.0,15.906666666666668,238.60000000000002,False,False,False,-1.1500000000000004,False,9.0,False,threshold_or_below,4.0,0.0,0.0
Allen Robinson,2019,WR,10.04937981002889,15.813333333333333,2,5.0,9.749968440266784,15.906666666666668,17.146666666666665,15.0,15.906666666666668,238.60000000000002,2020,15.0,17.146666666666665,257.2,False,False,False,-1.3333333333333321,False,9.0,False,threshold_or_below,5.0,0.0,0.0
Allen Robinson,2020,WR,13.142889842153046,6.572727272727272,2,6.0,12.292864694343393,17.146666666666665,7.345454545454545,15.0,17.146666666666665,257.2,2021,11.0,7.345454545454545,80.8,False,True,True,-0.7727272727272725,False,9.0,False,threshold_or_below,6.0,0.0,0.0
Allen Robinson,2021,WR,12.921959934965507,7.815,2,7.0,12.492447884573753,7.345454545454545,8.49,11.0,7.345454545454545,80.8,2022,10.0,8.49,84.9,False,True,True,-0.6749999999999998,False,9.0,False,threshold_or_below,7.0,0.0,0.0
Allen Robinson,2022,WR,9.268184998313199,3.8214285714285716,2,8.0,9.301236042332558,8.49,4.428571428571429,10.0,8.49,84.9,2023,14.0,4.428571428571429,62.0,False,True,True,-0.6071428571428572,False,9.0,False,threshold_or_below,8.0,0.0,0.0
Allen Robinson,2023,WR,5.129044288474027,0.875,2,9.0,5.290744146413847,4.428571428571429,1.0,14.0,4.428571428571429,62.0,2024,6.0,1.0,6.0,False,True,True,-0.125,False,9.0,False,threshold_or_below,9.0,0.0,0.0
Alshon Jeffery,2017,WR,11.09228577154351,13.05,2,5.0,10.990264625378881,12.566666666666666,14.008333333333333,15.0,12.566666666666666,188.5,2018,12.0,14.008333333333333,168.1,False,False,False,-0.9583333333333321,False,9.0,False,threshold_or_below,5.0,0.0,0.0
Alshon Jeffery,2018,WR,9.074365070535746,12.716666666666667,2,6.0,8.793372910504292,14.008333333333333,13.577777777777778,12.0,14.008333333333333,168.1,2019,9.0,13.577777777777778,122.2,False,False,False,-0.8611111111111107,False,9.0,False,threshold_or_below,6.0,0.0,0.0
Alshon Jeffery,2019,WR,9.55763563698196,3.2142857142857144,2,7.0,9.528161217111617,13.577777777777778,3.357142857142857,9.0,13.577777777777778,122.2,2020,7.0,3.357142857142857,23.5,False,True,True,-0.1428571428571428,False,9.0,False,threshold_or_below,7.0,0.0,0.0
