pos,raw_year_exp,outcome,events,n,rate,ci95_low,ci95_high,avg_pred_ppg,avg_raw_year_exp
TE,0.0,extended_absence_8,7,60,0.11666666666666667,0.05767647403450049,0.2217902059985814,5.659976513130645,0.0
TE,0.0,current_any_bust,16,60,0.26666666666666666,0.17132496487078852,0.3900895360189135,5.659976513130645,0.0
TE,0.0,next_no_appearance,4,54,0.07407407407407407,0.029181055323684174,0.17554357193420633,5.583951709002641,0.0
TE,0.0,next_ppg_cliff_30,5,54,0.09259259259259259,0.040200542070567336,0.1991012753065453,5.583951709002641,0.0
TE,0.0,next_no_useful,13,54,0.24074074074074073,0.14644154703850742,0.36947779129238245,5.583951709002641,0.0
TE,1.0,current_ppg_cliff_30,15,76,0.19736842105263158,0.12341879212336243,0.30044044917440715,6.703825284404375,1.0
TE,1.0,current_ppg_cliff_50,1,76,0.013157894736842105,0.002326420140567463,0.0708384462949749,6.703825284404375,1.0
TE,1.0,extended_absence_8,17,93,0.1827956989247312,0.1173779926949177,0.27337969821477404,6.359623656727957,1.0
TE,1.0,current_any_bust,32,93,0.34408602150537637,0.25544922494036565,0.4450926909304998,6.359623656727957,1.0
TE,1.0,next_no_appearance,5,89,0.056179775280898875,0.024232521079919085,0.1248558186298662,6.334230222685797,1.0
TE,1.0,next_ppg_cliff_30,14,89,0.15730337078651685,0.09607722097921384,0.24688972487264566,6.334230222685797,1.0
TE,1.0,next_no_useful,23,89,0.25842696629213485,0.1788141889199488,0.358031363073985,6.334230222685797,1.0
TE,2.0,current_ppg_cliff_30,17,86,0.19767441860465115,0.12724247137709888,0.2939610690763213,7.196713579894,2.0
TE,2.0,current_ppg_cliff_50,6,86,0.06976744186046512,0.03236497351786072,0.14396314174277575,7.196713579894,2.0
TE,2.0,extended_absence_8,21,107,0.19626168224299065,0.1321031003473682,0.2814744734155511,6.943569378474153,2.0
TE,2.0,current_any_bust,38,107,0.35514018691588783,0.27092775409315495,0.44939385800916043,6.943569378474153,2.0
TE,2.0,next_no_appearance,8,101,0.07920792079207921,0.04068048623667317,0.14857263466190143,6.968015845449907,2.0
TE,2.0,next_ppg_cliff_30,15,101,0.1485148514851485,0.092115201386504,0.23067269959936418,6.968015845449907,2.0
TE,2.0,next_no_useful,28,101,0.27722772277227725,0.19931690208194322,0.37146416192318454,6.968015845449907,2.0
TE,3.0,current_ppg_cliff_30,19,91,0.2087912087912088,0.13793973578452018,0.3032337577035695,6.864079264849318,3.0
TE,3.0,current_ppg_cliff_50,6,91,0.06593406593406594,0.030565869950639868,0.13646631845613524,6.864079264849318,3.0
TE,3.0,extended_absence_8,15,106,0.14150943396226415,0.0876695987836644,0.2204249664812261,6.893506678924138,3.0
TE,3.0,current_any_bust,34,106,0.32075471698113206,0.2395072198504602,0.41454006278198496,6.893506678924138,3.0
TE,3.0,next_no_appearance,5,99,0.050505050505050504,0.02176291355669111,0.11282853581788105,6.944154962506372,3.0
TE,3.0,next_ppg_cliff_30,20,99,0.20202020202020202,0.13475627715378938,0.29154591962261234,6.944154962506372,3.0
TE,3.0,next_no_useful,28,99,0.2828282828282828,0.20351825976230095,0.3783630022950766,6.944154962506372,3.0
