player,pos,template_pool_key,target_capped_year_exp,template_count,weighted_played_games,template_extended_absence_prob,raw_template_perf_cliff_prob,weighted_template_raw_exp,min_template_raw_exp,max_template_raw_exp
Puka Nacua,WR,2026|beta|final_ensemble|WR|puka_nacua,3.0,80,13.260450587929038,0.08513930486347718,0.10275608949487258,3.5020384840768535,1.0,12.0
Ja'Marr Chase,WR,2026|beta|final_ensemble|WR|ja_marr_chase,5.0,80,13.790027892927032,0.034657958600228855,0.08267971199063318,5.051365765831929,3.0,12.0
Jaxon Smith Njigba,WR,2026|beta|final_ensemble|WR|jaxon_smith_njigba,3.0,80,13.300283705341407,0.07826933142376621,0.08097371335982713,3.2754254011097568,1.0,12.0
Amon Ra St Brown,WR,2026|beta|final_ensemble|WR|amon_ra_st_brown,5.0,80,13.847084432466934,0.0223853147630533,0.11419736374730818,4.943896694497372,3.0,6.0
Drake London,WR,2026|beta|final_ensemble|WR|drake_london,4.0,80,13.647605564826435,0.038028955817988125,0.11104502951852155,4.0231983035095285,2.0,8.0
Justin Jefferson,WR,2026|beta|final_ensemble|WR|justin_jefferson,6.0,80,13.614216753825108,0.03581485483653828,0.10990758674882076,5.807535347923731,1.0,8.0
Ceedee Lamb,WR,2026|beta|final_ensemble|WR|ceedee_lamb,6.0,80,13.678282578711144,0.03203577151117754,0.07915817509029643,5.755910762388271,1.0,7.0
Rashee Rice,WR,2026|beta|final_ensemble|WR|rashee_rice,3.0,80,13.168522966474793,0.07755522300200761,0.12072162580197697,3.2827792609021933,2.0,12.0
Aj Brown,WR,2026|beta|final_ensemble|WR|aj_brown,7.0,80,13.641846046416264,0.03318492169796867,0.08448934330450007,6.774734584847376,1.0,12.0
George Pickens,WR,2026|beta|final_ensemble|WR|george_pickens,4.0,80,13.519769592794143,0.05976803107746252,0.14715473509740165,4.065500106469597,2.0,8.0
Nico Collins,WR,2026|beta|final_ensemble|WR|nico_collins,5.0,80,13.892025000008255,0.034969391455352335,0.15390377626181875,4.856829395097198,3.0,8.0
Chris Olave,WR,2026|beta|final_ensemble|WR|chris_olave,4.0,80,13.669240448535087,0.049650723903663915,0.10901965652233556,4.164798237937105,3.0,10.0
Garrett Wilson,WR,2026|beta|final_ensemble|WR|garrett_wilson,4.0,80,13.41179717925917,0.04592844623292173,0.15034876269693462,4.163436567699128,3.0,10.0
Zay Flowers,WR,2026|beta|final_ensemble|WR|zay_flowers,3.0,80,13.45535264759257,0.06715169822448164,0.08987443539146767,3.672223080183573,2.0,14.0
Devonta Smith,WR,2026|beta|final_ensemble|WR|devonta_smith,5.0,80,13.581175483105412,0.04367447111888356,0.17772161238536394,4.995894330121515,3.0,10.0
Ladd Mcconkey,WR,2026|beta|final_ensemble|WR|ladd_mcconkey,2.0,80,13.114798409606328,0.0932338705829807,0.13890013942952464,2.9282586414709617,1.0,14.0
