Full Name,Position,20-Yard Shuttle,Athleticism Score,SPARQ-x,3-Cone Drill,Bench Press,Speed Score,40-Yard Dash,Broad Jump,Vertical Jump,Burst Score,Agility Score,Hand Size,Age,Arm Length,Height (Inches),Weight,Draft Pick,BMI,Breakout Age,College YPC,Breakout Year,College Dominator Rating,College Target Share
Doug Martin,RB,4.16,108.7,136.2,6.79,28,104.1,4.55,120,36,121.2,10.95,9,29.6,30.5,69,223 lbs,1.31,32.9,21.6,4.9,2010,0.24,0.07
Dreamius Smith,RB,4.05,104.2,126.5,6.9,21,106.9,4.52,124,35,121.5,10.95,9.25,25.9,30.63,71,223 lbs,Undrafted,31.1,-,5.6,-,0.1,0.02
Dri Archer,RB,4.06,98.9,133,6.86,20,105.1,4.26,122,38,125.6,10.92,8.88,27,31,68,173 lbs,3.33,26.3,21.1,9,2012,0.32,0.19
DuJuan Harris,RB,4.35,105.6,131.2,7.15,27,100.5,4.45,120,38.5,125.5,11.5,-,29.9,-,67,197 lbs,Undrafted,30.9,20,5.7,2008,0.19,0.09
Duke Johnson,RB,4.16,101.3,112.3,6.88,18,97.4,4.54,121,33.5,117.5,11.04,9.25,24.9,30.38,69,207 lbs,3.13,30.6,19,6.8,2012,0.33,0.15
Dwayne Washington,RB,4.22,103.6,123,6.85,21,105.9,4.53,127,37.5,127.3,11.07,9.88,24.3,32.38,72,223 lbs,7.15,30.2,20.4,6,2014,0.22,0.08
Eddie Lacy,RB,4.44,105.6,113,7.33,-,109.7,4.62,115,32.5,112.8,11.77,9.5,28.2,31,71,250 lbs,2.29,34.9,22.3,6.5,2012,0.26,0.09
Edwin Baker,RB,4.31,99.9,111.9,7.27,20,95,4.53,111,35,115,11.58,8.13,27.2,29.63,68,200 lbs,7.43,30.4,19.3,4.8,2010,0.19,0.03
Elijah Hood,RB,4.65,98.7,96.2,7.12,18,101.8,4.62,113,31.5,110.1,11.77,9.38,22.3,30.38,72,232 lbs,7.24,31.5,19.4,6.3,2015,0.21,0.06
Elijah McGuire,RB,4.56,99.9,100,7.26,15,101.6,4.53,120,36,121.2,11.82,9,24.2,31,70,214 lbs,6.04,30.7,19.3,4.9,2013,0.32,0.15
Elijhaa Penny,RB,4.55,96.5,94.3,7.2,21,87.5,4.86,108,28.5,102.5,11.75,9.13,25,30.25,73,244 lbs,Undrafted,32.2,21.1,4.8,2014,0.31,0.08
Evan Royster,RB,4.18,96.4,112,7.07,20,90.7,4.65,113,34,114.3,11.25,9.25,30.1,30.63,72,212 lbs,6.12,28.7,20.8,5.7,2008,0.23,0.07
Ezekiel Elliott,RB,-,101.1,-,-,-,112.7,4.47,118,32.5,114.3,-,10.25,23,31.25,72,225 lbs,1.04,30.5,19.1,6.3,2014,0.38,0.09
Felix Jones,RB,4.19,101.7,109.1,6.9,13,107.7,4.47,124,34.5,120.7,11.09,9.13,31.3,31.13,70,215 lbs,1.22,30.8,19.3,8.7,2006,0.21,0.08
Fitzgerald Toussaint,RB,4.1,102,125.4,6.59,24,93.2,4.58,122,35.5,121.4,10.69,8.5,28.3,30.5,70,205 lbs,Undrafted,29.4,21.3,4.7,2011,0.22,0.05
Fozzy Whittaker,RB,-,-,-,-,23,95.1,4.54,-,-,-,-,9.25,29.5,30.75,69,202 lbs,Undrafted,29.8,-,5.8,-,0.14,0.1
Frank Gore,RB,4.11,100.9,108.1,6.91,15,94.4,4.63,109,34,112.3,11.02,-,35.2,-,69,217 lbs,3.01,32,20.3,4.8,2003,0.23,-
Fred Jackson,RB,-,-,-,-,-,-,-,-,-,-,-,-,37.5,-,73,215 lbs,Undrafted,28.4,20.5,5.7,2001,0.46,-
George Atkinson III,RB,4.46,99.6,114,7.07,19,108.2,4.48,121,38,125.1,11.53,9.38,25.7,33.25,73,218 lbs,Undrafted,28.8,-,6.6,-,0.1,0.02
George Farmer,RB,4.27,96.4,115,7,19,104.6,4.45,123,34.5,120.2,11.27,8.63,25.1,33,73,205 lbs,Undrafted,27,-,1,-,0.07,0.07
George Winn,RB,4.33,98.7,112.6,7.13,22,93,4.61,119,34.5,118.2,11.46,9.88,27.7,30.88,71,210 lbs,Undrafted,29.3,21.8,5.5,2012,0.26,0.05
Giovani Bernard,RB,4.12,102,115,6.91,19,95.9,4.53,122,33.5,118,11.03,9.38,26.7,28,68,202 lbs,2.05,30.7,19.8,6.7,2011,0.3,0.14
Glasco Martin,RB,4.36,96.9,-,6.84,17,92,4.66,-,-,-,11.2,9.5,27.3,32,72,217 lbs,Undrafted,29.4,21.4,5,2012,0.12,0.01
Glenn Winston,RB,4.38,96.2,110.3,7.3,22,87.2,4.74,122,36.5,123.1,11.68,10.38,29.3,31,74,220 lbs,Undrafted,28.2,24.4,4.1,2013,0.25,0.01
Gus Edwards,RB,4.24,99.8,111.1,7.22,17,105,4.57,123,34.5,120.2,11.46,9.13,23.3,32.63,73,229 lbs,Undrafted,30.2,22.4,4.3,2017,0.26,0.07
Gus Johnson,RB,4.13,102.7,126.7,7.09,26,88.1,4.7,120,36.5,122.1,11.22,9.13,25,29.63,70,215 lbs,Undrafted,30.8,19.1,6.6,2012,0.36,-
Henry Josey,RB,4.13,100.8,120.8,7.07,20,100.7,4.43,118,34.5,117.7,11.2,9.5,26.9,30.25,68,194 lbs,Undrafted,29.5,19.9,6.7,2011,0.22,0.03
I'Tavius Mathers,RB,4.3,97.1,111.7,7.17,21,98.1,4.51,122,32,115.4,11.47,9,24.7,31,71,203 lbs,Undrafted,28.3,22.8,6.7,2016,0.32,0.23
Isaiah Crowell,RB,4.56,102.8,115.5,7.28,23,102.7,4.57,117,38,123.1,11.84,9.25,25.6,31.75,71,224 lbs,Undrafted,31.2,18.7,6.6,2011,0.27,0.03
Isaiah Pead,RB,4.32,96.6,108.4,6.95,-,98.7,4.47,116,33,114.1,11.27,8.63,28.7,31,70,197 lbs,2.18,28.3,19.7,5.3,2009,0.31,0.13
Ito Smith,RB,4.56,100.2,111.5,7.22,22,97.5,4.5,119,36.5,121.6,11.78,9.38,22.9,28.88,69,200 lbs,4.26,29.5,20,5.6,2015,0.34,0.13
J.D. McKissic,RB,4.44,94.3,99.6,7,17,82.1,4.62,122,37,123.9,11.44,9.63,25,29,70,187 lbs,Undrafted,26.8,-,7,-,0.1,0.31
Jackie Battle,RB,4.11,107.3,132.6,6.54,19,120.2,4.47,131,41,135.2,10.65,9.63,34.9,32.63,74,240 lbs,Undrafted,30.8,22.9,5.1,2006,0.2,0.01
Jacobi Green,RB,-,-,-,7.02,-,89.2,4.68,118,33.5,116,-,9,-,29.5,69,214 lbs,Undrafted,31.6,-,6,2015,0.34,-
Jacquizz Rodgers,RB,4.18,96.5,112,7.07,20,90.7,4.65,113,34,114.3,11.25,9.25,30.7,30.63,72,212 lbs,6.12,28.7,20.8,5.7,2008,0.23,0.07
Jahad Thomas,RB,4.52,90.6,83.3,7.26,11,83.4,4.62,116,32,112.4,11.78,9,22.8,30.13,70,190 lbs,Undrafted,27.3,19.8,4.6,2015,0.35,0.1
Jahwan Edwards,RB,4.5,99,93.8,7.63,16,82.9,4.8,117,35.5,118.9,12.13,8.88,26,31.63,69,220 lbs,Undrafted,32.5,20.1,5.7,2012,0.25,0.09
Jalen Parmele,RB,4.29,103.3,115.6,6.96,19,111.7,4.47,125,34,120.3,11.25,8.88,32.6,32.25,71,223 lbs,6.1,31.1,20.7,5.5,2006,0.37,0.06
Jalen Richard,RB,4.95,97.4,82.6,7.36,13,88.5,4.65,114,35.5,117.4,12.31,8.88,24.8,29.13,68,207 lbs,Undrafted,31.5,18.9,5.9,2012,0.23,0.18
Jalen Simmons,RB,4.46,103.1,108.2,7.43,23,95.7,4.63,115,32,111.9,11.89,8.13,26.4,29.63,68,220 lbs,Undrafted,33.4,20.4,5.1,2012,0.22,-
Jalston Fowler,RB,4.4,103,107.2,7.56,23,85.3,4.94,114,33.5,114,11.96,10.5,28,32.75,71,254 lbs,4.09,35.4,-,6.3,-,0.05,0.04
Jamaal Charles,RB,4.22,96.7,111.5,6.8,-,108.1,4.38,122,30.5,112.9,11.02,9.13,31.6,31.63,71,199 lbs,3.1,27.8,18.7,6.3,2005,0.31,0.08
Jamaal Williams,RB,4.53,95.1,95.5,7.25,18,95.5,4.59,123,30,112.5,11.78,10,23.3,31.25,72,212 lbs,4.28,28.7,17.4,5.9,2012,0.36,0.07
Jamal Morrow,RB,-,-,-,-,17,-,-,-,-,-,-,8.88,-,29.38,68,195 lbs,Undrafted,29.6,-,6.1,2016,0.19,0.1
James Butler,RB,4.33,102,108.9,7.02,20,90.2,4.64,114,35.5,117.4,11.35,8.75,23.5,29.63,68,209 lbs,Undrafted,31.8,20.5,4.7,2015,0.24,0.11
James Conner,RB,4.31,96.9,105,7.41,20,99.7,4.65,113,29,105.8,11.72,9.88,23.3,31.25,73,233 lbs,3.41,30.7,18.3,5.5,2013,0.34,0.08
James Develin,RB,4.55,97.9,130.4,7.25,39,76.6,5.08,104,28.5,100.5,11.8,-,30,-,75,255 lbs,Undrafted,31.9,-,-,-,-,-
James Flanders,RB,4.28,92.6,86.8,7.18,14,77.1,4.76,115,28.5,106,11.46,8,24.1,29.5,69,198 lbs,Undrafted,29.2,22.2,6.3,2016,0.26,0.02
James Starks,RB,4.23,97.1,111.6,6.89,15,106.3,4.5,119,36,120.7,11.12,9.5,32.5,33.63,74,218 lbs,6.24,28,21.5,4.9,2007,0.19,0.15
James Summers,RB,-,-,-,-,11,-,-,119,33.5,116.5,-,9.38,24.2,30.88,73,218 lbs,Undrafted,28.8,21.2,5.4,2015,0.19,0.05
James White,RB,4.2,99.8,116.1,7.05,23,93.5,4.57,114,32,111.4,11.25,8.25,26.5,29.25,69,204 lbs,4.3,30.1,19.6,6.5,2011,0.13,0.12
James Wilder Jr.,RB,4.24,97,107.6,6.92,18,91.9,4.74,121,35,120,11.16,9.75,26.3,32,75,232 lbs,Undrafted,29,20.4,5.8,2012,0.12,0.06
Jamize Olawale,RB,-,-,-,-,-,108.2,4.58,-,-,-,-,-,29.3,-,73,238 lbs,Undrafted,31.4,-,-,-,-,0.03
Jarryd Hayne,RB,-,-,-,-,-,100,4.58,-,-,-,-,-,30.5,-,74,220 lbs,Undrafted,28.2,-,-,-,-,-
Jarveon Williams,RB,4.35,98.5,100.5,6.85,18,83.3,4.71,115,34.5,116.2,11.2,9.5,23.6,30.13,69,205 lbs,Undrafted,30.3,19.7,5.2,2014,0.23,0.08
Jarvion Franklin,RB,4.31,100.3,104.4,6.93,18,104,4.63,109,30,105.5,11.24,9.25,22.7,31.25,72,239 lbs,Undrafted,32.4,18.7,5.1,2014,0.32,0.07
Javorius Allen,RB,4.28,98.9,102.8,6.96,11,105,4.53,121,35.5,120.9,11.24,9.38,27,31.75,72,221 lbs,4.26,30,22,5.4,2013,0.28,0.12
Jay Ajayi,RB,4.1,101.9,123.5,7.1,19,101.3,4.57,121,39,126.8,11.2,10,25.1,32,72,221 lbs,5.13,30,20.2,5.3,2013,0.41,0.12
Jay Prosch,RB,4.4,103.2,120.1,7.33,27,102.8,4.72,109,32,108.9,11.73,10,26,30.13,73,255 lbs,6.35,33.6,-,3.2,-,0.03,0.03
Jaylen Samuels,RB,4.28,101.2,112.1,6.93,18,105.9,4.54,121,34.5,119.2,11.21,9.25,23.1,31.38,72,225 lbs,5.28,30.5,20.1,5.3,2015,0.24,0.2
Jeffery Wilson,RB,4.29,94.7,102.4,7.2,15,92.2,4.62,110,35,114.5,11.49,9.25,22.7,31.5,72,210 lbs,Undrafted,28.5,19.8,6,2015,0.35,0.07
Jeremy Hill,RB,4.59,95.7,96.8,7.64,20,98.8,4.66,113,29,105.8,12.23,10.38,25.8,32.63,73,233 lbs,2.23,30.7,19.9,6.9,2012,0.27,0.07
Jeremy Langford,RB,4.32,97.6,114.1,7.22,19,109,4.42,118,34.5,117.7,11.54,8.75,26.7,31.5,72,208 lbs,4.07,28.2,21.8,5.5,2013,0.28,0.08
Jeremy McNichols,RB,4.28,-,-,6.93,-,105.3,4.49,121,35.5,120.9,11.21,10,22.6,31.5,69,214 lbs,5.18,31.6,19.7,5.4,2015,0.41,0.11
Jeremy Stewart,RB,4.22,98.9,119.9,6.99,23,97.4,4.6,120,35,119.5,11.21,-,29.5,-,73,218 lbs,Undrafted,28.8,-,3.3,-,0.1,0.02
Jerick McKinnon,RB,4.12,110.6,155.7,6.83,32,110.5,4.41,132,40.5,134.9,10.95,8.63,26.3,30.25,69,209 lbs,3.32,30.9,-,-,-,-,-
Jerome Smith,RB,4.6,95.6,87.5,7.53,14,80.2,4.84,118,36,120.2,12.13,9.75,27.3,30.88,71,220 lbs,Undrafted,30.7,22.4,4.6,2013,0.27,0.03
Jewel Hampton,RB,4.3,102,119.4,6.98,26,93,4.61,115,33,113.6,11.28,9.63,28.6,31,69,210 lbs,Undrafted,31,21.7,5.1,2011,0.4,-
Jhurell Pressley,RB,4.15,101.5,129,7.01,25,105.1,4.45,117,33.5,115.5,11.16,9.25,26.2,32,70,206 lbs,Undrafted,29.6,22.3,7.8,2014,0.23,0.08
Joe Banyard,RB,4.29,101.3,123.9,7.06,25,99.1,4.51,120,35.5,120.4,11.35,-,29.7,-,70,205 lbs,Undrafted,29.4,21.8,6.6,2010,0.18,0.05
Joe Kerridge,RB,4.24,102.3,114,7.09,24,82.3,4.94,117,34.5,117.2,11.33,9.5,25.9,31.13,72,245 lbs,Undrafted,33.2,-,4.4,-,0.02,0.02
Joe Mixon,RB,4.27,101.1,120.4,7.1,21,111.2,4.5,118,35,118.5,11.37,10.25,22,30.13,73,228 lbs,2.16,30.1,19.1,6.8,2015,0.25,0.12
Joe Williams,RB,4.19,99.6,113.1,7.19,14,111,4.41,125,35,122,11.38,9.38,24.9,30.75,71,210 lbs,4.15,29.3,23,6.7,2016,0.34,0.05
Joel Bouagnon,RB,4.42,99.4,105.1,6.9,20,93.5,4.71,122,34,118.8,11.32,9.75,23.4,31.5,73,230 lbs,Undrafted,30.3,20.4,4.7,2015,0.24,0.06
Joey Demartino,RB,4.31,96.3,110,7.2,17,99.3,4.48,115,36,118.7,11.51,9.63,27.9,30.63,71,200 lbs,Undrafted,27.9,22.9,5.5,2013,0.25,0.06
Joey Iosefa,RB,4.33,100.5,118,7.24,30,77.2,5.02,110,31.5,108.6,11.57,10.25,27.1,31.75,72,245 lbs,7.14,33.2,21.2,4.5,2012,0.45,0.06
John Crockett,RB,4.25,99.8,110.7,7.15,15,95.3,4.62,125,40,130.5,11.4,9.75,26.5,31,72,217 lbs,Undrafted,29.4,20.6,6.1,2012,0.36,-
John Kelly,RB,4.51,98.8,94.3,7.13,15,89.3,4.69,120,35,119.5,11.64,9.38,21.8,31.38,70,216 lbs,6.02,31,20.9,4.1,2017,0.37,0.15
John Kuhn,RB,-,-,-,-,-,-,-,-,-,-,-,-,35.9,-,72,250 lbs,Undrafted,33.9,20,5.4,2002,0.31,-
John Spooney,RB,4.36,97.9,111.2,7.19,19,90.9,4.54,127,38.5,129,11.55,9.33,26.5,30.5,70,193 lbs,Undrafted,27.7,21.6,6.4,2013,0.31,-
Johnathan Franklin,RB,4.31,98.1,106.7,6.89,18,100.9,4.49,115,31.5,111.1,11.2,9.38,28.8,30,70,205 lbs,4.28,29.4,19.9,6.1,2009,0.29,0.08
Joique Bell,RB,4.17,100.6,109.1,6.84,16,91.7,4.68,120,36.5,122.1,11.01,9,32,31.38,71,220 lbs,Undrafted,30.7,20.1,6.4,2006,0.67,-
Jonas Gray,RB,-,-,-,-,20,100.5,4.6,-,-,-,-,10,28.1,31.38,70,225 lbs,Undrafted,32.3,21.2,6.9,2011,0.21,0.02
Jonathan Dwyer,RB,4.47,98,96.8,7.45,15,98.8,4.64,107,33,109.6,11.92,8.63,29,31,71,229 lbs,6.19,31.9,18.1,5.9,2007,0.29,0.06
Jonathan Grimes,RB,4.03,103.3,129.5,6.84,23,94.5,4.58,125,38,127.1,10.87,9.75,28.6,31.5,70,208 lbs,Undrafted,29.8,18.7,5,2008,0.51,-
Jonathan Stewart,RB,-,110.8,-,-,28,116.7,4.48,128,36.5,126.1,-,9.5,31.4,32.25,70,235 lbs,1.13,33.7,19.5,6.2,2006,0.27,0.08
Jonathan Williams,RB,4.29,-,-,6.97,16,91.7,4.68,-,-,-,11.26,10,24.5,31.63,71,220 lbs,5.18,30.7,19.6,5.6,2013,0.25,0.05
Jordan Canzeri,RB,4.17,98.5,113.9,6.81,20,89.4,4.54,112,34.5,114.7,10.98,8.5,25.5,29.13,68,190 lbs,Undrafted,28.9,22.5,5.4,2015,0.27,0.09
Jordan Chunn,RB,4.5,99.4,99.8,7.09,19,96.3,4.72,108,32,108.4,11.59,8.25,23.6,31.13,72,239 lbs,Undrafted,32.4,18.7,4.8,2013,0.27,0.08
Jordan Howard,RB,4.32,100.8,106.8,7.14,16,105.5,4.57,122,34,118.8,11.46,9,23.8,32.25,72,230 lbs,5.11,31.2,18.8,5.7,2013,0.29,0.04
Jordan Johnson,RB,4.59,96.6,99.8,7.44,19,91.4,4.7,121,35.5,120.9,12.03,9,24.2,30.38,73,223 lbs,Undrafted,29.4,21.3,5.2,2015,0.29,0.03
Jordan Lynch,RB,4.2,94.9,104.8,6.55,-,84.5,4.76,109,29.5,104.7,10.75,8.88,27.9,29.75,72,217 lbs,Undrafted,29.4,-,-,-,-,-
Jordan Todman,RB,4.18,103.4,134.4,7.24,25,105.7,4.4,126,38,127.6,11.42,9.25,28.5,32,69,198 lbs,6.18,29.2,19.5,5.1,2009,0.45,0.08
Jordan Wilkins,RB,4.27,-,111.2,-,18,98.2,4.58,117,36,119.7,-,9.38,24.1,30.13,73,216 lbs,5.32,28.5,23.1,6.5,2017,0.25,0.07
Joseph Randle,RB,4.23,97.4,107.4,7.01,-,91.4,4.63,123,35,121,11.24,8.75,26.6,31.75,72,210 lbs,5.18,28.5,19.7,5.5,2011,0.25,0.08
Joseph Yearby,RB,4.35,89.2,85.4,7.35,13,74.5,4.72,107,31,106.2,11.7,8.63,22.7,29.63,69,185 lbs,Undrafted,27.3,19.7,5.4,2015,0.18,0.07
Josh Adams,RB,-,-,-,6.78,18,98.5,4.56,122,34,118.8,-,9.25,21.8,33.75,74,213 lbs,Undrafted,27.3,19.9,6.9,2016,0.21,0.08
Josh Ferguson,RB,-,99.8,-,-,21,98.3,4.48,120,34.5,118.7,-,9,25.2,30,69,198 lbs,Undrafted,29.2,20.3,5.5,2013,0.26,0.14
Josh Harris,RB,4.21,98.2,132,7,28,96.7,4.51,119,35.5,119.9,11.21,9,27.5,30.5,72,200 lbs,Undrafted,27.1,19.6,5.1,2010,0.19,0.07
Josh Robinson,RB,4.58,101.1,98.6,7.24,21,88.9,4.7,113,32,110.9,11.82,10.13,26,29.75,68,217 lbs,6.29,33,22,6.3,2014,0.22,0.1
Josh Rounds,RB,4.34,90.6,85.9,7.2,12,86.9,4.66,117,28,106.1,11.54,9.5,24.8,31.13,72,205 lbs,Undrafted,27.8,22.9,6.1,2016,0.2,0.04
Justin Crawford,RB,4.44,92.9,87.9,7.08,11,85.9,4.64,122,33.5,118,11.52,9.13,23.5,32,71,199 lbs,Undrafted,27.8,22.5,5.5,2017,0.17,0.05
Justin Davis,RB,4.34,93.5,103.2,6.87,21,89,4.65,115,30,108.5,11.21,9.63,22.7,31,73,208 lbs,Undrafted,27.4,17.8,6.2,2013,0.15,0.05
Justin Forsett,RB,4.46,99.1,108.2,6.96,26,83.3,4.67,117,31,111.2,11.42,10.5,32.8,30.25,68,198 lbs,7.26,30.1,19.9,5.1,2005,0.34,0.08
Justin Jackson,RB,4.07,94.8,112.5,6.81,13,92.5,4.52,122,38.5,126.5,10.88,9.25,22.3,30.63,72,193 lbs,7.33,26.2,18.4,4.7,2014,0.31,0.13
Juwan Thompson,RB,4.52,103,110.7,6.97,22,100.1,4.62,119,35.5,119.9,11.49,9,26.2,30.75,71,228 lbs,Undrafted,31.8,19.3,5.4,2011,0.12,0.06
Ka'Deem Carey,RB,4.38,98,99.6,7.08,19,84.8,4.7,115,32.5,112.8,11.46,9.5,25.8,31.75,69,207 lbs,4.17,30.6,19.9,5.9,2012,0.37,0.09
Kahlil Bell,RB,4.2,96.7,101.9,6.87,15,86.8,4.74,114,34.5,115.7,11.07,10.25,31.7,31.5,72,219 lbs,Undrafted,29.7,20.7,5.6,2007,0.28,0.06
Kalen Ballage,RB,4.35,98.8,108.1,6.91,15,115.2,4.46,122,33.5,118,11.26,9.5,22.6,32.75,74,228 lbs,4.31,29.3,20.7,4.3,2016,0.21,0.12
Kamryn Pettway,RB,-,-,-,-,22,93.1,4.74,116,33.5,115,-,9.5,22.6,31.25,72,235 lbs,Undrafted,31.9,20.7,4.9,2016,0.16,0.01
Kapri Bibbs,RB,4.61,97,100,7.5,24,89.1,4.67,106,29,102.3,12.11,8.5,25.6,31.38,69,212 lbs,Undrafted,31.3,20.7,6.2,2013,0.39,0.02
Kareem Hunt,RB,4.53,100.4,102.7,7.22,18,94.8,4.62,119,36.5,121.6,11.75,9.63,23,31.38,70,216 lbs,3.22,31,18.1,6.8,2013,0.29,0.1
Karlos Williams,RB,4.46,99.3,105.9,7.16,16,114.2,4.48,117,33.5,115.5,11.62,9.75,25.3,33,73,230 lbs,5.19,30.3,-,5.9,-,0.19,0.08
Keith Ford,RB,4.41,103.9,112.3,7.09,19,98.7,4.59,126,39,129.3,11.5,9.5,24.3,31.88,70,219 lbs,Undrafted,31.4,20.4,3.9,2014,0.19,0.05
Keith Marshall,RB,4.25,-,130.9,6.98,25,126.9,4.31,-,30.5,-,11.23,9.38,24.5,31.63,71,219 lbs,7.21,30.5,-,5.8,-,0.12,0.05
Keith Smith,RB,4.53,98.9,102.4,6.87,26,75,5.03,113,31,109.2,11.4,10,26.3,31.75,72,240 lbs,Undrafted,32.5,-,-,-,-,-
Kelvin Taylor,RB,4.2,96.2,102.1,7.23,15,92.5,4.6,113,32,110.9,11.43,8.25,24.9,29.25,70,207 lbs,6.36,29.7,19.9,4,2013,0.29,0.06
Kendall Gaskins,RB,4.49,99.1,103,7.32,20,93.5,4.75,118,34,116.8,11.81,8.75,27.8,32,73,238 lbs,Undrafted,31.4,19.8,4.1,2010,0.28,-
Kendall Hunter,RB,4.21,104.8,122.2,6.74,24,94.5,4.53,122,35,120.5,10.95,8.63,29.9,31,67,199 lbs,4.18,31.2,20,6.1,2008,0.26,0.07
Kenjon Barner,RB,4.14,100.1,117.9,6.87,20,93.9,4.52,122,35.5,121.4,11.01,9.13,29.3,29.63,69,196 lbs,6.14,28.9,22.4,6.4,2011,0.28,0.08
Kenneth Dixon,RB,4.28,102.3,112.6,6.97,18,97.7,4.58,121,37.5,124.3,11.25,9.5,24.5,31.38,70,215 lbs,4.36,30.8,18.6,5.4,2012,0.42,0.1
Kenneth Farrow,RB,4.14,105.9,124.8,6.95,23,94.1,4.64,122,38,125.6,11.09,9.5,25.4,31.38,69,218 lbs,Undrafted,32.2,20.5,5.4,2013,0.23,0.07
Kenny Hilliard,RB,4.4,93.4,93.2,7.17,16,83.1,4.83,111,27,101.4,11.57,9.25,26.8,31.25,72,226 lbs,7.18,30.6,-,5,-,0.12,0.02
Kenyan Drake,RB,4.21,95.4,104.4,7.04,10,107.1,4.45,123,34.5,120.2,11.25,9.75,24.5,31.75,73,210 lbs,3.1,27.7,19.6,6.4,2013,0.13,0.09
Kerryon Johnson,RB,4.29,98.5,105,7.07,11,97.7,4.57,126,40,131,11.36,9.75,21.1,32.5,72,213 lbs,2.11,28.9,19.2,5.1,2016,0.36,0.08
Kerwynn Williams,RB,4.15,99.7,113.5,7.15,17,96.8,4.48,118,35,118.5,11.3,9.13,27.2,29.75,68,195 lbs,7.24,29.6,21.2,6.9,2012,0.36,0.14
Keshawn Hill,RB,4.41,99,124.2,7.12,30,85.6,4.65,115,35.5,117.9,11.53,8.75,25.4,29.63,70,200 lbs,Undrafted,28.7,21.5,5.9,2014,0.26,-
Khalfani Muhammad,RB,4.27,96.4,104.8,6.74,11,90.7,4.4,126,38.5,128.5,11.01,9.25,23.9,28.88,67,170 lbs,7.23,26.6,-,5.7,-,0.13,0.05
Khalid Hill,RB,-,-,-,-,21,-,-,-,-,-,-,9.38,23.2,32.5,73,263 lbs,Undrafted,34.7,-,1.8,-,0.09,0.05
Khiry Robinson,RB,4.37,99,108.2,6.88,22,85.7,4.76,121,35,120,11.25,9.25,28.6,31.25,72,220 lbs,Undrafted,29.8,21.7,6.6,2011,0.29,-
Knile Davis,RB,4.38,109,141.2,6.96,31,124.5,4.37,121,33.5,117.5,11.34,8.63,26.8,29.75,70,227 lbs,3.34,32.6,18.9,5.4,2010,0.17,0.05
Knowshon Moreno,RB,4.27,100,120.8,6.84,25,92.2,4.62,115,35.5,117.9,11.11,10,31.1,30.75,71,210 lbs,1.12,29.3,20.1,5.6,2007,0.35,0.1
Kory Sheets,RB,4.39,97.5,106.8,7.18,15,101.7,4.47,121,37,123.4,11.57,9.5,33.4,31.25,71,203 lbs,Undrafted,28.3,20.4,4.8,2005,0.4,0.1
Kyle Hicks,RB,4.2,97.1,102.6,7.12,13,87.9,4.63,122,36.5,123.1,11.32,9.5,22.6,32.5,70,202 lbs,Undrafted,29,20.6,5.1,2016,0.21,0.12
Kyle Juszczyk,RB,4.19,105.2,124.2,6.93,24,96.6,4.76,121,37,123.4,11.12,9.13,27.3,31.25,73,248 lbs,4.33,32.7,21.4,-,2012,0.15,-
La'Rod Stephens-Howling,RB,-,-,-,-,18,93.5,4.46,-,-,-,-,-,31.3,-,67,185 lbs,7.31,29,19.4,4.6,2006,0.18,0.07
LaDainian Tomlinson,RB,4.21,105.4,123.5,6.84,18,108.7,4.46,124,40.5,130.9,11.05,-,39.1,-,70,215 lbs,1.05,30.8,20.2,5.8,1999,0.46,0.08
LaDarius Perkins,RB,4.3,103.6,120.3,7.08,23,98.6,4.46,124,35.5,122.4,11.38,9.63,27.9,31,67,195 lbs,Undrafted,30.5,22,5,2012,0.18,0.08
LaMichael James,RB,4.12,100.7,113,6.88,15,99.5,4.45,123,35,121,11,9,28.8,30.25,68,195 lbs,2.29,29.6,19.9,6.6,2009,0.28,0.07
Lache Seastrunk,RB,4.36,101.8,111,6.81,15,97.2,4.51,134,41.5,137.6,11.17,9.25,27,30,70,201 lbs,6.1,28.8,22.1,7.5,2013,0.16,0.03
Lamar Miller,RB,4.08,102.4,126.2,6.94,-,116.3,4.4,120,33,116.1,11.02,9.25,27.3,31.38,71,218 lbs,4.02,30.4,20.4,5.6,2011,0.28,0.07
Lance Dunbar,RB,4.07,97.8,105.4,6.87,11,91.5,4.52,120,35,119.5,10.94,-,28.5,-,68,191 lbs,Undrafted,29,19.6,4.9,2009,0.41,0.12
Larry Rose,RB,4.44,97.2,101.9,7.1,15,96.2,4.47,122,35.5,121.4,11.54,8.5,22.9,30.75,69,192 lbs,Undrafted,28.4,19,6,2014,0.33,0.12
Latavius Murray,RB,4.36,101,123,6.81,22,115.8,4.43,124,36,123.2,11.17,9.13,28.6,33.25,74,223 lbs,6.13,28.6,20.6,5.6,2010,0.27,0.09
Lavon Coleman,RB,4.35,99.1,111,7.16,23,92,4.65,120,33,116.1,11.51,9.25,-,30.5,71,215 lbs,Undrafted,30,-,4.9,-,0.13,0.04
Lawrence Thomas,RB,4.45,103.7,113.4,7.55,24,93,4.98,113,35,116,12,10.13,25.3,33.25,75,286 lbs,Undrafted,35.7,-,-,-,-,-
Le'Veon Bell,RB,4.24,100.9,118.8,6.75,24,102.7,4.6,118,31.5,112.6,10.99,9.63,26.5,31.5,73,230 lbs,2.16,30.3,18.5,4.7,2010,0.45,0.11
