lock_version,model_run_id,candidate_id,forecast_origin,model_name,parameters_json,selection_end_season,selection_metric,selection_score,selection_seasons,selection_start_season
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,5,2025,participation_lightgbm,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 5.0}",2024,brier,0.12662200606091412,12,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,5,2026,participation_lightgbm,"{""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 15, ""reg_lambda"": 5.0}",2025,brier,0.1276967185224791,13,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,3,2017,conditional_ppg_log_adp_lasso,"{""alpha"": 0.03}",2016,rmse,3.367534229665379,4,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,3,2018,conditional_ppg_log_adp_lasso,"{""alpha"": 0.03}",2017,rmse,3.272899563452603,5,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,3,2019,conditional_ppg_log_adp_lasso,"{""alpha"": 0.03}",2018,rmse,3.2223001085172616,6,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,3,2020,conditional_ppg_log_adp_lasso,"{""alpha"": 0.03}",2019,rmse,3.190333707302672,7,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,3,2021,conditional_ppg_log_adp_lasso,"{""alpha"": 0.03}",2020,rmse,3.182498478679749,8,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,3,2022,conditional_ppg_log_adp_lasso,"{""alpha"": 0.03}",2021,rmse,3.1422235314835927,9,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,3,2023,conditional_ppg_log_adp_lasso,"{""alpha"": 0.03}",2022,rmse,3.085207617495721,10,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,2,2024,conditional_ppg_log_adp_lasso,"{""alpha"": 0.01}",2023,rmse,3.0748824725193415,11,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,2,2025,conditional_ppg_log_adp_lasso,"{""alpha"": 0.01}",2024,rmse,3.066218703541455,12,2013
v2_conditional_ppg_2026_candidate_beta_v1,v2_locked_final_beta_20260826T202939Z_2f0e82ba,2,2026,conditional_ppg_log_adp_lasso,"{""alpha"": 0.01}",2025,rmse,3.0432084298926303,13,2013
