year,policy,player,selections
2024,current_bench025,Chuba Hubbard,9
2024,current_bench025,Kendre Miller,9
2024,current_bench025,Austin Ekeler,7
2024,current_bench025,Ezekiel Elliott,7
2024,current_bench025,Ladd Mcconkey,5
2024,current_bench025,Xavier Legette,5
2024,current_bench025,Zach Charbonnet,5
2024,current_bench025,Adonai Mitchell,4
2024,current_bench025,Christian Watson,4
2024,current_bench025,Jerome Ford,4
2024,current_bench025,Rico Dowdle,4
2024,current_bench025,Jaylen Warren,3
2024,current_bench025,Jk Dobbins,3
2024,current_bench025,Ja'Lynn Polk,2
2024,current_bench025,Marshawn Lloyd,2
2024,current_bench025,Blake Corum,1
2024,current_bench025,Gus Edwards,1
2024,current_bench025,Zack Moss,1
2024,current_bench025,Zamir White,1
2024,keeper_0p01,Kendre Miller,221
2024,keeper_0p01,Chase Brown,155
2024,keeper_0p01,Xavier Worthy,105
2024,keeper_0p01,Rome Odunze,15
2024,keeper_0p01,Bucky Irving,4
2024,keeper_10p0,Kendre Miller,220
2024,keeper_10p0,Chase Brown,139
2024,keeper_10p0,Xavier Worthy,137
2024,keeper_10p0,Rome Odunze,3
2024,keeper_10p0,Bucky Irving,1
2024,keeper_1p0,Kendre Miller,220
2024,keeper_1p0,Chase Brown,154
2024,keeper_1p0,Xavier Worthy,117
2024,keeper_1p0,Rome Odunze,8
2024,keeper_1p0,Bucky Irving,1
2024,keeper_engine0,Chase Brown,86
2024,keeper_engine0,Rome Odunze,58
2024,keeper_engine0,Jordan Addison,55
2024,keeper_engine0,Xavier Worthy,54
2024,keeper_engine0,Brian Thomas,37
2024,keeper_engine0,Jaxon Smith Njigba,24
2024,keeper_engine0,Keon Coleman,20
2024,keeper_engine0,Tyjae Spears,16
2024,keeper_engine0,Jayden Reed,14
2024,keeper_engine0,Kendre Miller,14
2024,keeper_engine0,Nick Chubb,14
2024,keeper_engine0,Brian Robinson,12
2024,keeper_engine0,Jonathon Brooks,10
2024,keeper_engine0,Chuba Hubbard,9
2024,keeper_engine0,Trey Benson,9
2024,keeper_engine0,Austin Ekeler,8
2024,keeper_engine0,Rico Dowdle,8
2024,keeper_engine0,Christian Watson,7
2024,keeper_engine0,Ezekiel Elliott,7
2024,keeper_engine0,Zach Charbonnet,5
2024,keeper_engine0,Adonai Mitchell,4
2024,keeper_engine0,Jerome Ford,4
2024,keeper_engine0,Bucky Irving,3
2024,keeper_engine0,Ladd Mcconkey,3
2024,keeper_engine0,Marshawn Lloyd,3
2024,keeper_engine0,Xavier Legette,3
2024,keeper_engine0,Blake Corum,2
2024,keeper_engine0,Jk Dobbins,2
2024,keeper_engine0,Aaron Jones,1
2024,keeper_engine0,Christian Kirk,1
2024,keeper_engine0,Gus Edwards,1
2024,keeper_engine0,Ja'Lynn Polk,1
2024,keeper_engine0,Javonte Williams,1
2024,keeper_engine0,Joshua Palmer,1
2024,keeper_engine0,Roschon Johnson,1
2024,keeper_engine0,Tyrone Tracy,1
2024,keeper_engine0,Zack Moss,1
2024,keeper_tiebreak,Kendre Miller,220
2024,keeper_tiebreak,Chase Brown,159
2024,keeper_tiebreak,Xavier Worthy,103
2024,keeper_tiebreak,Rome Odunze,15
2024,keeper_tiebreak,Bucky Irving,3
2025,bench0,Jacory Croskey Merritt,88
2025,bench0,Matthew Golden,82
2025,bench0,Jaydon Blue,38
2025,bench0,Ricky Pearsall,38
2025,bench0,Cam Skattebo,37
2025,bench0,Tyrone Tracy,30
2025,bench0,Rome Odunze,29
