variant,slice_type,slice_value,n_rows,base_rmse,variant_rmse,delta_variant_minus_base
feature_adp_best_teammate_gap,season,2022,426,2.912494131926024,2.8988768433200467,-0.013617288605977329
feature_adp_best_teammate_gap,season,2023,415,3.2511888372285926,3.249121459907471,-0.0020673773211217217
feature_adp_best_teammate_gap,season,2024,408,3.1651174604479353,3.1751944515473074,0.010076991099372101
feature_adp_best_teammate_gap,season,2025,416,2.956132799760705,2.9479017669479175,-0.008231032812787475
feature_adp_best_teammate_gap,history_depth,other_no_history,27,2.683229893444979,2.667617829921043,-0.015612063523936293
feature_adp_best_teammate_gap,history_depth,rookie,532,3.470501815737368,3.479102337917536,0.008600522180167935
feature_adp_best_teammate_gap,history_depth,second_year,568,3.258843318101201,3.2499946714892918,-0.008848646611909317
feature_adp_best_teammate_gap,history_depth,veteran_with_history,2574,3.052062651537221,3.0491183402316913,-0.0029443113055296344
feature_adp_best_teammate_gap,provider_depth,one,119,2.8932176885280905,2.8906189796136745,-0.002598708914415937
feature_adp_best_teammate_gap,provider_depth,three_plus,3047,3.2706088405011813,3.2679947478017652,-0.0026140926994160374
feature_adp_best_teammate_gap,provider_depth,two,535,2.3765663836214497,2.3783193794768756,0.0017529958554258762
feature_adp_best_teammate_gap,provider_era,2017_2019,1199,3.227010522814891,3.231672066984338,0.004661544169447307
feature_adp_best_teammate_gap,provider_era,2020_2022,1263,3.0844595250220497,3.0734297001145396,-0.011029824907510033
feature_adp_best_teammate_gap,provider_era,2023_plus,1239,3.126249113214146,3.1262845543475555,3.5441133409364056e-05
feature_adp_mean_teammate_gap,position,QB,380,3.5542832746901687,3.5695924331207887,0.015309158430619974
feature_adp_mean_teammate_gap,position,RB,1016,3.5341047348252035,3.5170410448471934,-0.01706368997801011
feature_adp_mean_teammate_gap,position,TE,802,2.316663889789086,2.3189003911356596,0.002236501346573494
feature_adp_mean_teammate_gap,position,WR,1503,3.1397589461348736,3.1378663383622705,-0.0018926077726031387
feature_adp_mean_teammate_gap,season,2017,407,3.0876701968213047,3.080364826204503,-0.0073053706168018095
feature_adp_mean_teammate_gap,season,2018,405,3.3567385278368245,3.3469197750730926,-0.009818752763731897
feature_adp_mean_teammate_gap,season,2019,387,3.231893696301381,3.228427133153543,-0.0034665631478381087
feature_adp_mean_teammate_gap,season,2020,420,3.21654205391773,3.2158109401463912,-0.0007311137713386096
feature_adp_mean_teammate_gap,season,2021,417,3.119162868251882,3.1285153468131055,0.009352478561223343
feature_adp_mean_teammate_gap,season,2022,426,2.912494131926024,2.887845131765971,-0.024649000160053003
feature_adp_mean_teammate_gap,season,2023,415,3.2511888372285926,3.237482478708144,-0.013706358520448436
feature_adp_mean_teammate_gap,season,2024,408,3.1651174604479353,3.170932595125852,0.0058151346779165
feature_adp_mean_teammate_gap,season,2025,416,2.956132799760705,2.9657581391350134,0.009625339374308428
feature_adp_mean_teammate_gap,history_depth,other_no_history,27,2.683229893444979,2.667967089282644,-0.015262804162335275
feature_adp_mean_teammate_gap,history_depth,rookie,532,3.470501815737368,3.4622813043637373,-0.008220511373630668
feature_adp_mean_teammate_gap,history_depth,second_year,568,3.258843318101201,3.2354189750507882,-0.023424343050412855
feature_adp_mean_teammate_gap,history_depth,veteran_with_history,2574,3.052062651537221,3.0538815785765694,0.0018189270393484946
feature_adp_mean_teammate_gap,provider_depth,one,119,2.8932176885280905,2.885981910675598,-0.007235777852492298
feature_adp_mean_teammate_gap,provider_depth,three_plus,3047,3.2706088405011813,3.2669865862546232,-0.003622254246558043
feature_adp_mean_teammate_gap,provider_depth,two,535,2.3765663836214497,2.3713652950658184,-0.005201088555631284
feature_adp_mean_teammate_gap,provider_era,2017_2019,1199,3.227010522814891,3.2200682663478406,-0.006942256467050267
feature_adp_mean_teammate_gap,provider_era,2020_2022,1263,3.0844595250220497,3.079512169608695,-0.0049473554133547815
feature_adp_mean_teammate_gap,provider_era,2023_plus,1239,3.126249113214146,3.1264861527231407,0.00023703950899456316
feature_adp_room_strength_share,position,QB,380,3.5542832746901687,3.556319462225186,0.00203618753501722
feature_adp_room_strength_share,position,RB,1016,3.5341047348252035,3.5293638572897925,-0.00474087753541097
feature_adp_room_strength_share,position,TE,802,2.316663889789086,2.316400556697545,-0.0002633330915409182
feature_adp_room_strength_share,position,WR,1503,3.1397589461348736,3.1474177290590406,0.007658782924166996
feature_adp_room_strength_share,season,2017,407,3.0876701968213047,3.0952040375770253,0.007533840755720611
