"Full Name",Position,"Catch Radius","3-Cone Drill","Bench Press","Height-adjusted Speed Score",SPARQ-x,"40-Yard Dash","Broad Jump","Burst Score","Agility Score","Vertical Jump"
"Dontez Ford",WR,9.99,6.98,16,93.9,100.4,4.61,127,124.7,11.45,36.0
"Dontre Wilson",WR,9.82,6.96,-,76.4,-,4.63,112,112.1,11.06,33.0
"Dontrelle Inman",WR,10.24,6.53,11,100.9,104.0,4.52,118,116.8,10.66,34.0
"Dorial Green-Beckham",WR,10.09,6.89,13,123.0,102.2,4.49,119,116.5,11.34,33.5
"Dorian Baker",WR,9.84,7.06,23,92.0,104.4,4.67,112,110.4,11.56,32.0
"Dorren Miller",WR,-,-,17,101.7,-,4.44,-,-,-,39.0
"Doug Baldwin",WR,9.91,6.56,6,86.1,94.5,4.53,123,124.4,10.82,37.0
"Douglas McNeil",WR,-,-,-,86.4,-,4.67,-,-,-,-
"Dredrick Snelson",WR,9.59,7.27,10,82.1,84.5,4.60,116,109.9,11.66,30.5
"Dres Anderson",WR,10.13,6.83,13,85.0,102.6,4.58,121,124.3,11.05,37.5
"Drew Davis",WR,9.93,7.03,15,91.6,102.6,4.60,120,116.1,11.24,33.0
"Drew Morgan",WR,9.76,6.85,10,74.2,87.8,4.74,112,107.0,10.97,30.0
"Duke Williams",WR,9.63,7.43,14,93.5,88.9,4.72,121,111.5,11.90,30.0
"Duron Carter",WR,9.97,6.90,-,92.9,-,4.63,124,118.1,11.37,33.0
"Durron Neal",WR,9.64,7.22,13,87.2,90.8,4.59,121,115.8,11.68,32.5
"Dwayne Bowe",WR,10.05,6.81,-,108.3,-,4.51,125,118.6,11.16,33.0
"Dwayne Harris",WR,9.91,6.77,10,89.5,98.0,4.55,111,113.3,10.98,34.0
"Dwayne Stanford",WR,-,-,17,-,-,-,-,-,-,-
"Dylan Cantrell",WR,10.36,6.56,18,104.6,123.7,4.59,130,130.5,10.59,38.5
"Earl Bennett",WR,9.86,7.15,15,98.5,106.5,4.48,110,110.3,11.37,32.5
"Ed Eagan",WR,9.78,7.09,6,85.2,94.6,4.56,118,116.8,11.22,34.0
"Ed Williams",WR,-,-,-,87.9,-,4.58,121,120.0,-,35.0
"Eddie Royal",WR,9.91,7.07,24,95.5,123.3,4.39,124,123.2,11.41,36.0
"Eli Rogers",WR,9.91,6.71,19,75.8,109.9,4.62,117,117.2,10.81,34.5
"Emanuel Hall",WR,-,-,15,109.7,-,4.39,141,144.5,-,43.5
"Emmanuel Butler",WR,10.08,7.41,11,105.9,104.7,4.53,115,118.7,11.63,36.0
"Emmanuel Sanders",WR,10.30,6.64,12,92.6,114.2,4.41,126,130.2,10.74,39.5
"Emory Blake",WR,10.01,7.00,-,81.3,-,4.67,120,122.1,11.26,36.5
"Equanimeous St. Brown",WR,-,-,20,112.1,-,4.48,-,-,-,34.5
"Eric Decker",WR,-,-,15,98.7,-,4.60,-,-,-,-
"Eric Page",WR,9.73,6.95,15,77.1,103.6,4.60,112,107.0,10.93,30.0
"Eric Rogers",WR,10.22,7.08,9,100.7,102.3,4.55,121,123.4,11.28,37.0
"Eric Ward",WR,9.72,7.04,13,82.2,87.9,4.71,110,110.3,11.48,32.5
"Eric Weems",WR,-,-,-,84.5,-,4.57,-,-,-,-
"Evan Spencer",WR,10.00,7.03,20,101.4,114.9,4.50,124,121.5,11.32,35.0
"Ezell Ruffin",WR,9.41,7.35,17,89.6,87.1,4.68,110,101.8,11.93,27.5
"Felton Davis",WR,-,-,21,-,-,-,-,-,-,-
"Floyd Allen",WR,9.80,7.19,15,89.7,104.1,4.57,117,117.2,11.44,34.5
"Francis Owusu",WR,10.27,7.07,12,119.5,119.2,4.40,127,129.8,11.20,39.0
"Frank Stephens",WR,9.99,6.82,13,83.3,108.8,4.47,122,122.2,10.90,36.0
"Frankie Hammond",WR,10.06,6.57,14,90.5,102.4,4.49,121,116.6,10.78,33.0
"Fred Brown",WR,10.12,6.82,13,94.5,102.7,4.53,118,121.9,11.14,37.0
"Fred Ross",WR,9.99,6.99,10,103.0,100.5,4.51,113,116.0,11.27,35.0
"Freddie Martino",WR,9.92,6.59,13,90.5,96.3,4.54,115,114.5,10.95,33.5
"Gabe Marks",WR,9.70,7.01,11,85.0,92.2,4.56,117,108.7,11.21,29.5
"Garrett Johnson",WR,10.06,6.81,12,75.6,101.4,4.55,118,127.0,11.07,40.0
"Garry Brown",WR,10.06,6.81,21,88.4,112.0,4.63,126,125.9,11.15,37.0
"Gary Jennings",WR,10.11,7.32,20,112.1,126.5,4.42,127,126.4,11.47,37.0
"Gavin Lutman",WR,10.25,6.65,9,97.6,100.3,4.55,126,125.1,10.85,36.5
"Gehrig Dieter",WR,9.83,7.20,15,93.4,98.2,4.61,119,114.8,11.53,32.5
"Geraldo Boldewijn",WR,10.15,6.88,18,97.8,110.1,4.61,127,121.3,11.07,34.0
"Geremy Davis",WR,10.18,6.86,23,104.9,125.9,4.52,124,124.1,11.04,36.5
"Geronimo Allison",WR,9.89,7.40,-,84.7,-,4.67,127,119.6,11.68,33.0
"Gerrard Sheppard",WR,10.00,7.22,15,111.1,107.4,4.43,121,120.9,11.63,35.5
"Golden Tate",WR,9.83,7.12,17,101.5,111.0,4.42,120,119.5,11.46,35.0
"Grant Perry",WR,-,-,-,71.3,-,4.74,-,-,-,-
"Greg Dortch",WR,9.69,6.89,-,68.5,-,4.64,109,110.6,10.97,33.0
"Greg Hardin",WR,9.82,6.82,12,80.7,91.9,4.49,116,115.0,11.23,33.5
"Greg Jenkins",WR,9.71,7.16,15,80.4,92.2,4.77,113,107.5,11.41,30.0
"Greg Jennings",WR,10.07,6.69,-,100.9,-,4.42,117,120.6,10.87,36.5
"Greg Little",WR,10.36,6.80,27,105.9,137.9,4.53,129,133.4,11.01,40.5
"Greg Salas",WR,10.22,6.65,15,97.1,113.5,4.56,120,122.9,10.75,37.0
"Greg Ward",WR,9.85,6.90,10,78.1,89.7,4.64,115,116.2,11.21,34.5
"Griff Whalen",WR,10.14,6.89,15,82.6,109.0,4.60,110,117.1,10.95,36.5
"Hakeem Butler",WR,10.35,7.09,18,118.9,120.7,4.48,128,125.2,11.25,36.0
"Hakeem Nicks",WR,10.01,6.96,-,90.5,-,4.63,121,121.9,11.39,36.0
"Harry Douglas",WR,9.94,6.57,11,85.6,97.8,4.51,120,112.7,10.69,31.0
"Hunter Renfrow",WR,9.86,6.80,7,79.5,92.4,4.59,116,117.5,10.99,35.0
"Hunter Sharp",WR,9.82,7.12,12,87.5,98.1,4.58,116,113.3,11.31,32.5
"Isaac Whitney",WR,10.06,7.04,12,111.4,103.3,4.39,126,124.2,11.49,36.0
"Isaac Zico",WR,9.71,7.06,8,82.9,78.6,4.67,126,122.5,11.76,35.0
"Isaiah Burse",WR,9.88,6.74,16,81.9,110.0,4.58,115,110.2,10.68,31.0
"Isaiah Ford",WR,10.01,6.94,14,85.9,97.8,4.61,127,123.9,11.28,35.5
"Isaiah McKenzie",WR,9.90,6.64,11,83.2,105.4,4.42,123,122.7,10.79,36.0
"Ishmael Adams",WR,9.47,7.03,15,80.9,93.3,4.55,111,101.4,11.28,27.0
"Ishmael Hyman",WR,9.72,7.14,-,94.3,-,4.50,116,109.0,11.51,30.0
"Ishmael Zamora",WR,10.26,7.10,13,106.0,112.1,4.58,125,126.3,11.21,37.5
"Issac Blakeney",WR,10.28,6.89,17,101.1,108.3,4.67,129,126.6,11.15,36.5
"J'Mon Moore",WR,10.39,6.56,21,95.0,124.7,4.60,120,124.6,10.60,38.0
"J.J. Arcega-Whiteside",WR,9.94,7.23,-,107.4,-,4.54,118,116.8,11.64,34.0
"J.J. Jones",WR,10.02,6.83,5,89.5,98.4,4.40,128,128.6,11.09,38.0
"J.J. Nelson",WR,10.04,7.02,-,89.2,-,4.28,127,124.7,11.17,36.0
"Ja-Mes Logan",WR,10.00,6.76,14,77.1,100.5,4.74,115,111.9,10.76,32.0
"Jace Billingsley",WR,9.83,6.88,24,84.9,125.5,4.53,116,118.4,10.98,35.5
"Jace Davis",WR,9.97,6.88,18,100.5,111.5,4.50,118,118.5,11.16,35.0
"Jacoby Ford",WR,9.79,7.00,15,104.2,107.9,4.28,115,114.5,11.44,33.5
"Jacoby Jones",WR,10.05,7.03,-,110.2,-,4.50,129,122.3,11.34,34.0
"Jaelen Strong",WR,10.30,7.33,17,113.2,125.5,4.44,123,132.9,11.52,42.0
"Jake Kumerow",WR,10.01,6.90,15,99.7,99.7,4.58,113,109.2,11.16,31.0
"Jake Lampman",WR,10.08,6.76,27,93.2,129.1,4.52,122,127.3,11.11,39.0
"Jake Wieneke",WR,9.97,7.24,9,96.7,90.4,4.67,114,114.8,11.61,34.0
"Jakeem Grant",WR,9.87,7.03,15,78.2,114.9,4.42,117,120.6,11.06,36.5
"Jakobi Meyers",WR,10.08,7.07,13,89.6,102.2,4.63,118,121.9,11.30,37.0
"Jaleel Scott",WR,10.08,7.20,16,106.4,103.4,4.56,124,120.7,11.60,34.5
"Jalen Greene",WR,9.74,7.09,16,83.7,90.9,4.72,122,115.4,11.55,32.0
"Jalen Guyton",WR,10.23,6.90,13,109.1,117.0,4.44,125,126.3,10.99,37.5
"Jalen Hurd",WR,-,-,23,98.5,120.7,4.69,124,122.4,-,35.5
"Jalen Robinette",WR,9.91,6.77,13,99.2,91.6,4.62,120,113.6,11.23,31.5
"Jalen Saunders",WR,9.66,7.29,-,80.3,-,4.44,122,118.8,11.71,34.0
"Jalen Tolliver",WR,10.11,6.99,20,94.3,116.1,4.61,122,124.8,11.22,37.5
"Jalen Williams",WR,-,-,14,94.6,-,4.60,119,128.4,-,40.5
"Jalin Marshall",WR,10.05,6.80,16,85.7,111.6,4.60,125,126.3,10.93,37.5
"Jamaal Jones",WR,9.75,7.31,18,80.4,97.9,4.64,122,122.2,11.81,36.0
"Jamal Custis",WR,10.05,7.23,-,108.7,-,4.50,124,120.7,11.69,34.5
"Jamal Robinson",WR,10.06,6.91,24,98.9,119.3,4.55,118,121.1,11.30,36.5
"Jamari Staples",WR,-,-,-,96.8,-,4.51,130,126.2,-,36.0
"Jamarius Way",WR,9.73,7.44,16,96.1,91.1,4.63,119,114.8,12.10,32.5
"James Gardner",WR,9.84,7.02,12,82.1,82.9,4.92,122,118.0,11.55,33.5
"James Jones",WR,10.00,7.06,22,97.9,118.6,4.54,119,117.3,11.26,34.0
"James Quick",WR,9.71,7.00,11,81.9,85.9,4.60,115,110.2,11.39,31.0
"James Washington",WR,9.88,7.11,14,97.5,103.0,4.54,120,118.7,11.43,34.5
"James Wright",WR,10.10,7.18,16,98.0,110.6,4.50,128,129.5,11.50,38.5
"Jamire Jordan",WR,10.34,6.48,4,79.5,104.1,4.48,128,135.4,10.54,42.0
"Jamison Crowder",WR,9.77,7.17,10,79.7,95.3,4.56,115,120.4,11.49,37.0
"Janarion Grant",WR,9.58,7.07,22,74.1,101.6,4.61,122,115.4,11.50,32.0
"Jared Abbrederis",WR,9.96,6.80,4,95.1,93.1,4.50,117,110.4,10.88,30.5
"Jared Dangerfield",WR,9.89,6.92,23,82.8,107.8,4.79,119,116.5,11.24,33.5
"Jared Green",WR,9.98,6.96,3,94.2,86.8,4.47,129,124.0,11.38,35.0
"Jarius Wright",WR,10.14,6.93,11,90.4,113.2,4.42,120,124.6,10.96,38.0
"Jaron Brown",WR,10.19,6.82,17,106.0,119.4,4.45,124,121.8,10.89,35.2
"Jarrett Boykin",WR,9.98,7.12,11,87.6,95.1,4.74,123,122.7,11.40,36.0
"Jarvis Landry",WR,9.39,7.56,12,85.3,79.9,4.65,110,103.5,12.15,28.5
"Jason Avant",WR,10.04,7.02,20,87.9,114.5,4.67,118,121.9,11.21,37.0
"Jason Moore",WR,10.30,6.62,17,97.0,115.9,4.62,124,124.9,10.69,37.0
"Jasper Collins",WR,9.91,6.85,12,85.6,105.2,4.53,121,119.2,10.92,34.5
"Javon Wims",WR,-,7.00,-,104.9,-,4.53,113,113.5,-,33.5
"Javone Lawson",WR,9.60,7.38,7,73.1,74.9,4.73,113,110.9,11.85,32.0
"Javontee Herndon",WR,9.92,6.87,23,100.5,117.7,4.49,118,116.8,11.21,34.0
"Jawill Davis",WR,9.97,7.52,14,99.2,102.9,4.43,123,127.8,12.08,39.0
"Jaxon Shipley",WR,9.97,6.82,10,89.4,93.1,4.57,128,124.4,11.19,35.5
"Jay Lee",WR,10.08,6.75,13,99.1,100.2,4.58,119,116.5,11.03,33.5
"Jaydon Mickens",WR,10.01,6.62,15,75.2,111.6,4.59,121,120.9,10.55,35.5
"Jaylen Smith",WR,9.90,7.55,14,111.2,102.2,4.47,-,-,12.03,34.5
"Jayson Stanley",WR,10.03,7.14,12,102.4,100.7,4.51,126,122.5,11.48,35.0
"Jaz Reynolds",WR,-,-,9,88.1,-,4.62,125,122.0,-,35.0
"Jazz Ferguson",WR,10.16,7.25,8,122.1,96.5,4.45,123,124.4,11.84,37.0
"Jeff Badet",WR,9.95,7.24,16,95.3,107.7,4.39,131,132.7,11.78,39.5
"Jeff Fuller",WR,9.97,7.09,17,105.5,101.2,4.58,120,114.4,11.51,32.0
"Jeff Janis",WR,10.43,6.64,20,117.9,134.1,4.42,123,125.3,10.62,37.5
"Jeff Maehl",WR,10.18,6.42,8,83.4,100.8,4.62,115,114.5,10.36,33.5
"Jeff Smith",WR,10.17,6.87,15,99.6,118.1,4.41,127,125.6,10.93,36.5
"Jehu Chesson",WR,10.31,6.70,10,105.0,108.0,4.47,132,126.4,10.79,35.5
"Jeremy Butler",WR,9.99,7.19,15,97.1,104.9,4.65,114,118.2,11.47,36.0
"Jeremy Gallon",WR,9.87,7.07,15,83.6,110.2,4.49,130,132.2,11.33,39.5
"Jeremy Johnson",WR,9.75,6.91,15,73.0,87.6,4.69,114,112.3,11.35,32.5
"Jeremy Kerley",WR,9.93,6.70,16,78.0,110.6,4.62,120,118.7,10.69,34.5
"Jeremy Maclin",WR,10.01,7.06,-,97.0,-,4.48,120,120.4,11.31,35.5
"Jeremy Ross",WR,10.09,7.20,22,101.4,127.2,4.49,115,123.8,11.39,39.0
"Jermaine Jones",WR,9.95,7.47,12,97.2,96.7,4.50,125,119.5,11.82,33.5
"Jermaine Kearse",WR,10.01,7.03,14,95.0,106.8,4.58,119,117.3,11.15,34.0
"Jerome Lane",WR,10.09,6.87,16,102.3,112.9,4.60,125,122.0,10.99,35.0
"Jerome Simpson",WR,10.14,7.08,-,96.0,-,4.47,136,131.8,11.60,37.5
"Jerrel Jernigan",WR,9.97,7.07,11,90.3,104.4,4.46,117,122.3,11.32,37.5
"Jerricho Cotchery",WR,10.16,6.95,-,94.3,-,4.54,121,121.7,10.87,36.0
"Jesper Horsted",WR,-,-,14,88.3,-,4.82,118,113.4,-,32.0
"Jester Weah",WR,10.05,7.24,15,110.5,110.2,4.43,129,129.1,11.65,38.0
"Jhajuan Seales",WR,10.12,7.27,20,95.3,117.6,4.56,123,132.1,11.63,41.5
"Jimmie Hunt",WR,9.69,7.00,12,94.7,90.3,4.60,116,111.6,11.46,31.5
"JoJo Natson",WR,9.72,7.20,16,72.7,102.7,4.51,122,118.8,11.39,34.0
"Joe Horn",WR,9.70,7.19,10,76.5,88.1,4.57,120,119.5,11.60,35.0
"Joe Morgan",WR,10.02,6.91,10,93.4,100.8,4.44,123,121.9,11.16,35.5
"Joe Parker",WR,9.83,6.77,14,69.3,98.9,4.72,117,119.7,10.92,36.0
"Joe Walker",WR,9.86,7.09,16,89.4,98.7,4.66,119,116.5,11.43,33.5
"John Brown",WR,10.05,6.91,8,96.8,108.3,4.34,119,121.6,11.03,36.5
"John Harris",WR,9.97,6.82,19,95.4,102.5,4.64,118,116.0,11.27,33.5
"John Ross",WR,-,-,-,115.3,-,4.22,133,129.4,-,37.0
"John Ursua",WR,9.93,6.77,17,74.5,107.5,4.61,120,122.9,10.93,37.0
"Johnathan Lloyd",WR,-,-,-,69.1,-,4.76,-,-,-,-
"Johnnie Dixon",WR,9.82,7.38,16,101.9,110.3,4.41,120,123.8,11.81,37.5
"Johnny Holton",WR,9.96,6.90,8,89.4,91.9,4.54,123,115.1,11.10,31.5
"Jon Baldwin",WR,10.40,7.07,20,116.8,125.0,4.50,129,135.9,11.41,42.0
"Jon Duhart",WR,9.90,6.90,21,94.0,105.9,4.64,128,120.1,11.30,33.0
"Jonah Trinnaman",WR,10.08,6.96,14,102.8,114.4,4.35,144,140.9,11.32,40.5
"Jonathan Krause",WR,10.14,6.94,13,95.3,116.0,4.42,128,127.8,10.98,37.5
"Jon’Vea Johnson",WR,10.06,6.68,12,93.3,105.7,4.45,128,123.5,10.85,35.0
"Jordan Harris",WR,9.81,7.29,7,89.3,86.1,4.70,119,118.2,11.68,34.5
"Jordan Lasley",WR,9.99,7.27,8,99.0,99.5,4.50,112,114.7,11.46,34.5
"Jordan Leslie",WR,10.20,6.87,18,100.5,118.9,4.51,130,126.2,10.95,36.0
"Jordan Matthews",WR,10.22,6.95,21,110.1,123.3,4.46,120,120.4,11.13,35.5
"Jordan Norwood",WR,10.04,6.80,-,76.9,-,4.62,119,124.1,11.00,38.0
"Jordan Payton",WR,9.99,7.08,-,103.7,-,4.47,121,119.2,11.41,34.5
"Jordan Smallwood",WR,10.15,6.95,21,100.9,120.8,4.58,130,131.3,11.21,39.0
"Jordan Taylor",WR,10.21,6.69,9,98.7,91.9,4.57,122,123.1,11.15,36.5
"Jordan Veasy",WR,9.93,7.07,16,103.2,101.1,4.58,123,120.2,11.54,34.5
"Jordan Williams-Lambert",WR,9.93,7.03,21,96.4,105.6,4.69,116,115.0,11.48,33.5
"Jordy Nelson",WR,9.92,7.03,-,107.8,-,4.51,123,114.2,11.38,31.0
"Josh Barge",WR,9.54,7.38,8,67.2,74.3,4.82,113,110.9,11.82,32.0
"Josh Bellamy",WR,10.25,6.67,19,97.4,119.2,4.52,124,124.1,10.80,36.5
"Josh Boyce",WR,10.08,6.68,22,108.9,129.1,4.38,131,123.3,10.78,34.0
"Josh Cooper",WR,9.65,7.12,11,75.7,84.7,4.70,115,111.1,11.47,31.5
"Josh Crockett",WR,10.05,7.47,9,86.2,92.4,4.64,137,138.2,11.97,41.0
"Josh Doctson",WR,10.38,6.84,14,99.9,118.8,4.50,131,135.2,10.92,41.0
"Josh Gordon",WR,-,-,13,106.0,-,4.57,121,121.7,-,36.0
"Josh Harper",WR,9.75,7.15,13,82.4,90.0,4.64,108,108.4,11.51,32.0
"Josh Huff",WR,10.00,6.96,14,96.9,111.0,4.51,116,118.4,11.08,35.5
"Josh Lenz",WR,10.20,6.59,21,99.0,124.5,4.44,121,126.0,10.79,38.5
"Josh Magee",WR,9.69,6.91,14,83.1,96.9,4.54,107,107.1,11.17,31.5
"Josh Malone",WR,9.96,7.05,10,114.0,102.4,4.40,121,112.4,11.24,30.5
"Josh Morgan",WR,10.23,7.06,14,105.9,113.2,4.51,120,128.9,11.35,40.5
"Josh Reynolds",WR,10.23,6.83,-,95.5,-,4.52,124,124.9,10.96,37.0
"Josh Stewart",WR,9.72,7.10,11,70.6,87.9,4.69,117,118.0,11.43,35.0
"Jovon Durante",WR,9.76,7.00,-,72.6,-,4.55,120,113.6,11.31,31.5
"JuJu Smith-Schuster",WR,10.01,6.88,15,101.2,106.6,4.54,120,115.3,11.07,32.5
"JuWann Winfree",WR,9.92,6.97,16,95.5,104.4,4.58,125,118.6,11.22,33.0
"Julian Edelman",WR,10.12,6.62,14,87.1,116.2,4.57,123,123.6,10.54,36.5
"Julian Talley",WR,10.36,6.65,14,84.3,112.6,4.62,128,134.6,10.74,41.5
"Julian Williams",WR,9.74,6.95,15,71.5,96.0,4.77,119,117.3,11.16,34.0
"Julio Jones",WR,10.41,6.66,17,121.7,122.1,4.39,135,133.0,10.91,38.5
"Junior Hemingway",WR,10.26,6.59,21,105.4,129.2,4.53,124,122.4,10.57,35.5
"Juron Criner",WR,10.05,7.15,17,93.0,107.8,4.68,117,123.1,11.45,38.0
"Justice Liggins",WR,10.20,6.86,16,95.3,111.7,4.56,127,129.8,11.11,39.0
"Justin Blackmon",WR,9.95,7.13,14,98.3,101.2,4.53,123,121.0,11.51,35.0
"Justin Brown",WR,9.85,6.96,8,91.9,85.8,4.65,117,110.4,11.27,30.5
"Justin Hardy",WR,10.06,6.63,11,85.2,100.7,4.56,114,119.1,10.84,36.5
"Justin Hobbs",WR,9.94,6.79,15,93.5,93.7,4.70,129,118.1,11.19,31.5
"Justin Hunter",WR,10.29,7.19,-,105.0,-,4.44,136,135.2,11.52,39.5
"Justin Thomas",WR,9.74,7.19,-,93.8,-,4.40,115,111.9,11.33,32.0
"Justin Veltung",WR,10.19,6.79,8,85.6,105.6,4.51,129,135.1,10.94,41.5
"Justin Watson",WR,10.29,7.08,20,107.2,123.3,4.49,124,130.0,11.34,40.0
"Juston Christian",WR,9.82,7.32,16,91.0,100.0,4.54,126,124.2,11.82,36.0
"K.J. Brent",WR,10.02,6.89,6,93.5,89.1,4.59,118,116.8,11.19,34.0
"K.J. Maye",WR,9.57,7.18,10,75.5,86.8,4.66,113,112.6,11.53,33.0
"KD Cannon",WR,9.94,7.10,13,93.6,104.0,4.41,119,122.4,11.47,37.0
"Ka'Raun White",WR,9.81,7.16,24,95.4,110.1,4.52,118,116.0,11.73,33.5
"Kabion Ento",WR,10.18,7.00,11,84.3,98.9,4.59,133,137.1,11.39,41.5
"Kadron Boone",WR,9.67,7.37,9,91.2,84.5,4.52,118,115.1,11.97,33.0
"Kaelin Clay",WR,9.81,6.97,10,90.4,96.1,4.51,113,112.6,11.23,33.0
"Kahlil Lewis",WR,9.88,7.06,15,76.4,98.9,4.69,125,123.7,11.32,36.0
"Kain Colter",WR,9.83,6.68,11,74.0,91.1,4.76,113,113.5,10.88,33.5
"Kalif Raymond",WR,-,-,-,82.5,-,4.39,-,-,-,-
"Kamar Aiken",WR,9.94,7.19,17,106.3,103.2,4.50,128,126.1,11.82,36.5
"Karel Hamilton",WR,9.74,7.10,12,83.2,84.4,4.66,115,115.3,11.72,34.0
"Kasen Williams",WR,9.87,7.10,17,93.7,100.4,4.65,119,119.0,11.56,35.0
"Kashif Moore",WR,10.31,6.82,19,89.2,131.0,4.42,126,137.0,10.87,43.5
"Kassim Osgood",WR,9.88,7.19,-,96.7,-,4.68,122,113.7,11.63,31.0
"KeVonn Mabon",WR,9.81,6.91,14,86.2,92.5,4.71,122,114.6,11.24,31.5
"Kealoha Pilares",WR,10.17,6.85,19,96.6,126.1,4.47,125,131.4,10.96,40.5
"KeeSean Johnson",WR,9.75,7.28,14,89.8,96.2,4.60,117,109.5,11.51,30.0
"Keelan Cole",WR,-,6.69,-,83.7,-,4.64,-,-,11.09,-
"Keelan Doss",WR,-,-,8,94.7,-,4.61,124,123.2,-,36.0
"Keenan Allen",WR,-,-,-,84.9,-,4.71,-,-,-,-
"Keenan Reynolds",WR,-,-,15,78.8,-,4.62,120,122.9,-,37.0
"Keeon Johnson",WR,10.09,7.00,25,93.9,118.7,4.62,132,126.4,11.34,35.5
"Keevan Lucas",WR,9.64,7.23,11,84.7,89.5,4.55,119,114.8,11.66,32.5
"Keith Kirkwood",WR,10.07,6.94,-,109.3,-,4.50,123,121.0,11.37,35.0
"Keith Mumphery",WR,9.84,7.07,15,99.8,104.6,4.54,121,115.8,11.32,32.5
"Keke Coutee",WR,9.91,6.93,14,90.1,108.6,4.43,113,115.2,11.08,34.5
"Kelvin Benjamin",WR,10.01,7.33,13,112.1,98.2,4.61,119,114.8,11.72,32.5
"Kelvin Harmon",WR,9.89,7.15,18,100.1,105.4,4.60,117,113.8,11.47,32.5
"Kelvin McKnight",WR,9.88,6.98,8,71.8,90.9,4.68,120,127.2,11.32,39.5
"Kenbrell Thompkins",WR,10.01,6.88,8,89.4,94.0,4.54,121,117.5,11.09,33.5
"Kendall Wright",WR,10.00,6.93,4,83.2,94.8,4.61,121,126.0,11.11,38.5
"Kendrick Bourne",WR,10.02,6.73,9,84.6,92.4,4.68,125,120.3,10.94,34.0
"Kenneth Walker",WR,9.65,7.28,19,99.3,110.3,4.35,115,111.9,11.68,32.0
"Kenny Bell",WR,10.40,6.66,7,103.2,110.8,4.42,129,135.1,10.81,41.5
"Kenny Britt",WR,-,-,23,102.2,-,4.56,124,124.9,-,37.0
"Kenny Cook",WR,10.02,7.13,12,97.1,93.2,4.65,120,116.1,11.50,33.0
"Kenny Golladay",WR,10.19,7.00,18,110.7,118.2,4.50,120,120.4,11.15,35.5
"Kenny Lawler",WR,9.91,7.13,-,88.8,-,4.64,111,108.2,11.33,31.0
"Kenny Shaw",WR,9.90,6.62,8,74.9,86.2,4.61,120,116.1,10.89,33.0
"Kenny Stills",WR,9.95,7.13,16,104.0,115.5,4.38,124,119.0,11.26,33.5
"Keon Hatcher",WR,-,-,16,91.5,-,4.64,-,-,-,-
"Kermit Whitfield",WR,9.62,7.17,8,88.7,91.4,4.44,120,115.3,11.54,32.5
"Kerry Taylor",WR,10.14,6.63,16,91.2,111.9,4.56,120,124.6,10.81,38.0
"Keshawn Martin",WR,10.20,6.85,13,93.8,114.0,4.45,122,128.2,10.98,39.5
"Kevin Cone",WR,9.96,7.53,20,110.7,117.2,4.46,121,121.7,11.88,36.0
"Kevin Dorsey",WR,10.16,7.08,17,99.2,112.7,4.52,130,129.6,11.36,38.0
"Kevin Elliott",WR,10.14,6.72,-,99.5,-,4.58,122,118.8,10.92,34.0
"Kevin Norwood",WR,10.05,6.68,8,99.7,93.6,4.48,121,116.6,11.00,33.0
"Kevin Ogletree",WR,10.19,6.67,-,100.1,-,4.46,122,122.2,10.75,36.0
"Kevin Smith",WR,9.96,6.96,10,92.4,96.4,4.59,126,125.9,11.32,37.0
"Kevin White",WR,10.29,6.92,23,123.4,135.1,4.35,123,123.6,11.06,36.5
"Kevonte Martin-Manley",WR,10.00,6.94,-,88.0,-,4.63,124,122.4,11.15,35.5
"Keyarris Garrett",WR,10.13,7.30,14,107.3,106.4,4.53,128,126.1,11.63,36.5
"Khadarel Hodge",WR,-,-,-,87.4,-,4.63,124,126.6,-,38.0
"Kofi Hughes",WR,10.01,6.90,24,95.4,122.7,4.57,126,123.4,11.10,35.5
"Kolby Listenbee",WR,-,-,15,104.6,-,4.39,129,124.9,-,35.5
"Korey Robertson",WR,9.81,7.55,13,98.1,97.5,4.56,123,119.3,11.95,34.0
"Kris Durham",WR,10.15,6.89,17,109.6,107.9,4.51,121,121.7,11.30,36.0
"Krishawn Hogan",WR,10.21,6.74,13,105.5,107.9,4.56,124,124.1,10.95,36.5
"Kyle Prater",WR,9.93,7.12,20,92.5,102.9,4.76,121,113.2,11.41,31.0
"Kyle Williams",WR,9.83,7.00,11,92.6,101.9,4.43,118,115.1,11.19,33.0
"L'Damian Washington",WR,10.01,7.19,8,102.6,91.9,4.46,115,111.9,11.54,32.0
"LaRon Byrd",WR,10.19,7.07,15,111.7,115.2,4.50,125,122.0,11.17,35.0
"LaVon Brazill",WR,9.81,7.08,11,92.7,94.2,4.48,118,114.3,11.45,32.5
"Lamaar Thomas",WR,10.11,6.80,16,93.1,112.4,4.45,123,126.1,11.04,38.0
"Lamont Bryant",WR,10.54,6.78,19,124.3,125.7,4.44,128,137.1,11.16,43.0
"Lance Lenoir",WR,9.83,6.87,13,80.4,89.4,4.70,107,109.6,11.26,33.0
"Lance Moore",WR,9.94,7.12,-,82.3,-,4.57,117,126.5,11.44,40.0
"Landon Jones",WR,10.09,6.81,12,79.1,107.3,4.58,122,126.5,10.86,38.5
"Laquon Treadwell",WR,9.96,7.05,12,93.4,96.4,4.68,117,114.6,11.30,33.0
"Larry Fitzgerald",WR,-,-,-,106.4,-,4.53,-,-,-,35.5
"Larry Pinkard",WR,9.98,7.15,18,89.4,108.3,4.56,128,126.1,11.46,36.5
