year,information_mode,reserve,phase,player,player_key,pos,selections,point_salary,actual_salary,actual_minus_point,actual_salary_matched,available_trials,selection_rate
2022,blind_sequential,half,final,Pierre Strong,pierrestrong,RB,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Quez Watkins,quezwatkins,WR,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Rex Burkhead,rexburkhead,RB,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Samaje Perine,samajeperine,RB,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Travis Etienne,travisetienne,RB,1,49.03035354614258,56.0,6.969646453857422,True,32,0.03125
2022,blind_sequential,half,final,Trequan Smith,trequansmith,WR,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Trey Mcbride,treymcbride,TE,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,final,Tyler Badie,tylerbadie,RB,1,1.0,1.0,0.0,False,32,0.03125
2022,blind_sequential,half,plan,Dj Chark,djchark,WR,16,3.0564887523651123,1.0,-2.0564887523651123,True,32,0.5
2022,blind_sequential,half,plan,Breece Hall,breecehall,RB,14,48.01581573486328,54.0,5.984184265136719,True,32,0.4375
2022,blind_sequential,half,plan,George Kittle,georgekittle,TE,13,22.39099884033203,17.0,-5.390998840332031,True,32,0.40625
2022,blind_sequential,half,plan,Aj Dillon,ajdillon,RB,12,19.375717163085938,36.0,16.624282836914062,True,32,0.375
2022,blind_sequential,half,plan,Michael Carter,michaelcarter,RB,12,6.41607666015625,7.0,0.58392333984375,True,32,0.375
2022,blind_sequential,half,plan,Travis Etienne,travisetienne,RB,12,49.03035354614258,56.0,6.969646453857422,True,32,0.375
2022,blind_sequential,half,plan,Cordarrelle Patterson,cordarrellepatterson,RB,11,18.659677505493164,12.0,-6.659677505493164,True,32,0.34375
2022,blind_sequential,half,plan,Devonta Smith,devontasmith,WR,11,14.112946510314941,11.0,-3.1129465103149414,True,32,0.34375
2022,blind_sequential,half,plan,Juju Smith Schuster,jujusmithschuster,WR,11,20.307554244995117,22.0,1.6924457550048828,True,32,0.34375
2022,blind_sequential,half,plan,Miles Sanders,milessanders,RB,9,24.980880737304688,20.0,-4.9808807373046875,True,32,0.28125
2022,blind_sequential,half,plan,Zach Ertz,zachertz,TE,9,5.342962265014648,3.0,-2.3429622650146484,True,32,0.28125
2022,blind_sequential,half,plan,Aaron Rodgers,aaronrodgers,QB,8,5.891151428222656,2.0,-3.8911514282226562,True,32,0.25
2022,blind_sequential,half,plan,Davante Adams,davanteadams,WR,8,84.4734115600586,88.0,3.5265884399414062,True,32,0.25
2022,blind_sequential,half,plan,James Cook,jamescook,RB,8,9.681676864624023,14.0,4.318323135375977,True,32,0.25
2022,blind_sequential,half,plan,Rashaad Penny,rashaadpenny,RB,8,13.497681617736816,27.0,13.502318382263184,True,32,0.25
2022,blind_sequential,half,plan,Devin Singletary,devinsingletary,RB,7,24.66584587097168,22.0,-2.6658458709716797,True,32,0.21875
2022,blind_sequential,half,plan,Garrett Wilson,garrettwilson,WR,7,5.6605448722839355,9.0,3.3394551277160645,True,32,0.21875
2022,blind_sequential,half,plan,Jaylen Waddle,jaylenwaddle,WR,7,42.83132553100586,38.0,-4.831325531005859,True,32,0.21875
2022,blind_sequential,half,plan,Treylon Burks,treylonburks,WR,7,7.422175884246826,5.0,-2.422175884246826,True,32,0.21875
2022,blind_sequential,half,plan,Damien Harris,damienharris,RB,6,16.075223922729492,27.0,10.924776077270508,True,32,0.1875
2022,blind_sequential,half,plan,Khalil Herbert,khalilherbert,RB,6,1.054262638092041,1.0,-0.054262638092041016,False,32,0.1875
2022,blind_sequential,half,plan,Lamar Jackson,lamarjackson,QB,6,22.440031051635742,22.0,-0.4400310516357422,True,32,0.1875
2022,blind_sequential,half,plan,Nick Chubb,nickchubb,RB,6,61.64777755737305,81.0,19.352222442626953,True,32,0.1875
2022,blind_sequential,half,plan,Rhamondre Stevenson,rhamondrestevenson,RB,6,16.4515323638916,25.0,8.548467636108398,True,32,0.1875
2022,blind_sequential,half,plan,Amari Cooper,amaricooper,WR,5,17.634883880615234,10.0,-7.634883880615234,True,32,0.15625
2022,blind_sequential,half,plan,Dalton Schultz,daltonschultz,TE,5,12.257006645202637,19.0,6.742993354797363,True,32,0.15625
2022,blind_sequential,half,plan,Darren Waller,darrenwaller,TE,5,21.0692138671875,26.0,4.9307861328125,True,32,0.15625
2022,blind_sequential,half,plan,Ezekiel Elliott,ezekielelliott,RB,5,51.137596130371094,45.0,-6.137596130371094,True,32,0.15625
