"Phillip Dorsett, WR HOU",43%,0.7,3.30%,3,47.4
"Andy Isabella, WR ARI",12%,0.4,0.70%,5,46.9
"Tyler Johnson, WR TB",8%,0.6,0.50%,5,46.1
"N'Keal Harry, WR CHI",81%,2.4,9.30%,2,44.2
"Jalen Reagor, WR PHI",80%,2.2,9%,2,44.1
"Anthony Miller, WR PIT",39%,1.3,2.90%,3,42.3
"Tylan Wallace, WR BAL",73%,2.9,7.40%,0,41.1
"Tutu Atwell, WR LAR",10%,0.3,0.60%,5,34.5
"Denzel Mims, WR NYJ",78%,3.7,8.50%,5,31.8
"Keke Coutee, WR IND",81%,2.6,9.30%,2,29.7
"Miles Boykin, WR PIT",27%,1.4,1.80%,5,29.4
"Calvin Ridley, WR ATL",49%,1.8,3.90%,5,0
"Travis Kelce, TE KC",42%,0.7,3.20%,5,286
"Mark Andrews, TE BAL",35%,0.7,2.50%,5,241
"Kyle Pitts, TE ATL",73%,2.6,7.40%,0,216.6
"Darren Waller, TE LVR",41%,2.1,3.10%,5,213.9
"Dallas Goedert, TE PHI",58%,0.9,5%,5,203.3
"George Kittle, TE SF",92%,3.1,13.80%,5,198.2
"Dalton Schultz, TE DAL",15%,1.9,1%,5,196.3
"T.J. Hockenson, TE DET",74%,3.7,7.60%,5,183.9
"Mike Gesicki, TE MIA",31%,0.7,2.20%,5,166.9
"Zach Ertz, TE ARI",89%,4.6,12.20%,5,166.5
"Dawson Knox, TE BUF",85%,2.9,10.60%,5,163.1
"Irv Smith, TE MIN",22%,0.5,1.50%,5,157.9
"Evan Engram, TE JAC",92%,3.8,13.80%,5,157.6
"Hunter Henry, TE NE",65%,1.8,6%,2,156.5
"Tyler Higbee, TE LAR",79%,2.7,8.80%,5,155.8
"David Njoku, TE CLE",81%,5.9,9.30%,3,155.7
"Pat Freiermuth, TE PIT",13%,0.4,0.80%,5,155.5
"Cole Kmet, TE CHI",63%,1.5,5.70%,4,155.1
"Gerald Everett, TE LAC",45%,1.5,3.50%,5,150.7
"Noah Fant, TE SEA",89%,3.1,12.20%,5,149.2
"Hayden Hurst, TE CIN",51%,1.8,4.10%,5,143.4
"Albert Okwuegbunam, TE DEN",90%,2.8,12.70%,0,140.7
"Logan Thomas, TE WAS",23%,1.4,1.50%,5,131.6
"Robert Tonyan, TE GB",54%,1.2,4.50%,5,129.5
"Austin Hooper, TE TEN",22%,0.9,1.50%,5,124.8
"Brevin Jordan, TE HOU",82%,3.4,9.60%,3,115.8
"Adam Trautman, TE NO",31%,1.2,2.20%,5,107.3
"Mo Alie-Cox, TE IND",80%,2,9%,5,101.2
"Cameron Brate, TE TB",38%,1.6,2.80%,5,98.1
"Harrison Bryant, TE CLE",32%,0.9,2.20%,5,84.6
"O.J. Howard, TE BUF",88%,2.8,11.70%,2,79.9
"Kyle Rudolph, TE TB",28%,0.6,1.90%,4,77.2
"Josiah Deguara, TE GB",85%,2.5,10.60%,2,74.8
"Tyler Conklin, TE NYJ",31%,0.5,2.20%,5,74.5
"Jonnu Smith, TE NE",89%,3.4,12.20%,5,72.9
"C.J. Uzomah, TE NYJ",27%,0.7,1.80%,3,72.7
"Eric Ebron, TE UNS",86%,2.8,10.90%,5,69.7
"Jared Cook, TE UNS",78%,3,8.50%,5,68
"Rob Gronkowski, TE TB",94%,3.7,15.30%,2,67.4
"Anthony Firkser, TE ATL",13%,0.2,0.80%,5,62.5
"Jordan Akins, TE NYG",77%,2.6,8.30%,5,45.7
"Jimmy Graham, TE UNS",30%,0.6,2.10%,5,44.4
"Chris Herndon, TE UNS",88%,2.8,11.70%,3,38.6
"Foster Moreau, TE LVR",61%,1.6,5.40%,5,36.8
"Maxx Williams, TE ARI",51%,0.8,4.10%,2,28.6
"Brycen Hopkins, TE LAR",18%,0.8,1.20%,5,27.4
"Hunter Long, TE MIA",32%,0.6,2.20%,5,25.2
"Jace Sternberger, TE PIT",37%,0.9,2.70%,2,23.4
