"Full Name",Position,"Arm Length","Height (Inches)",Weight,BMI,"Hand Size",Age,"20-Yard Shuttle","Athleticism Score",SPARQ-x,"3-Cone Drill"
"Elijah Hood",RB,"30 3/8",72,"232 lbs",31.5,"9 3/8",23.3,4.65,98.8,96.2,7.12
"Elijah McGuire",RB,"31    ",70,"214 lbs",30.7,"9    ",25.2,4.56,100.0,100.0,7.26
"Elijah Wellman",RB,"30 1/8",73,"241 lbs",31.8,"8 7/8",24.9,4.42,99.7,110.4,6.85
"Elijhaa Penny",RB,"30 1/4",73,"244 lbs",32.2,"9 1/8",26.0,4.55,96.7,94.3,7.20
"Evan Royster",RB,"30 5/8",72,"212 lbs",28.7,"9 1/4",31.7,4.18,96.7,112.0,7.07
"Ezekiel Elliott",RB,"31 1/4",72,"225 lbs",30.5,"10 1/4",24.1,-,101.3,-,-
"Felix Jones",RB,"31 1/8",70,"215 lbs",30.8,"9 1/8",32.3,4.19,101.9,109.1,6.90
"Fitzgerald Toussaint",RB,"30 1/2",70,"205 lbs",29.4,"8 1/2",29.3,4.10,102.2,125.4,6.59
"Fozzy Whittaker",RB,"30 3/4",69,"202 lbs",29.8,"9 1/4",30.5,-,-,-,-
"Frank Gore",RB,-,69,"217 lbs",32.0,-,36.3,4.11,101.1,108.1,6.91
"Fred Jackson",RB,-,73,"215 lbs",28.4,-,38.5,-,-,-,-
"George Aston",RB,"31 1/2",71,"244 lbs",34.0,"9 1/2",23.5,4.38,105.1,121.4,7.25
"George Atkinson III",RB,"33 1/4",73,"218 lbs",28.8,"9 3/8",26.7,4.46,99.7,114.0,7.07
"George Farmer",RB,"33    ",73,"205 lbs",27.0,"8 5/8",26.1,4.27,96.6,115.0,7.00
"George Winn",RB,"30 7/8",71,"210 lbs",29.3,"9 7/8",28.8,4.33,98.8,112.6,7.13
"Giovani Bernard",RB,"28    ",68,"202 lbs",30.7,"9 3/8",27.7,4.12,102.2,115.0,6.91
"Glasco Martin",RB,"32    ",72,"217 lbs",29.4,"9 1/2",28.3,4.36,97.0,-,6.84
"Glenn Winston",RB,"31    ",74,"220 lbs",28.2,"10 3/8",30.3,4.38,96.3,110.3,7.30
"Gus Edwards",RB,"32 5/8",73,"229 lbs",30.2,"9 1/8",24.3,4.24,99.9,111.1,7.22
