"Full Name",Position,"Arm Length","Height (Inches)",Weight,BMI,"Hand Size",Age,"20-Yard Shuttle","Athleticism Score",SPARQ-x,"3-Cone Drill"
"Thomas Rawls",RB,"30 3/4",69,"215 lbs",31.7,"9 1/2",26.0,4.37,101.4,102.9,7.10
"Tim Cook",RB,"30 5/8",72,"242 lbs",32.8,"9 1/2",25.3,4.38,105.4,119.5,7.07
"Tim Cornett",RB,"31    ",72,"209 lbs",28.3,"9 1/4",27.3,4.26,97.8,108.3,7.01
"Tim Flanders",RB,"30 1/4",69,"207 lbs",30.6,"9 1/4",27.9,4.31,97.7,101.2,7.07
"Tim Hightower",RB,"32    ",72,"220 lbs",29.8,"9    ",33.2,4.46,97.1,103.1,7.29
"Tion Green",RB,"31    ",71,"221 lbs",30.8,"9    ",25.7,4.58,94.6,88.9,7.38
"Toby Gerhart",RB,"32    ",72,"231 lbs",31.3,"9 5/8",32.4,4.25,105.1,127.0,6.94
"Todd Gurley",RB,"32 1/2",73,"227 lbs",29.9,"10    ",25.0,-,-,-,-
"Tommy Bohanon",RB,"30    ",73,"246 lbs",32.5,"10 1/8",28.9,4.42,104.6,137.1,7.27
"Tony Brooks-James",RB,"30 1/8",69,"190 lbs",28.1,"8 3/4",-,4.27,97.1,103.8,7.06
"Tony Pollard",RB,"30    ",72,"210 lbs",28.5,"9 1/2",22.3,4.37,96.7,100.9,7.00
"Tra Carson",RB,"31 1/2",71,"227 lbs",31.7,"9 1/4",26.8,4.27,101.8,111.7,7.10
"Travaris Cadet",RB,-,73,"210 lbs",27.7,-,30.5,4.21,94.1,101.6,6.97
"Travis Homer",RB,"31 1/2",70,"201 lbs",28.8,"10    ",21.0,4.31,101.2,114.4,7.07
"Travon McMillian",RB,"30 7/8",71,"210 lbs",29.3,"8 3/4",23.5,4.46,98.5,109.0,7.22
"Trayveon Williams",RB,"30 3/8",68,"206 lbs",31.3,"9 1/4",21.8,4.44,101.1,105.6,7.44
"Tre Madden",RB,"29 3/4",72,"223 lbs",30.2,"9 3/8",26.0,4.38,100.6,115.4,7.09
"Tre Mason",RB,"30    ",69,"207 lbs",30.6,"9    ",23.2,4.15,104.1,124,6.7
"Tre Watson",RB,"29 7/8",69,"195 lbs",28.8,"8 5/8",23.5,4.52,92.5,89.2,7.08
"Trent Richardson",RB,"30 1/4",69,"230 lbs",34.0,"9 1/2",28.1,-,-,-,-
"Trenton Cannon",RB,"30 1/4",70,"185 lbs",26.5,"8 3/8",25.1,4.04,97.6,121.4,7.02
"Trey Edmunds",RB,"32 3/8",73,"223 lbs",29.4,"9 3/8",24.6,-,-,-,7.25
"Trey Watts",RB,"29 1/8",69,"208 lbs",30.7,"9 1/8",28.5,4.37,91.9,73.2,6.94
"Trey Williams",RB,"29 7/8",67,"195 lbs",30.5,"8 1/4",26.7,4.12,101.9,114.0,6.84
"Troymaine Pope",RB,"30 1/8",68,"205 lbs",31.2,"9 5/8",25.7,4.21,104.0,122.3,6.87
"Ty Issac",RB,"32    ",74,"227 lbs",29.1,"10 1/8",24.8,-,-,-,-
"Ty Johnson",RB,"30 1/8",71,"210 lbs",29.3,"9 1/8",21.9,-,-,-,-
"Ty Montgomery",RB,"31    ",72,"216 lbs",29.3,"10 1/8",26.6,4.21,100.9,116.8,6.97
"Tyler Ervin",RB,"29 3/4",70,"192 lbs",27.5,"9 1/8",25.8,4.34,99.4,114.7,7.03
"Tyler Gaffney",RB,"30 1/4",72,"220 lbs",29.8,"9    ",28.3,4.18,100.7,114.6,6.78
"Tyler Varga",RB,"30 3/8",71,"222 lbs",31.0,"10 5/8",25.9,4.37,101.9,116.3,7.21
"Vick Ballard",RB,"31 3/4",70,"219 lbs",31.4,"9 1/2",29.1,4.19,101.8,116.8,7.03
"Warren Wand",RB,"28 1/4",65,"181 lbs",30.1,"9 1/8",22.8,4.57,96.8,88.0,7.57
"Wayne Gallman",RB,"32 5/8",72,"215 lbs",29.2,"9 1/8",24.9,4.28,96.8,107.5,7.17
"Wendell Smallwood",RB,"30 1/2",70,"208 lbs",29.8,"9 1/4",25.5,4.28,99.7,105.3,6.83
"Wes Hills",RB,"32 3/8",73,"209 lbs",27.6,"8 7/8",24.2,-,-,-,-
"Wesley Fields",RB,"30 7/8",69,"202 lbs",29.8,"9 1/4",-,4.41,98.0,101.2,7.25
"William Stanback",RB,"32 1/4",71,"233 lbs",32.5,"9 1/8",25.1,4.59,104.5,110.2,6.90
"Xavier Turner",RB,"31 3/8",70,"226 lbs",32.4,"8 7/8",22.6,4.39,104.8,121.2,7.10
"Zac Brooks",RB,"31 1/2",73,"200 lbs",26.4,"8 3/4",26.5,4.38,95.4,108.6,7.09
"Zac Stacy",RB,"30 1/4",68,"224 lbs",34.1,"8 5/8",28.3,4.17,109.7,130.3,6.70
"Zach Bauman",RB,"29 7/8",70,"200 lbs",28.7,"8 7/8",27.1,4.12,95.8,105.2,6.92
"Zach Laskey",RB,"31 1/8",74,"238 lbs",30.6,"10 1/8",27.1,4.17,101.4,116.1,6.94
"Zach Line",RB,"30 3/4",72,"232 lbs",31.5,"8 3/4",29.3,4.40,100.9,114.0,7.12
"Zach Zenner",RB,"32    ",71,"223 lbs",31.1,"9 5/8",27.9,4.14,105.8,134.5,7.08
"Zurlon Tipton",RB,"32 1/8",72,"222 lbs",30.1,"9 3/8",29.3,4.48,96.8,93.4,6.89
