candidate_method,baseline_method,period,metric,n,season_clusters,candidate_minus_baseline,bootstrap_p025,bootstrap_p975,probability_candidate_better
ppg_w300,production,temporal_2023_2025,ppg_crps,540,3,0.008437446624832277,0.00037716858161400565,0.018180557502661978,0.0
ppg_w300,production,temporal_2023_2025,contribution_crps,540,3,0.059343017220358237,0.010871015858402888,0.08764890260079433,0.0
ppg_w300,production,temporal_2023_2025,played_crps,540,3,0.012232727386600745,-0.006487389965136507,0.02780071877433665,0.035
ppg_w300,production,temporal_2023_2025,plus3_brier_row,540,3,0.0013510553089433014,-0.0011548341993547456,0.003106805584809774,0.1495
ppg_w300,production,temporal_2023_2025,plus5_brier_row,540,3,0.0005380102782326667,-5.366306925429033e-05,0.0008447393626350363,0.035
ppg_w300,production,temporal_2023_2025,impact_brier_row,540,3,0.0016115529985940642,0.000699955958727829,0.0023926340323852605,0.0
ppg_w300,production,temporal_2023_2025,zero_brier_row,540,3,0.00013785795116268515,-0.00048026946487661205,0.0011791978736979533,0.29
ppg_w300,production,temporal_2023_2025,extended_absence_brier_row,540,3,0.0008098318431128032,-0.00078926409107523,0.0022443303633168485,0.148
component_rank_w150,production,all_2017_2025,ppg_crps,1620,9,0.0008948509872908673,-0.0007652153757944688,0.0026826335723031075,0.145
component_rank_w150,production,all_2017_2025,contribution_crps,1620,9,0.003394517396577759,-0.015153367247673123,0.020981040751483642,0.3425
component_rank_w150,production,all_2017_2025,played_crps,1620,9,-0.0008648216092253321,-0.003278909293125957,0.0016024249891979322,0.762
component_rank_w150,production,all_2017_2025,plus3_brier_row,1620,9,-0.0001213477752697505,-0.0007485982787769309,0.000622947305025457,0.6375
component_rank_w150,production,all_2017_2025,plus5_brier_row,1620,9,-5.357149679313824e-05,-0.00025706717585049864,0.0001601779042372892,0.6725
component_rank_w150,production,all_2017_2025,impact_brier_row,1620,9,-7.124569999849329e-05,-0.0003582088568658972,0.0002326815638851968,0.688
component_rank_w150,production,all_2017_2025,zero_brier_row,1620,9,-2.9520719742761035e-05,-0.00014032534805211017,8.976523966113678e-05,0.7
component_rank_w150,production,all_2017_2025,extended_absence_brier_row,1620,9,8.7020422847593e-05,-0.00014604011444712789,0.000329556759035931,0.2495
component_rank_w150,production,development_2017_2022,ppg_crps,1080,6,0.001805220282835432,-0.00048662821980882735,0.0037413975595658863,0.0625
component_rank_w150,production,development_2017_2022,contribution_crps,1080,6,0.01721478120206733,0.0008950968261307705,0.03328420508772479,0.0205
component_rank_w150,production,development_2017_2022,played_crps,1080,6,0.0005791072002650807,-0.002335252689045303,0.003493001979697065,0.3645
component_rank_w150,production,development_2017_2022,plus3_brier_row,1080,6,0.00033608854837856246,-0.0004130246508165307,0.0011264874314262537,0.2095
component_rank_w150,production,development_2017_2022,plus5_brier_row,1080,6,0.00010515555815473466,-8.364990918608163e-05,0.0003114866134379028,0.1565
component_rank_w150,production,development_2017_2022,impact_brier_row,1080,6,-5.918734112449146e-07,-0.0003652283619619556,0.0003904588773255341,0.528
