Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
385	21141	Shipley, Will	PHI	RB	273.79	208	360		12		
386	22126	Thornton Jr., Dont'e	LV	WR	273.82	313	360		10		
387	15938	Hill, Taysom	NO	TE	273.86	297	355		12		
388	19454	Metchie III, John	CAR	WR	273.87	219	360		19		
389	22070	Ewers, Quinn	MIA	QB	273.91	347	359		10		
390	21163	Jordan, Jawhar	HOU	RB	273.92	240	360		14		
391	23176	Coleman Jr., Kevin	MIA	WR	273.93	167	360		32		
392	15362	Perine, Samaje	CIN	RB	273.94	166	360		332		
393	12688	Beckham Jr., Odell	NYG	WR	273.98	162	360		22		
394	17057	Dortch, Greg	DET	WR	274.00	255	360		14		
395	21167	Ali, Rasheen	BAL	RB	274.02	228	359		16		
396	9994	Dalton, Andy	PHI	QB	274.03	263	359		14		
397	21389	Whittington, Jordan	LA	WR	274.04	211	359		16		
398	12708	Bridgewater, Teddy	DET	QB	274.05	344	356		12		
399	22960	Randall, Adam	BAL	RB	274.13	174	358		326		
400	15896	Ekeler, Austin	WAS	RB	274.15	216	358		16		
401	20304	Miller, Kendre	NO	RB	274.16	139	360		25		
402	17025	Minshew II, Gardner	ARZ	QB	274.19	237	360		16		
403	2959	Bills, Buffalo	BUF	TK	274.21	167	329		243		
404	18828	Carter, Michael	TEN	RB	274.24	234	360		19		
405	21148	Wilson, Roman	PIT	WR	274.25	236	358		19		
406	18799	Lance, Trey	LAC	QB	274.27	237	360		18		
407	1912	Dolphins, Miami	MIA	TDSP	274.32	198	359		233		
408	22376	Howard, Will	PIT	QB	274.40	157	360		26		
409	23172	Benson, Malik	LV	WR	274.42	214	360		36		
410	10144	Taylor, Tyrod	GB	QB	274.42	304	359		18		
411	19453	Tolbert, Jalen	MIA	WR	274.43	181	360		355		
412	20845	DeVito, Tommy	NE	QB	274.48	286	360		19		
413	22073	Williams, Savion	GB	WR	274.54	306	359		19		
414	17022	Stidham, Jarrett	DEN	QB	274.56	292	359		21		
415	17450	Browning, Jake	TB	QB	274.58	237	358		21		
416	19625	Bellinger, Daniel	TEN	TE	274.58	295	357		20		
417	14714	Robinson, Demarcus	SF	WR	274.64	200	360		33		
