year,policy,player,bench_rosters,predicted_best_rosters,realized_hit_rosters
2022,control,Tj Hockenson,4,0,4
2022,control,Tony Pollard,28,2,28
2022,control,Trey Sermon,9,0,0
2022,control,Treylon Burks,34,16,0
2022,control,Tyler Boyd,4,0,0
2022,control,Tyler Higbee,1,0,0
2022,control,Tyler Lockett,3,0,0
2022,control,Van Jefferson,1,0,0
2022,control,Zach Ertz,26,0,0
2023,best1_lex0,Adam Thielen,2,0,2
2023,best1_lex0,Aj Dillon,11,0,0
2023,best1_lex0,Alec Pierce,5,0,0
2023,best1_lex0,Alexander Mattison,1,0,0
2023,best1_lex0,Allen Lazard,2,0,2
2023,best1_lex0,Antonio Gibson,40,1,0
2023,best1_lex0,Brandon Aiyuk,1,0,0
2023,best1_lex0,Brian Robinson,21,11,21
2023,best1_lex0,Chigoziem Okonkwo,5,0,0
2023,best1_lex0,Christian Kirk,27,1,0
2023,best1_lex0,Chuba Hubbard,2,0,2
2023,best1_lex0,Clyde Edwards Helaire,13,0,0
2023,best1_lex0,Cordarrelle Patterson,3,0,0
2023,best1_lex0,Courtland Sutton,3,0,3
2023,best1_lex0,Curtis Samuel,1,0,0
2023,best1_lex0,Dallas Goedert,2,0,0
2023,best1_lex0,Dalton Schultz,1,0,0
2023,best1_lex0,Damien Harris,12,0,0
2023,best1_lex0,Dandre Swift,5,0,5
2023,best1_lex0,Darius Slayton,1,0,0
2023,best1_lex0,David Montgomery,6,0,6
2023,best1_lex0,David Njoku,27,0,27
2023,best1_lex0,Deon Jackson,5,0,0
2023,best1_lex0,Devin Singletary,5,0,0
2023,best1_lex0,Devon Achane,129,126,129
2023,best1_lex0,Dj Chark,3,0,0
2023,best1_lex0,Dj Moore,3,0,3
2023,best1_lex0,Donovan Peoples Jones,1,0,0
2023,best1_lex0,Donta Foreman,4,0,0
2023,best1_lex0,Elijah Higgins,1,0,0
2023,best1_lex0,Elijah Moore,2,0,0
2023,best1_lex0,Evan Engram,7,0,0
2023,best1_lex0,Ezekiel Elliott,8,0,0
2023,best1_lex0,Gabriel Davis,24,1,0
2023,best1_lex0,George Kittle,5,0,5
2023,best1_lex0,George Pickens,9,0,9
2023,best1_lex0,Greg Dulcich,11,0,0
2023,best1_lex0,Gus Edwards,4,0,0
2023,best1_lex0,Isiah Pacheco,1,0,0
2023,best1_lex0,Jahan Dotson,5,0,0
2023,best1_lex0,Jakobi Meyers,5,0,5
2023,best1_lex0,Jalin Hyatt,6,0,0
2023,best1_lex0,Jamaal Williams,6,0,0
2023,best1_lex0,Jameson Williams,25,0,25
2023,best1_lex0,Jaxon Smith Njigba,3,0,3
2023,best1_lex0,Jayden Reed,4,0,4
2023,best1_lex0,Jaylen Warren,13,0,0
2023,best1_lex0,Jeff Wilson,2,0,0
2023,best1_lex0,Jerick Mckinnon,11,0,0
2023,best1_lex0,Jerry Jeudy,4,0,4
2023,best1_lex0,Jonathan Mingo,2,0,0
2023,best1_lex0,Jordan Addison,15,6,15
2023,best1_lex0,Josh Downs,4,0,4
2023,best1_lex0,Joshua Palmer,2,0,0
2023,best1_lex0,Juju Smith Schuster,4,0,0
2023,best1_lex0,Juwan Johnson,5,0,0
2023,best1_lex0,Kadarius Toney,19,0,0
2023,best1_lex0,Kendre Miller,141,39,0
2023,best1_lex0,Kenneth Gainwell,19,1,0
2023,best1_lex0,Kenyan Drake,20,0,0
