period,chance_level,paired_rosters,roster_changed_rate,v1_actual_cap_feasible_rate,v5_actual_cap_feasible_rate,v5_only_feasible_rosters,v1_only_feasible_rosters,v1_mean_managed_forecast_season_points,v5_mean_managed_forecast_season_points,mean_managed_forecast_season_points_effect_v5_minus_v1,v1_mean_heldout_cap_probability,v5_mean_heldout_cap_probability,mean_heldout_cap_probability_effect_v5_minus_v1,v1_mean_heldout_salary_spend_mean,v5_mean_heldout_salary_spend_mean,mean_heldout_salary_spend_mean_effect_v5_minus_v1,v1_mean_heldout_salary_spend_p90,v5_mean_heldout_salary_spend_p90,mean_heldout_salary_spend_p90_effect_v5_minus_v1,v1_mean_heldout_salary_spend_p95,v5_mean_heldout_salary_spend_p95,mean_heldout_salary_spend_p95_effect_v5_minus_v1,v1_mean_actual_cap_overage,v5_mean_actual_cap_overage,mean_actual_cap_overage_effect_v5_minus_v1,v1_mean_actual_salary_spend,v5_mean_actual_salary_spend,mean_actual_salary_spend_effect_v5_minus_v1,v1_mean_point_salary_spend,v5_mean_point_salary_spend,mean_point_salary_spend_effect_v5_minus_v1,v1_mean_raw_actual_points_audit_only,v5_mean_raw_actual_points_audit_only,mean_raw_actual_points_audit_only_effect_v5_minus_v1,mean_actual_cap_feasible_effect_v5_minus_v1
temporal_check_2025,all,1000,0.934,0.12,0.185,96,31,1629.7637180175782,1621.9667894287109,-7.796928588867187,0.716425,0.71178,-0.004645000000000003,292.56411295906724,292.7925055774635,0.2283926183962837,303.59806139874456,303.6348469274879,0.03678552874326664,306.61399117235544,306.66879655579925,0.054805383443831034,27.098,22.338,-4.76,323.976,318.373,-5.603,302.0017149538994,299.7407411581278,-2.2609737957715987,1579.383319946289,1597.0004956054688,17.617175659179686,0.065
temporal_check_2025,0.6,250,0.92,0.084,0.14,19,5,1634.12126171875,1625.7459321289064,-8.37532958984375,0.58306,0.5746600000000001,-0.008399999999999994,296.12310093271253,296.36471502733707,0.24161409462452094,307.2113564947605,307.2216783372879,0.010321842527389435,310.24044701402187,310.17787193279264,-0.06257508122921286,30.076,25.352,-4.724,327.276,321.904,-5.372,305.6778431687355,303.2589548139572,-2.41888835477829,1579.8249575195312,1600.0488740234375,20.22391650390625,0.056
temporal_check_2025,0.7,250,0.944,0.128,0.196,24,7,1632.0193715820312,1623.4979311523437,-8.5214404296875,0.67338,0.6735599999999999,0.00017999999999999616,293.9233866309094,294.0527662751436,0.1293796442341843,304.975680033636,304.9065685356617,-0.06911149797439703,307.97042396695616,307.9820132344723,0.011589267516132623,27.972,23.52,-4.452,324.852,319.652,-5.2,303.3924515724182,301.00932200717926,-2.383129565238952,1580.5927192382812,1598.1611176757813,17.5683984375,0.068
temporal_check_2025,0.8,250,0.928,0.12,0.188,24,7,1627.7299951171874,1620.9167001953124,-6.813294921875,0.76678,0.75802,-0.008760000000000006,291.4193139527893,291.7792014868545,0.3598875340652473,302.4487515867233,302.59816556081773,0.14941397409439378,305.4709775407791,305.6388891353607,0.16791159458160224,25.888,21.092,-4.796,322.624,317.14,-5.484,300.79027418041227,298.6541867046356,-2.136087475776674,1578.3776015625,1593.982712890625,15.605111328125,0.068
temporal_check_2025,0.9,250,0.944,0.148,0.216,29,12,1625.1842436523436,1617.7065942382812,-7.4776494140625,0.84248,0.84088,-0.0016000000000000046,288.7906503198576,288.9733395205188,0.18268920066118222,299.7564574798584,299.8129752761841,0.05651779632568037,302.77411616766454,302.8764119205713,0.10229575290680214,24.456,19.388,-5.068,321.152,314.796,-6.356,298.14629089403155,296.04050110673904,-2.1057897872924816,1578.7380014648438,1595.8092778320313,17.0712763671875,0.068
2022,all,1000,0.89,0.248,0.28,98,66,1564.1142259521484,1560.450796875,-3.6634290771484377,0.75973,0.745895,-0.013835,292.33650199537396,292.3383368450534,0.0018348496794707216,301.39756880738736,302.0812904808164,0.683721673429012,303.956485289532,304.87668156695366,0.920196277421711,17.822,16.196,-1.626,312.702,310.725,-1.977,301.4396179718971,302.41166566491125,0.9720476930141443,1488.5381375732422,1485.2689793701172,-3.269158203125,0.032
2022,0.6,250,0.884,0.188,0.244,27,13,1566.3875,1563.0658603515626,-3.3216396484375,0.6401199999999999,0.6257,-0.01442,295.24901359035727,295.4636679521465,0.21465436178922823,304.30923814301497,305.2253862803936,0.9161481373786939,306.86952927401063,307.98492520012854,1.1153959261178958,19.544,18.344,-1.2,315.3,313.428,-1.872,304.2533367767334,305.56099009132384,1.3076533145904539,1495.5962358398438,1488.5621547851563,-7.0340810546875,0.056
2022,0.7,250,0.88,0.244,0.256,19,16,1565.32818359375,1561.4861538085938,-3.84202978515625,0.72066,0.7030599999999999,-0.017599999999999998,293.5235797184586,293.7079652459025,0.18438552744388745,302.6497570098877,303.44802413530346,0.7982671254158017,305.1116437871456,306.3028592646122,1.19121547746658,18.62,16.708,-1.912,313.656,311.548,-2.108,302.7165785627365,303.7791310682297,1.0625525054931622,1493.8048764648438,1490.9727231445313,-2.8321533203125,0.012
2022,0.8,250,0.896,0.28,0.3,25,20,1563.3845087890625,1559.9744965820312,-3.41001220703125,0.80496,0.7854200000000001,-0.01954,291.4571085040426,291.52906759102825,0.07195908698558878,300.51216293416024,301.26210427908904,0.7499413449287399,303.13653070299625,304.06579626500604,0.9292655620098098,17.152,15.2,-1.952,311.784,309.468,-2.316,300.4645644683838,301.51519082832334,1.0506263599395735,1485.2574370117188,1482.8212802734374,-2.43615673828125,0.02
2022,0.9,250,0.9,0.28,0.32,27,17,1561.3567114257812,1557.2766767578125,-4.08003466796875,0.8731800000000001,0.8694,-0.0037800000000000017,289.1163061686373,288.6526465911365,-0.4636595775008216,298.11911714248663,298.38964722847936,0.2705300859928127,300.70823739397525,301.1531455380678,0.4449081440925579,15.972,14.532,-1.44,310.068,308.456,-1.612,298.3239920797348,298.7913506717682,0.4673585920333878,1479.4940009765626,1478.7197592773437,-0.77424169921875,0.04
