year,trial,buffer,buffer_dollars,nominal_cap,status,roster,sampled_salary_spend,point_salary_spend,forecast_ev,actual_cap_feasible,actual_cap_overage,salary_model_fallback_players,minimum_salary_fallback_players,contains_top_n,qb_count,rb_count,wr_count,te_count,actual_points,drafted_only_points,actual_waiver_starts,actual_salary_spend,actual_salary_missing_players,raw_outcome_missing_players
2024,142,10,10.0,308.0,optimal,Cooper Kupp|Dallas Goedert|Ezekiel Elliott|Gus Edwards|Jalen Hurts|Javonte Williams|Jaxon Smith Njigba|Ladd Mcconkey|Mark Andrews|Rashee Rice|Tee Higgins|Tyjae Spears|Tyreek Hill,292.9580078125,302.7331848144531,1672.7413330078125,False,73.0,1,0,True,1,4,6,2,1472.5400390625,1516.320068359375,35,371.0,0,0
2024,143,none,,,optimal,Ceedee Lamb|Chase Brown|Ezekiel Elliott|George Kittle|Jalen Hurts|Javonte Williams|Jayden Reed|Jaylen Waddle|Nathaniel Dell|Rashee Rice|Tee Higgins|Trey Benson|Xavier Worthy,296.8756408691406,312.4751796722412,1674.7708740234375,False,37.0,1,0,True,1,4,7,1,1600.639892578125,1585.219970703125,29,335.0,0,0
2024,143,5,5.0,303.0,optimal,Chase Brown|Dalton Schultz|Devonta Smith|Ezekiel Elliott|George Kittle|Jalen Hurts|Javonte Williams|Jayden Reed|Justin Jefferson|Nathaniel Dell|Rashee Rice|Tee Higgins|Xavier Worthy,291.81365966796875,300.0742483139038,1664.100830078125,False,15.0,1,0,True,1,3,7,2,1709.739990234375,1704.719970703125,25,313.0,0,0
2024,143,10,10.0,308.0,optimal,Chase Brown|Devonta Smith|Ezekiel Elliott|George Kittle|Jalen Hurts|Javonte Williams|Jayden Reed|Justin Jefferson|Nathaniel Dell|Rashee Rice|Tee Higgins|Trey Benson|Xavier Worthy,293.4335021972656,304.50947761535645,1665.329833984375,False,23.0,1,0,True,1,4,7,1,1709.739990234375,1693.219970703125,25,321.0,0,0
2024,144,none,,,optimal,Adonai Mitchell|Devon Achane|Devonta Smith|George Kittle|Jerome Ford|Jordan Addison|Josh Allen|Joshua Palmer|Keon Coleman|Marvin Harrison|Najee Harris|Rashee Rice|Travis Kelce,291.7966003417969,307.0386097431183,1664.997802734375,False,63.0,1,0,True,1,3,7,2,1729.1199951171875,1662.159912109375,24,361.0,0,0
2024,144,5,5.0,303.0,optimal,Adonai Mitchell|Deebo Samuel|Devin Singletary|Devonta Smith|Jaylen Warren|Jerome Ford|Josh Allen|Joshua Palmer|Keon Coleman|Marvin Harrison|Rashee Rice|Travis Kelce|Tyjae Spears,294.265625,300.40200543403625,1650.0697021484375,False,49.0,1,0,True,1,4,7,1,1429.419921875,1365.159912109375,41,347.0,0,0
2024,144,10,10.0,308.0,optimal,Adonai Mitchell|Deebo Samuel|George Kittle|Jaylen Waddle|Jerome Ford|Josh Allen|Joshua Palmer|Keon Coleman|Marvin Harrison|Rashee Rice|Travis Kelce|Tyjae Spears|Zamir White,296.5289611816406,305.2849905490875,1653.5367431640625,False,59.0,1,0,True,1,3,7,2,1496.1199951171875,1374.1600341796875,42,357.0,0,0
2024,145,none,,,optimal,Calvin Ridley|Chase Brown|George Kittle|Gus Edwards|Jalen Hurts|Jonathon Brooks|Khalil Shakir|Najee Harris|Rashee Rice|Tee Higgins|Travis Kelce|Tyreek Hill|Zay Flowers,295.28387451171875,315.02988052368164,1693.0565185546875,False,65.0,2,0,True,1,4,6,2,1646.239990234375,1661.320068359375,23,363.0,0,0
2024,145,5,5.0,303.0,optimal,Chase Brown|George Kittle|Gus Edwards|Jalen Hurts|Khalil Shakir|Malik Nabers|Najee Harris|Nathaniel Dell|Rashee Rice|Tj Hockenson|Tyler Allgeier|Tyreek Hill|Zay Flowers,286.28350830078125,298.7727726697922,1686.4625244140625,False,12.0,1,0,True,1,4,6,2,1722.93994140625,1668.219970703125,26,310.0,0,0
2024,145,10,10.0,308.0,optimal,Chase Brown|George Kittle|Gus Edwards|Jalen Hurts|Jonathon Brooks|Khalil Shakir|Malik Nabers|Najee Harris|Nathaniel Dell|Rashee Rice|Tj Hockenson|Tyreek Hill|Zay Flowers,287.3062744140625,301.8107579946518,1700.0372314453125,False,13.0,2,0,True,1,4,6,2,1722.93994140625,1628.719970703125,26,311.0,0,0
2024,146,none,,,optimal,Anthony Richardson|Brock Bowers|Chuba Hubbard|Javonte Williams|Jaxon Smith Njigba|Jayden Reed|Justin Jefferson|Marvin Harrison|Najee Harris|Nathaniel Dell|Pat Freiermuth|Rome Odunze|Zay Flowers,295.76324462890625,309.8091411590576,1634.960693359375,False,1.0,0,0,True,1,3,7,2,1643.1199951171875,1557.860107421875,20,299.0,0,0
2024,146,5,5.0,303.0,optimal,Anthony Richardson|Brock Bowers|Chuba Hubbard|Davante Adams|Deandre Hopkins|Javonte Williams|Justin Jefferson|Najee Harris|Nathaniel Dell|Pat Freiermuth|Rashee Rice|Xavier Worthy|Zay Flowers,293.2918701171875,299.5065903663635,1613.0904541015625,True,0.0,1,0,True,1,3,7,2,1714.8199462890625,1589.760009765625,31,298.0,0,0
