"Rank","Player","Team","Bye","POS","BB10","RTSports","Underdog","Drafters","AVG"
"473","Robert Foster","","","WR166","481","","","","481.0"
"474","Mike Boone","","","RB142","482","","","","482.0"
"475","Erik Swoope","","","TE81","483","","","","483.0"
"476","Tyler Ervin","","","RB143","484","","","","484.0"
"477","Breshad Perriman","","","WR167","485","","","","485.0"
"478","Darrius Heyward-Bey","","","WR168","486","","","","486.0"
"479","Jarius Wright","","","WR169","487","","","","487.0"
"480","Cam Sims","","","WR170","488","","","","488.0"
"481","Chase Daniel","","","QB54","489","","","","489.0"
"482","Noah Brown","WAS","4","WR171","490","","","","490.0"
"483","Kenjon Barner","","","RB144","491","","","","491.0"
"484","Tavarres King","","","WR172","492","","","","492.0"
"485","Chris Moore","WAS","4","WR173","493","","","","493.0"
"486","Branden Oliver","","","RB145","494","","","","494.0"
"487","Dwayne Washington","","","RB146","495","","","","495.0"
"488","Donnel Pumphrey","","","RB147","496","","","","496.0"
""
""
