period,method,metric,n,candidate_minus_baseline
development_2017_2022,recency_hl8,contribution_80_covered,1080,-0.004629629629629629
development_2017_2022,recency_hl8,played_80_covered,1080,-0.002777777777777778
development_2017_2022,recency_hl8,weighted_season_gap,1080,-0.8926743939141262
development_2017_2022,recency_hl8,weight_last3_seasons,1080,0.09932565206791825
development_2017_2022,recency_hl8,weight_10plus_seasons,1080,-0.06275449683364957
development_2017_2022,recency_hl8,effective_sample_size,1080,-3.9993446706922695
development_2017_2022,draft_support,ppg_crps,1080,0.0019035473698547486
development_2017_2022,draft_support,contribution_crps,1080,-0.0012952858225996904
development_2017_2022,draft_support,played_crps,1080,-0.004947514463298544
development_2017_2022,draft_support,plus3_brier_row,1080,8.690886786436104e-05
development_2017_2022,draft_support,plus5_brier_row,1080,0.00024184101061866956
development_2017_2022,draft_support,impact_brier_row,1080,-2.2098296046820082e-05
development_2017_2022,draft_support,zero_brier_row,1080,6.54240367153427e-05
development_2017_2022,draft_support,extended_absence_brier_row,1080,-0.0002346871682612541
development_2017_2022,draft_support,ppg_80_covered,1080,-0.000925925925925926
development_2017_2022,draft_support,contribution_80_covered,1080,-0.006481481481481481
development_2017_2022,draft_support,played_80_covered,1080,-0.004629629629629629
development_2017_2022,draft_support,weighted_season_gap,1080,-0.016333635915601125
development_2017_2022,draft_support,weight_last3_seasons,1080,0.0007592862140132837
development_2017_2022,draft_support,weight_10plus_seasons,1080,-0.0017429160058586904
development_2017_2022,draft_support,effective_sample_size,1080,0.013112910014798255
development_2017_2022,draft_recency_hl8,ppg_crps,1080,-0.0003568958847262814
development_2017_2022,draft_recency_hl8,contribution_crps,1080,-0.019910291754670965
development_2017_2022,draft_recency_hl8,played_crps,1080,-0.0053082183645349525
development_2017_2022,draft_recency_hl8,plus3_brier_row,1080,-0.0003061721191579043
development_2017_2022,draft_recency_hl8,plus5_brier_row,1080,-0.00034744650187287237
development_2017_2022,draft_recency_hl8,impact_brier_row,1080,-0.0003507354462115915
development_2017_2022,draft_recency_hl8,zero_brier_row,1080,4.17349223053481e-05
development_2017_2022,draft_recency_hl8,extended_absence_brier_row,1080,-0.0003377089773098763
development_2017_2022,draft_recency_hl8,ppg_80_covered,1080,0.001851851851851852
development_2017_2022,draft_recency_hl8,contribution_80_covered,1080,-0.005555555555555556
development_2017_2022,draft_recency_hl8,played_80_covered,1080,-0.003703703703703704
development_2017_2022,draft_recency_hl8,weighted_season_gap,1080,-0.9030860252921541
development_2017_2022,draft_recency_hl8,weight_last3_seasons,1080,0.09967403334174349
development_2017_2022,draft_recency_hl8,weight_10plus_seasons,1080,-0.06391164484963836
development_2017_2022,draft_recency_hl8,effective_sample_size,1080,-4.0683749990320255
development_2017_2022,support_recency_hl8,ppg_crps,1080,8.744334345148022e-05
development_2017_2022,support_recency_hl8,contribution_crps,1080,0.006902618062479423
