player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
Jason Avant,3054,WR,15,PHI,333,54,16.2,302,90.7,49,16.2,30,1,364,1.21,2,3.2,61.2
Devery Henderson,1771,WR,16,NO,534,56,10.5,190,35.6,18,9.5,11,1,234,1.23,0,8.3,61.1
Patrick Crayton,1932,WR,16,DAL,445,68,15.3,284,63.8,43,15.1,26,4,375,1.32,2,13.3,60.5
Lavelle Hawkins,4440,WR,7,TEN,84,9,10.7,19,22.6,5,26.3,3,1,30,1.58,0,25.0,60.0
Harry Douglas,4398,WR,16,ATL,294,39,13.3,241,82.0,30,12.4,18,3,271,1.12,1,14.3,60.0
Matt Jones,2238,WR,12,JAX,421,103,24.5,34,8.1,5,14.7,3,0,58,1.71,0,0.0,60.0
Todd Heap,801,TE,16,BLT,356,58,16.3,104,29.2,15,14.4,9,2,143,1.38,0,18.2,60.0
Jeremy Shockey,1021,TE,12,NO,286,70,24.5,110,38.5,25,22.7,15,3,167,1.52,0,16.7,60.0
Mike Sims-Walker,3695,WR,9,JAX,148,29,19.6,33,22.3,5,15.2,3,1,28,0.85,0,25.0,60.0
Casey Fitzsimmons,1607,TE,13,DET,135,22,16.3,13,9.6,5,38.5,3,0,27,2.08,0,0.0,60.0
Mike Furrey,726,WR,9,DET,203,32,15.8,177,87.2,27,15.3,16,1,166,0.94,0,5.9,59.3
Anthony Fasano,2998,TE,16,MIA,356,49,13.8,139,39.0,27,19.4,16,2,227,1.63,2,11.1,59.3
Devin Hester,3002,WR,15,CHI,398,86,21.6,82,20.6,17,20.7,10,1,119,1.45,0,9.1,58.8
Amani Toomer,169,WR,16,NYG,466,87,18.7,217,46.6,36,16.6,21,4,222,1.02,3,16.0,58.3
Arnaz Battle,1499,WR,8,SF,179,39,21.8,144,80.4,36,25.0,21,3,288,2.00,0,12.5,58.3
Shaun McDonald,1418,WR,12,DET,323,60,18.6,163,50.5,26,16.0,15,2,117,0.72,0,11.8,57.7
Brandon Stokley,498,WR,15,DEN,326,80,24.5,276,84.7,68,24.6,39,5,437,1.58,2,11.4,57.4
Andre' Davis,1054,WR,12,HST,150,28,18.7,35,23.3,7,20.0,4,0,111,3.17,0,0.0,57.1
Antonio Bryant,1070,WR,16,TB,550,135,24.5,169,30.7,35,20.7,20,3,265,1.57,1,13.0,57.1
Brad Smith,3048,WR,15,NYJ,127,19,15.0,50,39.4,7,14.0,4,0,22,0.44,0,0.0,57.1
Nate Jackson,1259,TE,9,DEN,80,17,21.3,31,38.8,7,22.6,4,2,34,1.10,0,33.3,57.1
Devard Darling,1803,WR,15,KC,340,33,9.7,194,57.1,21,10.8,12,0,200,1.03,1,0.0,57.1
Dante Rosario,3771,TE,16,CAR,234,31,13.2,95,40.6,21,22.1,12,2,121,1.27,1,14.3,57.1
Jerramy Stevens,1035,TE,14,TB,319,56,17.6,43,13.5,7,16.3,4,0,26,0.60,0,0.0,57.1
Hank Baskett,3220,WR,14,PHI,299,51,17.1,131,43.8,18,13.7,10,2,97,0.74,0,16.7,55.6
Chris Cooley,1802,TE,16,WAS,460,106,23.0,88,19.1,11,12.5,6,1,65,0.74,0,14.3,54.5
Randy Moss,342,WR,16,NE,585,117,20.0,124,21.2,22,17.7,12,3,213,1.72,2,20.0,54.5
Muhsin Muhammad,173,WR,16,CAR,408,104,25.5,129,31.6,33,25.6,18,2,181,1.40,2,10.0,54.5
Zach Miller,3654,TE,16,OAK,374,82,21.9,64,17.1,13,20.3,7,2,101,1.58,0,22.2,53.8
Rashied Davis,2554,WR,15,CHI,375,62,16.5,193,51.5,26,13.5,14,5,166,0.86,2,26.3,53.8
Steve Heiden,481,TE,14,CLV,232,39,16.8,74,31.9,13,17.6,7,1,67,0.91,0,12.5,53.8
Brandon Marshall,3064,WR,15,DEN,598,177,29.6,153,25.6,43,28.1,23,5,267,1.75,2,17.9,53.5
Chris Chambers,821,WR,14,SD,404,57,14.1,147,36.4,19,12.9,10,0,114,0.78,1,0.0,52.6
Kellen Winslow,1727,TE,10,CLV,280,75,26.8,190,67.9,55,28.9,28,4,290,1.53,1,12.5,50.9
Craig Davis,3646,WR,3,SD,37,7,18.9,22,59.5,6,27.3,3,1,39,1.77,0,25.0,50.0
Michael Gaines,1946,TE,16,DET,199,30,15.1,13,6.5,2,15.4,1,1,6,0.46,0,50.0,50.0
Brandon Middleton,2123,WR,7,DET,31,3,9.7,18,58.1,2,11.1,1,1,23,1.28,0,50.0,50.0
Troy Williamson,2224,WR,8,JAX,77,13,16.9,20,26.0,2,10.0,1,0,10,0.50,1,0.0,50.0
Santonio Holmes,2970,WR,15,PIT,512,109,21.3,85,16.6,8,9.4,4,0,33,0.39,0,0.0,50.0
Dwayne Jarrett,3661,WR,9,CAR,136,16,11.8,48,35.3,4,8.3,2,1,15,0.31,0,33.3,50.0
Mark Jones,1922,WR,4,CAR,18,3,16.7,9,50.0,2,22.2,1,0,19,2.11,0,0.0,50.0
D.J. Hackett,1876,WR,8,CAR,112,26,23.2,28,25.0,12,42.9,6,0,95,3.39,0,0.0,50.0
Dallas Baker,3843,WR,5,PIT,17,2,11.8,16,94.1,2,12.5,1,1,6,0.38,0,50.0,50.0
Limas Sweed,4367,WR,10,PIT,66,10,15.2,9,13.6,2,22.2,1,0,10,1.11,0,0.0,50.0
Deion Branch,1072,WR,8,SEA,246,56,22.8,29,11.8,6,20.7,3,0,31,1.07,1,0.0,50.0
Nate Burleson,1386,WR,1,SEA,30,7,23.3,13,43.3,2,15.4,1,1,2,0.15,0,50.0,50.0
Roy Hall,3785,WR,1,IND,16,4,25.0,7,43.8,2,28.6,1,0,9,1.29,0,0.0,50.0
Keary Colbert,1783,WR,7,SEA,137,16,11.7,14,10.2,6,42.9,3,1,13,0.93,1,25.0,50.0
James Johnson,4634,HB,4,CIN,23,7,30.4,2,8.7,2,100.0,1,0,7,3.50,0,0.0,50.0
Dominic Rhodes,979,HB,15,IND,228,51,22.4,5,2.2,2,40.0,1,0,4,0.80,0,0.0,50.0
Robert Royal,1151,TE,15,BUF,301,51,16.9,66,21.9,12,18.2,6,1,91,1.38,0,14.3,50.0
Jerious Norwood,3024,HB,16,ATL,233,49,21.0,12,5.2,4,33.3,2,1,9,0.75,0,33.3,50.0
Ben Utecht,2199,TE,10,CIN,185,25,13.5,79,42.7,10,12.7,5,2,32,0.41,0,28.6,50.0
Aundrae Allison,3762,WR,15,MIN,164,20,12.2,51,31.1,6,11.8,3,0,29,0.57,0,0.0,50.0
Desmond Clark,529,TE,16,CHI,390,66,16.9,62,15.9,12,19.4,6,1,43,0.69,0,14.3,50.0
Steve Sanders,4189,WR,5,CLV,40,4,10.0,12,30.0,2,16.7,1,0,18,1.50,0,0.0,50.0
Steven Jackson,1745,HB,12,STR,249,55,22.1,19,7.6,4,21.1,2,0,74,3.89,0,0.0,50.0
Randy McMichael,1114,TE,4,STR,99,19,19.2,47,47.5,10,21.3,5,2,70,1.49,0,28.6,50.0
Brandon Lloyd,1436,WR,11,CHI,228,46,20.2,32,14.0,6,18.8,3,0,42,1.31,0,0.0,50.0
Dane Looker,755,WR,13,STR,296,45,15.2,213,72.0,32,15.0,16,3,207,0.97,1,15.8,50.0
