run_id,target_name,model_name,fold,trial,parameters_json,validation_score,selected,scheme,component,component_positions
m4a_position_specific_models_20260728T210010Z_4646fa7c,conditional_ppg,separate_projection_core_RB,3,2,"{""lgbm__colsample_bytree"":1.0,""lgbm__deterministic"":true,""lgbm__force_col_wise"":true,""lgbm__learning_rate"":0.03,""lgbm__max_depth"":3,""lgbm__min_child_samples"":40,""lgbm__n_estimators"":200,""lgbm__num_leaves"":7,""lgbm__reg_lambda"":1.0,""lgbm__subsample"":1.0}",1248.8106144044648,0,separate,RB,RB
m4a_position_specific_models_20260728T210010Z_4646fa7c,conditional_ppg,separate_projection_core_RB,3,3,"{""lgbm__colsample_bytree"":1.0,""lgbm__deterministic"":true,""lgbm__force_col_wise"":true,""lgbm__learning_rate"":0.05,""lgbm__max_depth"":4,""lgbm__min_child_samples"":20,""lgbm__n_estimators"":100,""lgbm__num_leaves"":7,""lgbm__reg_lambda"":1.0,""lgbm__subsample"":1.0}",1244.7232300311282,1,separate,RB,RB
m4a_position_specific_models_20260728T210010Z_4646fa7c,conditional_ppg,separate_projection_core_RB,4,0,"{""lgbm__colsample_bytree"":1.0,""lgbm__deterministic"":true,""lgbm__force_col_wise"":true,""lgbm__learning_rate"":0.05,""lgbm__max_depth"":4,""lgbm__min_child_samples"":20,""lgbm__n_estimators"":200,""lgbm__num_leaves"":15,""lgbm__reg_lambda"":5.0,""lgbm__subsample"":1.0}",1338.2786519970325,0,separate,RB,RB
m4a_position_specific_models_20260728T210010Z_4646fa7c,conditional_ppg,separate_projection_core_RB,4,1,"{""lgbm__colsample_bytree"":1.0,""lgbm__deterministic"":true,""lgbm__force_col_wise"":true,""lgbm__learning_rate"":0.05,""lgbm__max_depth"":3,""lgbm__min_child_samples"":40,""lgbm__n_estimators"":100,""lgbm__num_leaves"":15,""lgbm__reg_lambda"":5.0,""lgbm__subsample"":1.0}",1285.1283358331434,1,separate,RB,RB
m4a_position_specific_models_20260728T210010Z_4646fa7c,conditional_ppg,separate_projection_core_RB,4,2,"{""lgbm__colsample_bytree"":1.0,""lgbm__deterministic"":true,""lgbm__force_col_wise"":true,""lgbm__learning_rate"":0.05,""lgbm__max_depth"":3,""lgbm__min_child_samples"":20,""lgbm__n_estimators"":200,""lgbm__num_leaves"":15,""lgbm__reg_lambda"":5.0,""lgbm__subsample"":1.0}",1313.6820226401467,0,separate,RB,RB
m4a_position_specific_models_20260728T210010Z_4646fa7c,conditional_ppg,separate_projection_core_RB,4,3,"{""lgbm__colsample_bytree"":1.0,""lgbm__deterministic"":true,""lgbm__force_col_wise"":true,""lgbm__learning_rate"":0.03,""lgbm__max_depth"":3,""lgbm__min_child_samples"":40,""lgbm__n_estimators"":200,""lgbm__num_leaves"":15,""lgbm__reg_lambda"":5.0,""lgbm__subsample"":1.0}",1288.5071232651321,0,separate,RB,RB
m4a_position_specific_models_20260728T210010Z_4646fa7c,conditional_ppg,separate_projection_core_WR,0,0,"{""lgbm__colsample_bytree"":1.0,""lgbm__deterministic"":true,""lgbm__force_col_wise"":true,""lgbm__learning_rate"":0.03,""lgbm__max_depth"":4,""lgbm__min_child_samples"":20,""lgbm__n_estimators"":100,""lgbm__num_leaves"":7,""lgbm__reg_lambda"":1.0,""lgbm__subsample"":1.0}",1021.2179039892417,0,separate,WR,WR
m4a_position_specific_models_20260728T210010Z_4646fa7c,conditional_ppg,separate_projection_core_WR,0,1,"{""lgbm__colsample_bytree"":1.0,""lgbm__deterministic"":true,""lgbm__force_col_wise"":true,""lgbm__learning_rate"":0.03,""lgbm__max_depth"":4,""lgbm__min_child_samples"":40,""lgbm__n_estimators"":200,""lgbm__num_leaves"":7,""lgbm__reg_lambda"":1.0,""lgbm__subsample"":1.0}",1010.4678819933683,1,separate,WR,WR
m4a_position_specific_models_20260728T210010Z_4646fa7c,conditional_ppg,separate_projection_core_WR,0,2,"{""lgbm__colsample_bytree"":1.0,""lgbm__deterministic"":true,""lgbm__force_col_wise"":true,""lgbm__learning_rate"":0.05,""lgbm__max_depth"":4,""lgbm__min_child_samples"":40,""lgbm__n_estimators"":100,""lgbm__num_leaves"":15,""lgbm__reg_lambda"":5.0,""lgbm__subsample"":1.0}",1017.8096635137914,0,separate,WR,WR
m4a_position_specific_models_20260728T210010Z_4646fa7c,conditional_ppg,separate_projection_core_WR,0,3,"{""lgbm__colsample_bytree"":1.0,""lgbm__deterministic"":true,""lgbm__force_col_wise"":true,""lgbm__learning_rate"":0.05,""lgbm__max_depth"":3,""lgbm__min_child_samples"":20,""lgbm__n_estimators"":100,""lgbm__num_leaves"":7,""lgbm__reg_lambda"":1.0,""lgbm__subsample"":1.0}",1018.3761897844337,0,separate,WR,WR
