matcher,season,player,pos,pool_raw_residual_mean,pool_residual_sd,model_residual_sd,pool_zero_active_probability,pool_expected_active_games
beta_scored_ppg_rank_w050,2019,Duke Johnson,RB,-1.2041316210878832,4.45110494959583,3.3561276494778203,0.01244955830184207,11.750831261254321
beta_scored_ppg_rank_w050,2019,Ezekiel Elliott,RB,-0.6179777669277295,5.060219071153625,4.159957635096105,0.0,13.046196429268548
beta_scored_ppg_rank_w050,2019,Frank Gore,RB,0.8179508385173102,3.3869868005927226,3.1635817227853336,0.0,11.828987019852248
beta_scored_ppg_rank_w050,2019,Giovani Bernard,RB,0.02284678353449418,3.253334270931585,3.1823433791799802,0.02608582818883808,11.913909582665054
beta_scored_ppg_rank_w050,2019,Gus Edwards,RB,1.7135475949591252,3.9258847420900023,3.752779936037972,0.0,10.74749313578186
beta_scored_ppg_rank_w050,2019,Ito Smith,RB,0.07001824686838468,3.360411709082872,3.840793713676514,0.007243051436775714,12.043139084625174
beta_scored_ppg_rank_w050,2019,Jalen Richard,RB,0.2735305253734482,3.673379090681494,3.821747659676644,0.03623878259078906,12.150056243391852
beta_scored_ppg_rank_w050,2019,Jamaal Williams,RB,0.15373592769312314,3.559138140117402,3.791806720743504,0.027541459016903823,11.774339861434905
beta_scored_ppg_rank_w050,2019,James Conner,RB,-0.40200983794421097,5.3181046168796655,4.159541215939317,0.0,12.401676556775294
beta_scored_ppg_rank_w050,2019,James White,RB,-1.2018191143294144,3.3802211711612182,3.330967178680618,0.0,11.864323272877451
beta_scored_ppg_rank_w050,2019,Jaylen Samuels,RB,0.31354553970979304,3.670879348290215,3.8530473048061626,0.009311270188078586,12.139423149322523
beta_scored_ppg_rank_w050,2019,Joe Mixon,RB,-0.8724827043354062,5.076247354540187,4.144497703263839,0.0,12.709655111446121
beta_scored_ppg_rank_w050,2019,Jordan Howard,RB,-0.43712709367753305,3.7887950565871478,3.9390009916580064,0.0,11.395453244255688
beta_scored_ppg_rank_w050,2019,Jordan Wilkins,RB,1.7951192179943143,2.953033457546368,3.649203628581858,0.0065030079499270475,9.058637300920976
beta_scored_ppg_rank_w050,2019,Josh Jacobs,RB,-0.8806795741061479,4.501112235872164,4.16464448874539,0.0,11.952366787582584
beta_scored_ppg_rank_w050,2019,Justice Hill,RB,0.5007170104031371,3.694524867201823,3.79239913589791,0.007413864766432268,12.263661332392603
beta_scored_ppg_rank_w050,2019,Justin Jackson,RB,1.0434620212678634,3.820534583560657,3.812706335109715,0.00814083877723062,11.84376755291002
beta_scored_ppg_rank_w050,2019,Kalen Ballage,RB,-0.09701546877940194,3.962550088802319,3.8958286861256903,0.0,12.168106091360317
beta_scored_ppg_rank_w050,2019,Kareem Hunt,RB,-0.14315330321007882,3.580943281301523,3.8689144996887976,0.009097616614797945,11.678381506316756
beta_scored_ppg_rank_w050,2019,Kenjon Barner,RB,1.4598503560750906,3.6290642214679627,3.0724887536194423,0.022025761641310954,8.826134282033697
beta_scored_ppg_rank_w050,2019,Kenyan Drake,RB,-1.5172727260076457,4.310907387941705,4.072967012713744,0.010917295269606643,11.855161228359055
beta_scored_ppg_rank_w050,2019,Kerryon Johnson,RB,0.17138223999756652,5.539931710523262,4.151751761608189,0.0,12.367728243590484
beta_scored_ppg_rank_w050,2019,Kyle Juszczyk,RB,0.8975272100507539,3.5031195870701235,3.218775339152693,0.053254833279106004,10.554669871229525
beta_scored_ppg_rank_w050,2019,Latavius Murray,RB,0.10584278985453276,3.1221905112346904,3.2876214670823463,0.0,12.49602408109491
beta_scored_ppg_rank_w050,2019,Le'Veon Bell,RB,-0.790837033961576,4.649235802722952,3.4408408805092545,0.010732398008541042,12.668572729852611
beta_scored_ppg_rank_w050,2019,Leonard Fournette,RB,-0.6572815751955979,5.178875358148937,4.151490034095648,0.0,12.525697169705218
beta_scored_ppg_rank_w050,2019,Lesean Mccoy,RB,0.1479746100385378,3.2100598168760492,3.2671580491152423,0.0,12.085158745971016
beta_scored_ppg_rank_w050,2019,Malcolm Brown,RB,1.7061997175661339,3.6238811943170277,3.6461585458363093,0.0,10.65123018187466
beta_scored_ppg_rank_w050,2019,Mark Ingram,RB,-0.7996272327119065,3.9651343685593448,3.380928479047301,0.012937096617446518,12.56311611432019
beta_scored_ppg_rank_w050,2019,Marlon Mack,RB,-0.6983718659988818,3.5206003457434734,3.603432168003913,0.0,12.361718799278385
beta_scored_ppg_rank_w050,2019,Matt Breida,RB,-0.7611730223940019,4.057362364242394,3.9789050367726366,0.0,11.749861370368775
beta_scored_ppg_rank_w050,2019,Melvin Gordon,RB,-1.77980034195889,3.800864215924457,3.3991227423086907,0.008327167377663827,11.516628905840996
beta_scored_ppg_rank_w050,2019,Mike Boone,RB,1.4948054241670297,2.7571141139232056,3.649180995314666,0.03356222717046262,8.66090301085886
beta_scored_ppg_rank_w050,2019,Mike Davis,RB,1.308623120609416,3.528972712317533,3.1222743546148757,0.017306163100751264,11.18826402054937
beta_scored_ppg_rank_w050,2019,Miles Sanders,RB,-1.4579689724827927,4.083863968452522,4.101803330939214,0.0,12.066243312870991
beta_scored_ppg_rank_w050,2019,Myles Gaskin,RB,1.430426971203825,2.8010719961573494,3.5395295436990217,0.020902464741720424,8.584940657850822
beta_scored_ppg_rank_w050,2019,Nick Chubb,RB,-0.7330342238794725,5.043509300746534,4.122667743420275,0.0,12.221989045868842
beta_scored_ppg_rank_w050,2019,Nyheim Hines,RB,0.068728872683381,3.77125461746494,3.892776407234062,0.008990865956048075,12.025558136497063
beta_scored_ppg_rank_w050,2019,Patrick Dimarco,RB,1.0692017264150202,2.9987338715326644,2.996001810929855,0.07784057624050604,7.910275415111437
beta_scored_ppg_rank_w050,2019,Peyton Barber,RB,-0.11126976078665145,4.1903921585983985,3.8963428590360767,0.0,11.440582189145012
beta_scored_ppg_rank_w050,2019,Phillip Lindsay,RB,-1.3116921141418643,4.150095670207486,4.103128810500392,0.0,11.857181531664075
beta_scored_ppg_rank_w050,2019,Raheem Mostert,RB,1.5696493120119,2.89605907453007,3.6513960998296358,0.007507350679155854,9.475824639412739
beta_scored_ppg_rank_w050,2019,Rashaad Penny,RB,-0.290806378022252,3.979792688038396,3.4271249172352745,0.0,12.069394912861776
beta_scored_ppg_rank_w050,2019,Rex Burkhead,RB,1.0384359907610192,3.414190591103346,3.1164411823879683,0.028980980163323556,10.89050445243775
beta_scored_ppg_rank_w050,2019,Ronald Jones,RB,0.31518615332797206,3.8833178513292297,3.8618409996967986,0.0,11.976558646226938
beta_scored_ppg_rank_w050,2019,Royce Freeman,RB,0.21723414548010767,3.9238341797260503,3.916193423425894,0.0,11.8068298202117
beta_scored_ppg_rank_w050,2019,Ryquell Armstead,RB,0.6210981538605174,3.3375065823762258,2.968043283030966,0.0,11.361538574308177
beta_scored_ppg_rank_w050,2019,Saquon Barkley,RB,-0.7175945579404921,5.198614123211832,3.75071707564497,0.0,13.34616310739931
beta_scored_ppg_rank_w050,2019,Sony Michel,RB,-1.1664312522139397,3.870770829464679,4.023585158031137,0.0,12.065817144424075
beta_scored_ppg_rank_w050,2019,Tarik Cohen,RB,-0.7073719439768392,3.569579934730094,3.45307639194458,0.005854430250876802,12.425172122666947
beta_scored_ppg_rank_w050,2019,Tevin Coleman,RB,-1.4970519264703017,3.8915590771694863,3.3490414447075647,0.0,11.210986925700105
beta_scored_ppg_rank_w050,2019,Theo Riddick,RB,0.9539436608914311,3.591640200485414,2.808069337936937,0.038597747706964086,10.804198942065442
beta_scored_ppg_rank_w050,2019,Todd Gurley,RB,-0.6284804598449353,4.948073373848171,3.441168368614585,0.010810250737471846,12.00756227927575
beta_scored_ppg_rank_w050,2019,Tony Pollard,RB,0.6448009770335152,3.4691836322403966,3.7727481696237817,0.0,12.221841284452212
beta_scored_ppg_rank_w050,2019,Ty Johnson,RB,1.1546999902498083,3.233418521908801,3.550316243401264,0.018851154211014062,9.731898848014495
beta_scored_ppg_rank_w050,2019,Ty Montgomery,RB,0.11613675011807556,3.124876294763291,3.1015423380347213,0.032245292668322566,11.324828078966355
beta_scored_ppg_rank_w050,2019,Wayne Gallman,RB,1.04966284595103,2.742065985402473,3.62278957148728,0.0,10.139085776754062
beta_scored_ppg_rank_w050,2019,Adam Shaheen,TE,-0.13376919992792954,2.1723160097119685,2.433247898397527,0.02048605079033971,9.769621398554886
beta_scored_ppg_rank_w050,2019,Austin Hooper,TE,-1.3379518362937013,3.0145378292384133,2.4352427976271893,0.0,12.72395825076581
beta_scored_ppg_rank_w050,2019,Blake Jarwin,TE,-0.20533938949406402,2.193620334638443,2.1163915720341957,0.011643118375988378,10.560026236219915
beta_scored_ppg_rank_w050,2019,Cameron Brate,TE,-0.8163619026162915,2.1275363367880398,2.433557126277636,0.0,11.295673848338058
beta_scored_ppg_rank_w050,2019,Charles Clay,TE,-0.30572996165056354,1.7428578313951417,2.433247898397527,0.0,11.10745761787957
