league,method,tier,period,n,ppg_crps_delta,ppg_crps_relative_delta,contribution_crps_relative_delta,played_crps_relative_delta,abs_played_bias_degradation,abs_extended_absence_calibration_degradation,ppg_80_coverage_delta
beta,usage_air_value_w100,core_main_qb1,temporal_2023_2025,358,0.0002592111269803521,0.00013040325553714815,0.0007108079532627265,-0.0013340156084462595,0.002947504824520615,0.0013513776141315381,-0.008379888268156499
beta,usage_air_value_w100,core_strict,development_2017_2022,504,-0.0003006449679847645,-0.00015610056977088949,-0.00021760605270104705,0.000613495879448811,0.0007727076467158867,-0.0004278891983049843,0.0
beta,usage_air_value_w100,core_strict,temporal_2023_2025,252,0.0008384854622764948,0.0004490711744351561,0.0004992792461386841,-0.0023317136380003323,-0.0007071912898910793,0.0013439390444940913,0.0
beta,usage_air_value_w100,depth_main,development_2017_2022,1039,0.000567020197365542,0.0003430381433193741,0.00023546748783043192,-0.0004917205526036028,-0.007351666065837759,-0.0007105908070003109,0.0009624639076034613
beta,usage_air_value_w100,depth_main,temporal_2023_2025,528,-3.553505522280176e-06,-1.931692077294933e-06,-0.0005321262456756681,-0.0007783702585844043,0.006262251331713303,0.0008730742923379053,0.0018939393939393367
dk,usage_air_value_w100,core_broad,development_2017_2022,936,0.0006611306460659883,0.0002729360777606882,0.00010670962472714152,-0.00040881761088584767,0.0011886511656446358,-0.0003401893021418162,0.002136752136752129
dk,usage_air_value_w100,core_broad,temporal_2023_2025,468,-0.0037972679905364792,-0.0015985447687896226,-0.0007599792919652515,-1.89658754923272e-06,0.00028677985370102396,0.0005735106755676705,-0.004273504273504258
dk,usage_air_value_w100,core_main,development_2017_2022,720,0.0013563042943256498,0.0005425982781805949,0.00025138795641832523,-0.00030668772742969974,0.0023407348493364177,-0.0003910599784530677,0.004166666666666652
dk,usage_air_value_w100,core_main,temporal_2023_2025,360,-0.004327500134067908,-0.0017704328232126532,-0.0007555965050668467,-0.001063174545621326,0.00246244316066508,0.0009139564757568164,-0.002777777777777879
dk,usage_air_value_w100,core_main_qb1,development_2017_2022,718,0.001360082300716492,0.0005449629405749334,0.00025175216639494735,-0.0003076971215978386,0.002347255002120116,-0.0003921492820141842,0.004178272980501441
dk,usage_air_value_w100,core_main_qb1,temporal_2023_2025,358,-0.004351676112470226,-0.001797484794827997,-0.0007574181488562148,-0.0010727650775989028,0.0024761998263671745,0.0009190623778560225,-0.0027932960893854997
dk,usage_air_value_w100,core_strict,development_2017_2022,504,0.0020188454501406383,0.000765075870299059,0.0005762741599606436,-0.00098300038796717,0.0017316358024172251,-0.00041692904901986794,0.005952380952380931
dk,usage_air_value_w100,core_strict,temporal_2023_2025,252,-0.0034345246889353476,-0.0014373435730852258,-0.0008301032237947314,-0.0012189171482037686,-0.004369166616566389,0.0013708312899738118,-0.003968253968254065
dk,usage_air_value_w100,depth_main,development_2017_2022,1039,-0.0005339426060921859,-0.00027814925292546366,-0.0004917650229426807,-0.000278883190277468,-0.010597143202340314,-0.0014204861512888134,0.0009624639076035724
dk,usage_air_value_w100,depth_main,temporal_2023_2025,528,-0.0002869595393693025,-0.00014218620158013007,-0.00024102949303994592,-0.00010169916536828527,0.007893750274853492,0.0009866334484058825,-0.0018939393939394478
beta,usage_depth_w100,core_broad,development_2017_2022,936,0.0002156615100725734,0.00011266759436923124,-0.00026253875980208896,0.0004545520441334716,0.0019455630295697468,-0.0007645324324750402,0.00213675213675224
beta,usage_depth_w100,core_broad,temporal_2023_2025,468,0.0011379371437676422,0.0005732979782568925,0.0013441235147109154,-0.000521465053806125,-0.00557730732425251,-0.0017058585775206053,0.004273504273504369
beta,usage_depth_w100,core_main,development_2017_2022,720,0.00024479409997280044,0.00012666269877703584,-0.0003691998692980647,0.0005769740340315632,0.005344528201646381,-0.0010182558293355404,0.002777777777777768
beta,usage_depth_w100,core_main,temporal_2023_2025,360,0.000836223221874377,0.00041535970558248536,0.0011037843094232613,-0.001228224416715884,0.006727697018744372,0.0016916740830686117,0.002777777777777768
beta,usage_depth_w100,core_main_qb1,development_2017_2022,718,0.00024547597768864726,0.0001270614299095918,-0.00037008100352187157,0.0005788564502273719,0.005359415466831996,-0.001021092196548154,0.002785515320334331
beta,usage_depth_w100,core_main_qb1,temporal_2023_2025,358,0.0008408948599856192,0.0004230351859659809,0.0011074149685841306,-0.0012391206618920236,0.006765281918290393,0.001701124776270102,0.0027932960893853886
beta,usage_depth_w100,core_strict,development_2017_2022,504,0.00040737426493642204,0.00021151644510419843,8.274239659877836e-06,0.0010093543677882622,0.0051062350638929055,-0.0007798356854570865,0.001984126984127088
beta,usage_depth_w100,core_strict,temporal_2023_2025,252,0.0008835170022487571,0.00047318890509573386,0.0005411430348480906,-0.0034523937530337445,-0.005019500552157333,0.0018353049368571572,0.003968253968253954
beta,usage_depth_w100,depth_main,development_2017_2022,1039,-0.00040717427583025767,-0.0002463339193863323,0.00026686744191195544,0.000998675978411967,-0.009326094295655951,-0.000928306431981496,0.0
beta,usage_depth_w100,depth_main,temporal_2023_2025,528,0.00035471214888427305,0.00019282217050564654,-0.0002593309041559744,0.00047548438475764065,0.008121172807894275,0.0012455267965913452,0.0018939393939393367
