variant,method,slice_type,slice_value,n_rows,n_seasons,rmse
rank_level,equal_thirds,history_depth,rookie,518,9,3.2376209578347073
rank_level,equal_thirds,history_depth,second_year,558,9,2.926763611962712
rank_level,equal_thirds,history_depth,veteran_with_history,2523,9,2.799787901223684
rank_level,lasso,pooled,all,3622,9,2.9467126629320193
rank_level,lasso,recent,2023_2025,1226,3,2.956396696973353
rank_level,lasso,season,2017,402,1,2.9428357954806232
rank_level,lasso,season,2018,365,1,3.109275486649218
rank_level,lasso,season,2019,385,1,3.032847917994127
rank_level,lasso,season,2020,409,1,3.1258357604860145
rank_level,lasso,season,2021,413,1,2.8444250576127383
rank_level,lasso,season,2022,422,1,2.5967082623315743
rank_level,lasso,season,2023,404,1,3.003156700846197
rank_level,lasso,season,2024,406,1,2.9931143885307288
rank_level,lasso,season,2025,416,1,2.873403931894329
rank_level,lasso,position,QB,306,8,4.161411143102526
rank_level,lasso,position,RB,1011,9,3.345916946495831
rank_level,lasso,position,TE,802,9,2.0418056671850175
rank_level,lasso,position,WR,1503,9,2.764824714141238
rank_level,lasso,history_depth,other_no_history,23,7,2.210823902420461
rank_level,lasso,history_depth,rookie,518,9,3.3159920796993054
rank_level,lasso,history_depth,second_year,558,9,2.9751158151746924
rank_level,lasso,history_depth,veteran_with_history,2523,9,2.864558317633438
rank_level,lightgbm,pooled,all,3622,9,2.908507255206145
rank_level,lightgbm,recent,2023_2025,1226,3,2.9170833724473795
rank_level,lightgbm,season,2017,402,1,2.915650270076795
rank_level,lightgbm,season,2018,365,1,3.041764824642846
rank_level,lightgbm,season,2019,385,1,2.937139359940378
rank_level,lightgbm,season,2020,409,1,3.0902773764027875
rank_level,lightgbm,season,2021,413,1,2.8026704721894826
rank_level,lightgbm,season,2022,422,1,2.640240977119504
rank_level,lightgbm,season,2023,404,1,2.980889009838087
rank_level,lightgbm,season,2024,406,1,3.007261807349891
rank_level,lightgbm,season,2025,416,1,2.7608877810384262
rank_level,lightgbm,position,QB,306,8,4.029845662550283
rank_level,lightgbm,position,RB,1011,9,3.312794826734597
rank_level,lightgbm,position,TE,802,9,2.045277492253123
rank_level,lightgbm,position,WR,1503,9,2.7322815499592745
rank_level,lightgbm,history_depth,other_no_history,23,7,2.2935787599286983
rank_level,lightgbm,history_depth,rookie,518,9,3.2316950202847465
rank_level,lightgbm,history_depth,second_year,558,9,2.9536370086460835
rank_level,lightgbm,history_depth,veteran_with_history,2523,9,2.832426172278402
rank_level,random_forest,pooled,all,3622,9,2.89564262120181
rank_level,random_forest,recent,2023_2025,1226,3,2.903571884093858
rank_level,random_forest,season,2017,402,1,2.8755832730720763
rank_level,random_forest,season,2018,365,1,3.0154134438483107
rank_level,random_forest,season,2019,385,1,2.936371066801196
rank_level,random_forest,season,2020,409,1,3.0999171140381763
rank_level,random_forest,season,2021,413,1,2.78021518473339
rank_level,random_forest,season,2022,422,1,2.6432088021341307
rank_level,random_forest,season,2023,404,1,2.9741097657754523
rank_level,random_forest,season,2024,406,1,2.990210430697632
rank_level,random_forest,season,2025,416,1,2.7440364540982936
