year,player,player_key,pos,target_feature_match,pool_size,min_donor_season,max_donor_season,zero_active_share,mean_distance,max_donor_is_causal
2022,Isiah Pacheco,isiahpacheco,RB,True,80,2008,2021,0.0,0.7924834715681744,True
2022,Jacoby Brissett,jacobybrissett,QB,True,80,2008,2021,0.05,1.8024255684385992,True
2022,Jakobi Meyers,jakobimeyers,WR,True,80,2008,2021,0.0,0.6182936781843281,True
2022,Jalen Guyton,jalenguyton,WR,False,80,2008,2021,0.0,1.306484406503079,True
2022,Jalen Hurts,jalenhurts,QB,True,80,2008,2021,0.0125,1.1026104900435156,True
2022,Jalen Tolbert,jalentolbert,WR,False,80,2008,2021,0.0,1.5332403815018278,True
2022,Jamaal Williams,jamaalwilliams,RB,True,80,2008,2021,0.0,1.0579775741403572,True
2022,Jamarr Chase,jamarrchase,WR,True,80,2008,2021,0.0,0.6191671637050964,True
2022,James Conner,jamesconner,RB,True,80,2008,2021,0.0,0.8779248040951184,True
2022,James Cook,jamescook,RB,True,80,2008,2021,0.0,1.0239784977310673,True
2022,Jameson Williams,jamesonwilliams,WR,True,80,2008,2021,0.0,0.4156101268044953,True
2022,James Proche,jamesproche,WR,True,80,2008,2021,0.0,0.3640375934760885,True
2022,James Robinson,jamesrobinson,RB,True,80,2008,2021,0.0,0.7759953498153765,True
2022,James Washington,jameswashington,WR,False,80,2008,2021,0.0,1.3387197664301318,True
2022,Jamison Crowder,jamisoncrowder,WR,True,80,2008,2021,0.0,0.8342671854836567,True
2022,Jared Goff,jaredgoff,QB,True,80,2008,2021,0.0,1.1192273284606375,True
2022,Jarvis Landry,jarvislandry,WR,True,80,2008,2021,0.0,0.7836920454894813,True
2022,Jauan Jennings,jauanjennings,WR,True,80,2008,2021,0.0,0.37812905725522483,True
2022,Javonte Williams,javontewilliams,RB,True,80,2008,2021,0.0,0.7166873410707258,True
2022,Jaylen Waddle,jaylenwaddle,WR,True,80,2008,2021,0.0,0.5124008430873067,True
2022,Jelani Woods,jelaniwoods,TE,False,80,2008,2021,0.0,1.5752931763587994,True
2022,Jeremy Ruckert,jeremyruckert,TE,False,80,2008,2021,0.0,1.6751635405390766,True
2022,Jerick Mckinnon,jerickmckinnon,RB,True,80,2008,2021,0.0,1.3103121004988056,True
2022,Jerome Ford,jeromeford,RB,False,80,2008,2021,0.0,2.2257630474588104,True
2022,Jerry Jeudy,jerryjeudy,WR,True,80,2008,2021,0.0,0.5308549988918876,True
2022,Jimmy Garoppolo,jimmygaroppolo,QB,True,80,2009,2021,0.025,1.666365332071425,True
2022,Jk Dobbins,jkdobbins,RB,True,80,2008,2021,0.0,0.770718735887909,True
2022,Joe Burrow,joeburrow,QB,True,80,2008,2021,0.0,0.9240447566506994,True
2022,Joe Mixon,joemixon,RB,True,80,2008,2021,0.0,0.8412521838452095,True
2022,John Metchie,johnmetchie,WR,False,80,2008,2021,0.0,1.5509307308248572,True
2022,Jonathan Taylor,jonathantaylor,RB,True,80,2008,2021,0.0,0.9100864210953713,True
2022,Jonnu Smith,jonnusmith,TE,True,80,2008,2021,0.0,0.7486865389837828,True
2022,Josh Allen,joshallen,QB,True,80,2008,2021,0.0,1.2766121935969732,True
2022,Josh Jacobs,joshjacobs,RB,True,80,2008,2021,0.0,0.7942736079996857,True
2022,Joshua Palmer,joshuapalmer,WR,True,80,2008,2021,0.0,0.4741616752336446,True
2022,Josiah Deguara,josiahdeguara,TE,False,80,2008,2021,0.0,1.640418093250838,True
2022,Juju Smith Schuster,jujusmithschuster,WR,True,80,2008,2021,0.0,0.565017696498389,True
2022,Justin Fields,justinfields,QB,True,80,2008,2021,0.0,1.007192100205227,True
2022,Justin Herbert,justinherbert,QB,True,80,2008,2021,0.0,1.0176587879103827,True
2022,Justin Jefferson,justinjefferson,WR,True,80,2008,2021,0.0,0.5216560440518389,True
2022,Kadarius Toney,kadariustoney,WR,True,80,2008,2021,0.0,0.4358524677876007,True
2022,Kareem Hunt,kareemhunt,RB,True,80,2008,2021,0.0,1.0262609594991552,True
2022,Keaontay Ingram,keaontayingram,RB,False,80,2008,2021,0.0,2.1582661586459766,True
2022,Keenan Allen,keenanallen,WR,True,80,2008,2021,0.0,0.696226126916156,True
2022,Kendrick Bourne,kendrickbourne,WR,True,80,2008,2021,0.0,0.46042817606532316,True
2022,Kenneth Gainwell,kennethgainwell,RB,True,80,2008,2021,0.0,0.7556186124256745,True
2022,Kenneth Walker,kennethwalker,RB,True,80,2008,2021,0.0,0.85643266542611,True
2022,Kenny Golladay,kennygolladay,WR,True,80,2008,2021,0.0,0.6089591892993396,True
2022,Kenny Pickett,kennypickett,QB,True,80,2008,2021,0.175,1.8207370735815644,True
2022,Kenyan Drake,kenyandrake,RB,True,80,2008,2021,0.0,1.1860216545475208,True
2022,Keshawn Vaughn,keshawnvaughn,RB,True,80,2008,2021,0.0,0.6987360509360153,True
2022,Khalil Herbert,khalilherbert,RB,True,80,2008,2021,0.0,0.6449252368521627,True
2022,Khalil Shakir,khalilshakir,WR,True,80,2008,2021,0.0,0.5268043079474438,True
2022,Kirk Cousins,kirkcousins,QB,True,80,2010,2021,0.0125,0.9996587593958968,True
2022,Kj Osborn,kjosborn,WR,True,80,2008,2021,0.0,0.48259502945373534,True
2022,Kyle Philips,kylephilips,WR,True,80,2008,2021,0.0,0.4409012733995404,True
2022,Kyle Pitts,kylepitts,TE,True,80,2008,2021,0.0,1.0593620097884062,True
2022,Kyler Murray,kylermurray,QB,True,80,2008,2021,0.0,1.0414271724050397,True
2022,Kyren Williams,kyrenwilliams,RB,True,80,2008,2021,0.0,0.5415844768172189,True
2022,Lamar Jackson,lamarjackson,QB,True,80,2008,2021,0.0125,1.410227441649591,True
2022,Laviska Shenault,laviskashenault,WR,True,80,2008,2021,0.0,0.4608784363460507,True
2022,Leonard Fournette,leonardfournette,RB,True,80,2008,2021,0.0,0.8592931623442546,True
2022,Mac Jones,macjones,QB,True,80,2008,2021,0.0,1.0386179615261497,True
2022,Malik Willis,malikwillis,QB,False,80,2008,2021,0.2875,4.050294449793699,True
2022,Mark Andrews,markandrews,TE,True,80,2008,2021,0.0,0.8279394394112407,True
2022,Mark Ingram,markingram,RB,True,80,2008,2021,0.0,1.1251974716723712,True
2022,Marquez Callaway,marquezcallaway,WR,True,80,2008,2021,0.0,0.4823806106019356,True
2022,Marquez Valdes Scantling,marquezvaldesscantling,WR,True,80,2008,2021,0.0,0.6901605852259,True
2022,Marquise Brown,marquisebrown,WR,True,80,2008,2021,0.0,0.4552773724656907,True
2022,Marvin Jones,marvinjones,WR,True,80,2008,2021,0.0,0.7467188995766083,True
2022,Matt Breida,mattbreida,RB,True,80,2008,2021,0.0,1.1121796569827633,True
2022,Matt Corral,mattcorral,QB,False,80,2008,2021,0.2875,4.0864241115735975,True
2022,Matthew Stafford,matthewstafford,QB,True,80,2008,2021,0.0,1.0039959691525477,True
2022,Matt Ryan,mattryan,QB,True,80,2010,2021,0.0125,1.046372190034328,True
2022,Mecole Hardman,mecolehardman,WR,True,80,2008,2021,0.0,0.5993304542669498,True
2022,Melvin Gordon,melvingordon,RB,True,80,2008,2021,0.0,1.0493871880922452,True
2022,Michael Carter,michaelcarter,RB,True,80,2008,2021,0.0,0.7764199193345716,True
2022,Michael Gallup,michaelgallup,WR,True,80,2008,2021,0.0,0.5826164388439707,True
2022,Michael Pittman,michaelpittman,WR,True,80,2008,2021,0.0,0.405258758225277,True
2022,Mike Davis,mikedavis,RB,True,80,2008,2021,0.0,1.1378358217022702,True
2022,Mike Evans,mikeevans,WR,True,80,2008,2021,0.0,0.6715377250155783,True
2022,Mike Gesicki,mikegesicki,TE,True,80,2008,2021,0.0,0.6914577887073374,True
2022,Mike Williams,mikewilliams,WR,True,80,2008,2021,0.0,0.5198499232645087,True
2022,Miles Sanders,milessanders,RB,True,80,2008,2021,0.0,0.7928286984206298,True
2022,Mo Alie Cox,moaliecox,TE,True,80,2008,2021,0.0,0.6900621075476445,True
2022,Myles Gaskin,mylesgaskin,RB,False,80,2008,2021,0.0,1.268062988018817,True
2022,Najee Harris,najeeharris,RB,True,80,2008,2021,0.0,0.8263123591277616,True
2022,Nelson Agholor,nelsonagholor,WR,True,80,2008,2021,0.0,0.8075899143069906,True
2022,Nick Chubb,nickchubb,RB,True,80,2008,2021,0.0,0.940243436730451,True
2022,Nick Westbrook Ikhine,nickwestbrookikhine,WR,True,80,2008,2021,0.0,0.45342030181070436,True
2022,Nico Collins,nicocollins,WR,True,80,2008,2021,0.0,0.4986648122463041,True
2022,Noah Fant,noahfant,TE,True,80,2008,2021,0.0,0.8141178872169881,True
2022,Nyheim Hines,nyheimhines,RB,True,80,2008,2021,0.0,1.105884154025755,True
2022,Oj Howard,ojhoward,TE,False,80,2008,2021,0.0,1.1963392463362306,True
2022,Olamide Zaccheaus,olamidezaccheaus,WR,True,80,2008,2021,0.0,0.47485448527603624,True
2022,Pat Freiermuth,patfreiermuth,TE,True,80,2008,2021,0.0,0.7940100526468872,True
2022,Patrick Mahomes,patrickmahomes,QB,True,80,2008,2021,0.0125,1.201506260964161,True
2022,Phillip Lindsay,philliplindsay,RB,False,80,2008,2021,0.0,2.0237337943322635,True
2022,Pierre Strong,pierrestrong,RB,False,80,2008,2021,0.0,2.058072874792034,True
2022,Quez Watkins,quezwatkins,WR,True,80,2008,2021,0.0,0.3590756965212635,True
2022,Rachaad White,rachaadwhite,RB,True,80,2008,2021,0.0,0.8503479257396128,True
2022,Randall Cobb,randallcobb,WR,True,80,2008,2021,0.0,0.9865997964759343,True
2022,Rashaad Penny,rashaadpenny,RB,True,80,2008,2021,0.0,0.9412003989798826,True
2022,Rashod Bateman,rashodbateman,WR,True,80,2008,2021,0.0,0.40140972954599957,True
2022,Rex Burkhead,rexburkhead,RB,True,80,2008,2021,0.0,1.3637519839927588,True
2022,Rhamondre Stevenson,rhamondrestevenson,RB,True,80,2008,2021,0.0,0.7491534535763203,True
2022,Ricky Seals Jones,rickysealsjones,TE,False,80,2008,2021,0.0,1.3568885472284522,True
2022,Robert Woods,robertwoods,WR,True,80,2008,2021,0.0,0.6905299180927479,True
2022,Romeo Doubs,romeodoubs,WR,True,80,2008,2021,0.0,0.8034582894593324,True
2022,Ronald Jones,ronaldjones,RB,True,80,2008,2021,0.0,1.0301629902051335,True
2022,Rondale Moore,rondalemoore,WR,True,80,2008,2021,0.0,0.4209406273701296,True
2022,Russell Gage,russellgage,WR,True,80,2008,2021,0.0,0.6177793539249764,True
2022,Russell Wilson,russellwilson,QB,True,80,2008,2021,0.0125,1.128757275670051,True
