year,trial,order_regime,price_rule,policy_mode,complete_5,clean_policy_path_5,actual_points_5,failure_penalized_points_5,actual_ppg_5,final_forecast_ev_5,paid_spend_5,unused_personal_budget_5,events_seen_5,forced_buys_5,nominal_relaxation_events_5,top_n_relaxation_events_5,generic_repair_buys_5,synthetic_contract_fill_buys_5,synthetic_contract_fill_events_seen_5,complete_10,clean_policy_path_10,actual_points_10,failure_penalized_points_10,actual_ppg_10,final_forecast_ev_10,paid_spend_10,unused_personal_budget_10,events_seen_10,forced_buys_10,nominal_relaxation_events_10,top_n_relaxation_events_10,generic_repair_buys_10,synthetic_contract_fill_buys_10,synthetic_contract_fill_events_seen_10,paired_complete,paired_clean,actual_points_diff_5_minus_10,failure_penalized_points_diff_5_minus_10,actual_ppg_diff_5_minus_10,final_forecast_ev_diff_5_minus_10,paid_spend_diff_5_minus_10,unused_personal_budget_diff_5_minus_10,events_seen_diff_5_minus_10,forced_buys_diff_5_minus_10,nominal_relaxation_events_diff_5_minus_10,top_n_relaxation_events_diff_5_minus_10,generic_repair_buys_diff_5_minus_10,synthetic_contract_fill_buys_diff_5_minus_10,synthetic_contract_fill_events_seen_diff_5_minus_10,points_win_5
2022,2,position_run,plus_one,strict,True,True,1438.06005859375,1438.06005859375,89.87875366210938,1602.0267333984375,297.0,1.0,111,0,0,0,0,0,0,True,True,1542.0,1542.0,96.375,1605.190185546875,298.0,0.0,107,0,0,0,0,0,0,True,True,-103.93994140625,-103.93994140625,-6.496246337890625,-3.1634521484375,-1.0,1.0,4,0,0,0,0,0,0,False
2022,2,star_late,clearing,operational,True,True,1374.5599365234375,1374.5599365234375,85.90999603271484,1552.0712890625,270.0,28.0,105,0,0,0,0,0,0,True,True,1348.260009765625,1348.260009765625,84.26625061035156,1590.0947265625,288.0,10.0,124,0,0,0,0,0,0,True,True,26.2999267578125,26.2999267578125,1.6437454223632812,-38.0234375,-18.0,18.0,-19,0,0,0,0,0,0,True
2022,2,star_late,clearing,strict,True,True,1374.5599365234375,1374.5599365234375,85.90999603271484,1552.0712890625,270.0,28.0,105,0,0,0,0,0,0,True,True,1348.260009765625,1348.260009765625,84.26625061035156,1590.0947265625,288.0,10.0,124,0,0,0,0,0,0,True,True,26.2999267578125,26.2999267578125,1.6437454223632812,-38.0234375,-18.0,18.0,-19,0,0,0,0,0,0,True
2022,2,star_late,plus_one,operational,True,True,1428.659912109375,1428.659912109375,89.29124450683594,1582.906494140625,291.0,7.0,116,0,0,0,0,0,0,True,True,1411.4599609375,1411.4599609375,88.21624755859375,1553.520263671875,289.0,9.0,125,0,0,0,0,0,0,True,True,17.199951171875,17.199951171875,1.0749969482421875,29.38623046875,2.0,-2.0,-9,0,0,0,0,0,0,True
2022,2,star_late,plus_one,strict,True,True,1428.659912109375,1428.659912109375,89.29124450683594,1582.906494140625,291.0,7.0,116,0,0,0,0,0,0,True,True,1411.4599609375,1411.4599609375,88.21624755859375,1553.520263671875,289.0,9.0,125,0,0,0,0,0,0,True,True,17.199951171875,17.199951171875,1.0749969482421875,29.38623046875,2.0,-2.0,-9,0,0,0,0,0,0,True
2022,2,tier_early,clearing,operational,True,True,1606.260009765625,1606.260009765625,100.39125061035156,1582.415771484375,298.0,0.0,98,0,0,0,0,0,0,True,True,1606.260009765625,1606.260009765625,100.39125061035156,1582.415771484375,298.0,0.0,98,0,0,0,0,0,0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False
2022,2,tier_early,clearing,strict,True,True,1606.260009765625,1606.260009765625,100.39125061035156,1582.415771484375,298.0,0.0,98,0,0,0,0,0,0,True,True,1606.260009765625,1606.260009765625,100.39125061035156,1582.415771484375,298.0,0.0,98,0,0,0,0,0,0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,False
2022,2,tier_early,plus_one,operational,True,True,1570.60009765625,1570.60009765625,98.16250610351562,1567.3876953125,296.0,2.0,106,0,0,0,0,0,0,False,False,,0.0,,,297.0,1.0,136,0,0,0,0,0,0,False,False,,1570.60009765625,,,-1.0,1.0,-30,0,0,0,0,0,0,False
2022,2,tier_early,plus_one,strict,True,True,1570.60009765625,1570.60009765625,98.16250610351562,1567.3876953125,296.0,2.0,106,0,0,0,0,0,0,False,False,,0.0,,,297.0,1.0,136,0,0,0,0,0,0,False,False,,1570.60009765625,,,-1.0,1.0,-30,0,0,0,0,0,0,False
2022,2,uniform,clearing,operational,True,True,1294.8599853515625,1294.8599853515625,80.92874908447266,1585.883056640625,291.0,7.0,95,0,0,0,0,0,0,True,True,1358.360107421875,1358.360107421875,84.89750671386719,1557.727783203125,288.0,10.0,120,0,0,0,0,0,0,True,True,-63.5001220703125,-63.5001220703125,-3.9687576293945312,28.1552734375,3.0,-3.0,-25,0,0,0,0,0,0,False
