method,slice_type,slice_value,metric,n_rows,value
causal_router_min_25,season,2023,spearman,413,0.7972704388952259
causal_router_min_50,season,2023,rmse,413,3.2209298353679543
causal_router_min_50,season,2023,mae,413,2.4788368654032
causal_router_min_50,season,2023,bias,413,0.3727795815138646
causal_router_min_50,season,2023,spearman,413,0.7972704388952259
causal_router_min_100,season,2023,rmse,413,3.221844010062941
causal_router_min_100,season,2023,mae,413,2.4818470365053695
causal_router_min_100,season,2023,bias,413,0.36814002888184805
causal_router_min_100,season,2023,spearman,413,0.7973063820784224
projection_prediction,season,2024,rmse,407,3.160834095040489
projection_prediction,season,2024,mae,407,2.5613525579991125
projection_prediction,season,2024,bias,407,0.21162206431197883
projection_prediction,season,2024,spearman,407,0.8088683521133229
full_prediction,season,2024,rmse,407,3.147047663890341
full_prediction,season,2024,mae,407,2.5351480576801855
full_prediction,season,2024,bias,407,0.2849860537651897
full_prediction,season,2024,spearman,407,0.8103767188943857
no_prior_hybrid,season,2024,rmse,407,3.1329732324537405
no_prior_hybrid,season,2024,mae,407,2.51801586003239
no_prior_hybrid,season,2024,bias,407,0.22193724133891302
no_prior_hybrid,season,2024,spearman,407,0.8118017251374661
limited_history_hybrid,season,2024,rmse,407,3.1383086898345613
limited_history_hybrid,season,2024,mae,407,2.51744112357802
limited_history_hybrid,season,2024,bias,407,0.1940868893340111
limited_history_hybrid,season,2024,spearman,407,0.8102279004540756
causal_router_min_25,season,2024,rmse,407,3.1457429999556163
causal_router_min_25,season,2024,mae,407,2.5246674872308956
causal_router_min_25,season,2024,bias,407,0.21759210240415025
causal_router_min_25,season,2024,spearman,407,0.8068385351364613
causal_router_min_50,season,2024,rmse,407,3.1457429999556163
causal_router_min_50,season,2024,mae,407,2.5246674872308956
causal_router_min_50,season,2024,bias,407,0.21759210240415025
causal_router_min_50,season,2024,spearman,407,0.8068385351364613
causal_router_min_100,season,2024,rmse,407,3.145789236563951
causal_router_min_100,season,2024,mae,407,2.5214478924974175
causal_router_min_100,season,2024,bias,407,0.21726942854169212
causal_router_min_100,season,2024,spearman,407,0.8070706370879558
projection_prediction,season,2025,rmse,416,2.9503185388550954
projection_prediction,season,2025,mae,416,2.2817538868736884
projection_prediction,season,2025,bias,416,0.27017287256362965
projection_prediction,season,2025,spearman,416,0.8059368091695907
full_prediction,season,2025,rmse,416,2.9336058572367847
full_prediction,season,2025,mae,416,2.287300701596068
full_prediction,season,2025,bias,416,0.32431019579485765
full_prediction,season,2025,spearman,416,0.8193272212238076
no_prior_hybrid,season,2025,rmse,416,2.9206184409973854
no_prior_hybrid,season,2025,mae,416,2.263710757211804
no_prior_hybrid,season,2025,bias,416,0.2891716476542939
no_prior_hybrid,season,2025,spearman,416,0.820253088808991
limited_history_hybrid,season,2025,rmse,416,2.9183653784017314
limited_history_hybrid,season,2025,mae,416,2.2652922563659468
limited_history_hybrid,season,2025,bias,416,0.27269394611572595
limited_history_hybrid,season,2025,spearman,416,0.8175034062659745
causal_router_min_25,season,2025,rmse,416,2.925084983211896
causal_router_min_25,season,2025,mae,416,2.2772143388284953
causal_router_min_25,season,2025,bias,416,0.28991656521544223
causal_router_min_25,season,2025,spearman,416,0.8160753082308573
causal_router_min_50,season,2025,rmse,416,2.925084983211896
causal_router_min_50,season,2025,mae,416,2.2772143388284953
causal_router_min_50,season,2025,bias,416,0.28991656521544223
causal_router_min_50,season,2025,spearman,416,0.8160753082308573
causal_router_min_100,season,2025,rmse,416,2.92937753692083
causal_router_min_100,season,2025,mae,416,2.2757159698928597
causal_router_min_100,season,2025,bias,416,0.27333898613194907
causal_router_min_100,season,2025,spearman,416,0.8159249558027656
projection_prediction,position,QB,rmse,380,3.4987658305294005
projection_prediction,position,QB,mae,380,2.80150242208956
projection_prediction,position,QB,bias,380,-0.11784964744480131
projection_prediction,position,QB,spearman,380,0.5874266020729745
full_prediction,position,QB,rmse,380,3.528342105989344
full_prediction,position,QB,mae,380,2.8078348742737727
full_prediction,position,QB,bias,380,-0.17579647891702185
full_prediction,position,QB,spearman,380,0.5906794764222103
no_prior_hybrid,position,QB,rmse,380,3.5055487175329856
no_prior_hybrid,position,QB,mae,380,2.792800611291202
no_prior_hybrid,position,QB,bias,380,-0.12476928614260854
no_prior_hybrid,position,QB,spearman,380,0.5938015276641118
limited_history_hybrid,position,QB,rmse,380,3.4866036457003253
limited_history_hybrid,position,QB,mae,380,2.7863189604637277
limited_history_hybrid,position,QB,bias,380,-0.11309345760889927
limited_history_hybrid,position,QB,spearman,380,0.5964327240438358
causal_router_min_25,position,QB,rmse,380,3.500406810803376
causal_router_min_25,position,QB,mae,380,2.7997904546847447
causal_router_min_25,position,QB,bias,380,-0.1456081518957267
causal_router_min_25,position,QB,spearman,380,0.592969622163678
causal_router_min_50,position,QB,rmse,380,3.521625103707761
causal_router_min_50,position,QB,mae,380,2.810266101696158
causal_router_min_50,position,QB,bias,380,-0.148090934928855
causal_router_min_50,position,QB,spearman,380,0.5884607337159401
causal_router_min_100,position,QB,rmse,380,3.528342105989344
causal_router_min_100,position,QB,mae,380,2.8078348742737727
causal_router_min_100,position,QB,bias,380,-0.17579647891702185
